industry_id,name,category,sector_index
PADDY,Paddy rice,Other Services,0
WHEAT,Wheat,Other Services,1
CEREA,Cereal grains nec,Other Services,2
VEGET,"Vegetables, fruit, nuts",Other Services,3
OILSE,Oil seeds,Other Services,4
SUGAR,"Sugar cane, sugar beet",Other Services,5
PLANT,Plant-based fibers,Agriculture,6
CROPS,Crops nec,Agriculture,7
CATTL,Cattle,Agriculture,8
PIGS9,Pigs,Agriculture,9
POULT,Poultry,Agriculture,10
MEATA,Meat animals nec,Agriculture,11
ANIMA,Animal products nec,Other Services,12
RAWMI,Raw milk,Agriculture,13
WOOLS,"Wool, silk-worm cocoons",Agriculture,14
MANUR,Manure (conventional treatment),Agriculture,15
MANU1,Manure (biogas treatment),Agriculture,16
FORES,"Products of forestry, logging and related services (02)",Forestry,17
FISHF,Fish and other fishing products; services incidental of fishing (05),Fishing,18
ANTHR,Anthracite,Mining,19
COKIN,Coking Coal,Mining,20
BITUM,Other Bituminous Coal,Mining,21
SUBBI,Sub-Bituminous Coal,Mining,22
PATEN,Patent Fuel,Other Services,23
LIGNI,Lignite/Brown Coal,Mining,24
BKBPE,BKB/Peat Briquettes,Other Services,25
PEAT2,Peat,Other Services,26
CRUDE,"Crude petroleum and services related to crude oil extraction, excluding surveying",Mining,27
NATUR,"Natural gas and services related to natural gas extraction, excluding surveying",Mining,28
NATU1,Natural Gas Liquids,Mining,29
HYDRO,Other Hydrocarbons,Other Services,30
URANI,Uranium and thorium ores (12),Mining,31
IRONO,Iron ores,Mining,32
COPPE,Copper ores and concentrates,Mining,33
NICKE,Nickel ores and concentrates,Mining,34
ALUMI,Aluminium ores and concentrates,Mining,35
PRECI,Precious metal ores and concentrates,Mining,36
LEADZ,"Lead, zinc and tin ores and concentrates",Mining,37
NONFE,Other non-ferrous metal ores and concentrates,Mining,38
STONE,Stone,Other Services,39
SANDC,Sand and clay,Other Services,40
CHEMI,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",Mining,41
MEATC,Products of meat cattle,Agriculture,42
MEATP,Products of meat pigs,Agriculture,43
MEAT1,Products of meat poultry,Agriculture,44
MEAT4,Meat products nec,Agriculture,45
VEGE1,products of Vegetable oils and fats,Other Services,46
DAIRY,Dairy products,Food Manufacturing,47
PROCE,Processed rice,Other Services,48
SUGA1,Sugar,Other Services,49
FOOD5,Food products nec,Food Manufacturing,50
BEVER,Beverages,Food Manufacturing,51
FISH5,Fish products,Fishing,52
TOBAC,Tobacco products (16),Food Manufacturing,53
TEXTI,Textiles (17),Textiles,54
WEARI,Wearing apparel; furs (18),Textiles,55
LEATH,Leather and leather products (19),Textiles,56
WOODW,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),Forestry,57
WOODM,"Wood material for treatment, Re-processing of secondary wood material into new wood material",Forestry,58
PULP5,Pulp,Other Services,59
SECON,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",Other Services,60
PAPER,Paper and paper products,Other Services,61
PRINT,Printed matter and recorded media (22),Information,62
COKEO,Coke Oven Coke,Other Services,63
GASCO,Gas Coke,Mining,64
COALT,Coal Tar,Mining,65
MOTOR,Motor Gasoline,Mining,66
AVIAT,Aviation Gasoline,Mining,67
GASOL,Gasoline Type Jet Fuel,Mining,68
KEROS,Kerosene Type Jet Fuel,Other Services,69
KERO1,Kerosene,Other Services,70
GASDI,Gas/Diesel Oil,Mining,71
HEAVY,Heavy Fuel Oil,Other Services,72
REFIN,Refinery Gas,Mining,73
LIQUE,Liquefied Petroleum Gases (LPG),Mining,74
REFI1,Refinery Feedstocks,Other Services,75
ETHAN,Ethane,Other Services,76
NAPHT,Naphtha,Other Services,77
WHITE,White Spirit & SBP,Other Services,78
LUBRI,Lubricants,Other Services,79
BITU1,Bitumen,Other Services,80
PARAF,Paraffin Waxes,Other Services,81
PETRO,Petroleum Coke,Mining,82
NONSP,Non-specified Petroleum Products,Mining,83
NUCLE,Nuclear fuel,Other Services,84
PLAST,"Plastics, basic",Chemicals,85
SECO1,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",Chemicals,86
NFERT,N-fertiliser,Other Services,87
PFERT,P- and other fertiliser,Other Services,88
CHEM1,Chemicals nec,Chemicals,89
CHARC,Charcoal,Mining,90
ADDIT,Additives/Blending Components,Other Services,91
BIOGA,Biogasoline,Mining,92
BIODI,Biodiesels,Other Services,93
LIQUI,Other Liquid Biofuels,Other Services,94
RUBBE,Rubber and plastic products (25),Chemicals,95
GLASS,Glass and glass products,Other Services,96
SECO2,"Secondary glass for treatment, Re-processing of secondary glass into new glass",Other Services,97
CERAM,Ceramic goods,Other Services,98
BRICK,"Bricks, tiles and construction products, in baked clay",Construction,99
CEMEN,"Cement, lime and plaster",Other Services,100
ASHFO,"Ash for treatment, Re-processing of ash into clinker",Other Services,101
NONME,Other non-metallic mineral products,Metals,102
BASIC,Basic iron and steel and of ferro-alloys and first products thereof,Metals,103
SECO3,"Secondary steel for treatment, Re-processing of secondary steel into new steel",Metals,104
PREC1,Precious metals,Metals,105
SECO4,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",Metals,106
ALUM1,Aluminium and aluminium products,Other Services,107
SECO5,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",Other Services,108
LEAD1,"Lead, zinc and tin and products thereof",Other Services,109
SECO6,"Secondary lead for treatment, Re-processing of secondary lead into new lead",Other Services,110
COPP1,Copper products,Other Services,111
SECO7,"Secondary copper for treatment, Re-processing of secondary copper into new copper",Other Services,112
NONF1,Other non-ferrous metal products,Metals,113
