factor_id,unit,context,name,fullname
1,kg,emission/air,As,As - combustion - air
2,kg,emission/air,B(a)P,B(a)P - combustion - air
3,kg,emission/air,B(b)F,B(b)F - combustion - air
4,kg,emission/air,B(k)F,B(k)F - combustion - air
5,kg,emission/air,CH4,CH4 - combustion - air
6,kg,emission/air,CO,CO - combustion - air
7,kg,emission/air,CO2,CO2 - combustion - air
8,kg,emission/air,CO2_bio,CO2_bio - combustion - air
9,kg,emission/air,Cd,Cd - combustion - air
10,kg,emission/air,Cr,Cr - combustion - air
11,kg,emission/air,Cu,Cu - combustion - air
12,kg,emission/air,HCB,HCB - combustion - air
13,kg,emission/air,Hg,Hg - combustion - air
14,kg,emission/air,Indeno,Indeno - combustion - air
15,kg,emission/air,N2O,N2O - combustion - air
16,kg,emission/air,NH3,NH3 - combustion - air
17,kg,emission/air,NMVOC,NMVOC - combustion - air
18,kg,emission/air,NOx,NOx - combustion - air
19,kg,emission/air,Ni,Ni - combustion - air
20,kg,emission/air,PCB,PCB - combustion - air
21,kg,emission/air,PCDD/F,PCDD/F - combustion - air
22,kg,emission/air,PM10,PM10 - combustion - air
23,kg,emission/air,PM2_5,PM2_5 - combustion - air
24,kg,emission/air,Pb,Pb - combustion - air
25,kg,emission/air,SO2,SO2 - combustion - air
26,kg,emission/air,SOx,SOx - combustion - air
27,kg,emission/air,Se,Se - combustion - air
28,kg,emission/air,TSP,TSP - combustion - air
29,kg,emission/air,Zn,Zn - combustion - air
30,kg,emission/air,As,As - non combustion - Agglomeration plant - pellets - air
31,kg,emission/air,As,As - non combustion - Agglomeration plant - sinter - air
32,kg,emission/air,As,As - non combustion - Glass production - air
33,kg,emission/air,As,As - non combustion - Production of coke oven coke - air
34,kg,emission/air,As,As - non combustion - Production of gascoke - air
35,kg,emission/air,As,As - non combustion - Steel production: basic oxygen furnace - air
36,kg,emission/air,As,As - non combustion - Steel production: electric arc furnace - air
37,kg,emission/air,As,As - non combustion - Steel production: open hearth furnace - air
38,kg,emission/air,B(a)P,B(a)P - non combustion - Primary aluminium production - air
39,kg,emission/air,B(a)P,B(a)P - non combustion - Production of coke oven coke - air
40,kg,emission/air,B(a)P,B(a)P - non combustion - Production of gascoke - air
41,kg,emission/air,B(b)F,B(b)F - non combustion - Primary aluminium production - air
42,kg,emission/air,B(b)F,B(b)F - non combustion - Production of coke oven coke - air
43,kg,emission/air,B(b)F,B(b)F - non combustion - Production of gascoke - air
44,kg,emission/air,B(k)F,B(k)F - non combustion - Primary aluminium production - air
45,kg,emission/air,B(k)F,B(k)F - non combustion - Production of coke oven coke - air
46,kg,emission/air,B(k)F,B(k)F - non combustion - Production of gascoke - air
47,kg,emission/air,CH4,CH4 - non combustion - Extraction/production of (natural) gas - air
48,kg,emission/air,CH4,CH4 - non combustion - Extraction/production of crude oil - air
49,kg,emission/air,CH4,CH4 - non combustion - Mining of antracite - air
50,kg,emission/air,CH4,CH4 - non combustion - Mining of bituminous coal - air
51,kg,emission/air,CH4,CH4 - non combustion - Mining of coking coal - air
52,kg,emission/air,CH4,CH4 - non combustion - Mining of lignite (brown coal) - air
53,kg,emission/air,CH4,CH4 - non combustion - Mining of sub-bituminous coal - air
54,kg,emission/air,CH4,CH4 - non combustion - Oil refinery - air
55,kg,emission/air,CO,CO - non combustion - Agglomeration plant - sinter - air
56,kg,emission/air,CO,CO - non combustion - Bricks production - air
57,kg,emission/air,CO,CO - non combustion - Carbon black production - air
58,kg,emission/air,CO,CO - non combustion - Cement production - air
59,kg,emission/air,CO,"CO - non combustion - Chemical wood pulp, dissolving grades - air"
60,kg,emission/air,CO,"CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air"
61,kg,emission/air,CO,"CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air"
62,kg,emission/air,CO,CO - non combustion - Glass production - air
63,kg,emission/air,CO,CO - non combustion - Lime production - air
64,kg,emission/air,CO,CO - non combustion - Oil refinery - air
65,kg,emission/air,CO,"CO - non combustion - Pig iron production, blast furnace - air"
66,kg,emission/air,CO,CO - non combustion - Primary aluminium production - air
67,kg,emission/air,CO,CO - non combustion - Production of coke oven coke - air
68,kg,emission/air,CO,CO - non combustion - Production of gascoke - air
69,kg,emission/air,CO,"CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air"
70,kg,emission/air,CO,CO - non combustion - Steel production: basic oxygen furnace - air
71,kg,emission/air,CO,CO - non combustion - Steel production: electric arc furnace - air
72,kg,emission/air,CO2,CO2 - non combustion - Cement production - air
73,kg,emission/air,CO2,CO2 - non combustion - Lime production - air
74,kg,emission/air,Cd,Cd - non combustion - Agglomeration plant - pellets - air
75,kg,emission/air,Cd,Cd - non combustion - Agglomeration plant - sinter - air
76,kg,emission/air,Cd,Cd - non combustion - Glass production - air
77,kg,emission/air,Cd,"Cd - non combustion - Nickel, unwrought - air"
78,kg,emission/air,Cd,Cd - non combustion - Production of coke oven coke - air
79,kg,emission/air,Cd,Cd - non combustion - Production of gascoke - air
80,kg,emission/air,Cd,"Cd - non combustion - Refined copper; unwrought, not alloyed - air"
81,kg,emission/air,Cd,"Cd - non combustion - Refined lead, unwrought - air"
82,kg,emission/air,Cd,Cd - non combustion - Steel production: basic oxygen furnace - air
83,kg,emission/air,Cd,Cd - non combustion - Steel production: electric arc furnace - air
84,kg,emission/air,Cd,Cd - non combustion - Steel production: open hearth furnace - air
85,kg,emission/air,Cd,Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air
86,kg,emission/air,Cd,"Cd - non combustion - Zinc, unwrought, not alloyed - air"
87,kg,emission/air,Cr,Cr - non combustion - Agglomeration plant - pellets - air
88,kg,emission/air,Cr,Cr - non combustion - Agglomeration plant - sinter - air
89,kg,emission/air,Cr,Cr - non combustion - Glass production - air
90,kg,emission/air,Cr,"Cr - non combustion - Pig iron production, blast furnace - air"
91,kg,emission/air,Cr,Cr - non combustion - Steel production: basic oxygen furnace - air
92,kg,emission/air,Cr,Cr - non combustion - Steel production: electric arc furnace - air
93,kg,emission/air,Cr,Cr - non combustion - Steel production: open hearth furnace - air
94,kg,emission/air,Cu,Cu - non combustion - Agglomeration plant - pellets - air
95,kg,emission/air,Cu,Cu - non combustion - Agglomeration plant - sinter - air
96,kg,emission/air,Cu,Cu - non combustion - Glass production - air
97,kg,emission/air,Cu,"Cu - non combustion - Pig iron production, blast furnace - air"
98,kg,emission/air,Cu,Cu - non combustion - Steel production: basic oxygen furnace - air
99,kg,emission/air,Cu,Cu - non combustion - Steel production: electric arc furnace - air
100,kg,emission/air,Cu,Cu - non combustion - Steel production: open hearth furnace - air
101,kg,emission/air,HCB,HCB - non combustion - Agglomeration plant - pellets - air
102,kg,emission/air,HCB,HCB - non combustion - Agglomeration plant - sinter - air
103,kg,emission/air,Hg,Hg - non combustion - Agglomeration plant - pellets - air
104,kg,emission/air,Hg,Hg - non combustion - Agglomeration plant - sinter - air
105,kg,emission/air,Hg,Hg - non combustion - Glass production - air
106,kg,emission/air,Hg,"Hg - non combustion - Nickel, unwrought - air"
107,kg,emission/air,Hg,"Hg - non combustion - Pig iron production, blast furnace - air"
108,kg,emission/air,Hg,Hg - non combustion - Production of coke oven coke - air
