trade_id,factor_id,coefficient,impact_value
1,5,0.162325,4916.525
1,6,0.09517,2882.519
1,7,4.65997,141141.675
1,15,0.123745,3748.006
1,47,0.079287,2401.456
1,48,0.079278,2401.178
1,49,0.042072,1274.274
1,50,0.349147,10575.001
1,51,0.248424,7524.284
1,52,0.289068,8755.311
1,53,0.027822,842.679
1,54,0.388566,11768.922
1,55,0.083579,2531.461
1,56,0.022809,690.849
1,57,0.019819,600.275
1,58,0.019974,604.964
1,59,0.031816,963.639
1,60,0.053426,1618.177
1,61,0.044331,1342.69
1,62,0.03054,925.013
1,63,0.061962,1876.699
1,64,0.01567,474.627
1,65,0.03063,927.73
1,66,0.037903,1148.024
1,67,0.046695,1414.299
1,68,0.078947,2391.163
1,69,0.021568,653.255
1,70,0.052395,1586.945
1,71,0.060057,1819.002
1,72,1.232252,37322.586
1,73,4.037724,122295.037
1,406,0.084799,2568.406
1,407,1.325258,40139.559
1,408,0.190288,5763.472
1,410,0.19347,5859.843
1,411,0.327191,9909.997
1,412,0.031852,964.741
1,413,1.488361,45079.629
1,414,4.421165,133908.736
1,416,0.093629,2835.845
2,5,0.033187,648.334
2,6,0.025264,493.541
2,7,0.585971,11447.313
2,15,0.091385,1785.271
2,47,0.059168,1155.887
2,48,0.135879,2654.485
2,49,0.069225,1352.355
2,50,0.108813,2125.728
2,51,0.113875,2224.618
2,52,0.045122,881.493
2,53,0.194221,3794.229
2,54,0.157275,3072.469
2,55,0.047035,918.867
2,56,0.044847,876.105
2,57,0.030297,591.873
2,58,0.046172,901.995
2,59,0.005336,104.245
2,60,0.010603,207.139
2,61,0.003216,62.829
2,62,0.016941,330.957
2,63,0.020045,391.595
2,64,0.014296,279.283
2,65,0.041608,812.841
2,66,0.018481,361.036
2,67,0.014766,288.459
2,68,0.027592,539.029
2,69,0.007905,154.435
2,70,0.040308,787.435
2,71,0.004653,90.899
2,72,2.967217,57966.43
2,73,2.430612,47483.511
2,406,0.047756,932.943
2,407,0.513805,10037.505
2,408,0.082469,1611.08
2,410,0.072151,1409.523
2,411,0.148511,2901.262
2,412,0.038792,757.831
2,413,0.685112,13384.08
2,414,1.396164,27274.936
2,416,0.016008,312.718
3,5,0.347979,5780.114
3,6,0.063083,1047.844
3,7,2.65449,44092.435
3,15,0.022076,366.695
3,47,0.138173,2295.129
3,48,0.14357,2384.765
3,49,0.29725,4937.48
3,50,0.262272,4356.469
3,51,0.357141,5932.292
3,52,0.199442,3312.828
3,53,0.065446,1087.088
3,54,0.291033,4834.207
3,55,0.076557,1271.65
3,56,0.057005,946.885
3,57,0.077555,1288.225
3,58,0.050392,837.036
3,59,0.053228,884.141
3,60,0.043899,729.185
3,61,0.004491,74.599
3,62,0.012573,208.85
3,63,0.00508,84.382
3,64,0.064368,1069.189
