flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,AU,Other services (93),93197,CO - combustion - air,2482383.639530,factor_input,air_emissions
2,2019,AU,Other services (93),93197,CO2 - combustion - air,246336196.060000,factor_input,air_emissions
3,2019,AU,Other services (93),93197,CO2_bio - combustion - air,7321582.264290,factor_input,air_emissions
4,2019,AU,Other services (93),93197,Employment hours: High-skilled female,66.461308,factor_input,employment
5,2019,AU,Other services (93),93197,Employment hours: High-skilled male,62.532659,factor_input,employment
6,2019,AU,Other services (93),93197,Employment hours: Low-skilled female,5.218789,factor_input,employment
7,2019,AU,Other services (93),93197,Employment hours: Low-skilled male,4.911250,factor_input,employment
8,2019,AU,Other services (93),93197,Employment hours: Medium-skilled female,49.465890,factor_input,employment
9,2019,AU,Other services (93),93197,Employment hours: Medium-skilled male,46.552131,factor_input,employment
10,2019,AU,Other services (93),93197,Employment people: High-skilled female,46.238712,factor_input,employment
11,2019,AU,Other services (93),93197,Employment people: High-skilled male,33.629051,factor_input,employment
12,2019,AU,Other services (93),93197,Employment people: Low-skilled female,3.630974,factor_input,employment
13,2019,AU,Other services (93),93197,Employment people: Low-skilled male,2.641151,factor_input,employment
14,2019,AU,Other services (93),93197,Employment people: Medium-skilled female,34.416082,factor_input,employment
15,2019,AU,Other services (93),93197,Employment people: Medium-skilled male,25.034556,factor_input,employment
16,2019,AU,Other services (93),93197,Energy use - Emission relevant,3588.694001,factor_input,energy
17,2019,AU,Other services (93),93197,Energy use - Final,6473.961758,factor_input,energy
18,2019,AU,Other services (93),93197,Energy use - Gross,6598.058847,factor_input,energy
19,2019,AU,Other services (93),93197,Energy use - Net,3588.694001,factor_input,energy
20,2019,AU,Other services (93),93197,NMVOC - non combustion - Decorative paint applicatoin - air,921720.000000,factor_input,air_emissions
21,2019,AU,Other services (93),93197,"NMVOC - non combustion - Industrial paint application, general industry - air",822805.000000,factor_input,air_emissions
22,2019,AU,Additives/Blending Components,ADDIT,CO2 - combustion - air,1352946.920210,factor_input,air_emissions
23,2019,AU,Additives/Blending Components,ADDIT,Energy use - Emission relevant,16.455574,factor_input,energy
