flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,AU,AIRTR,Final consumption expenditure by households,11.21,final_demand
2,2019,AT,AU,AIRTR,Gross fixed capital formation,0.27,final_demand
3,2019,AT,AU,ANIMA,Final consumption expenditure by households,0.03,final_demand
4,2019,AT,AU,BEVER,Final consumption expenditure by households,56.04,final_demand
5,2019,AT,AU,BUSIN,Final consumption expenditure by government,0.06,final_demand
6,2019,AT,AU,BUSIN,Final consumption expenditure by households,0.68,final_demand
7,2019,AT,AU,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),0.08,final_demand
8,2019,AT,AU,BUSIN,Gross fixed capital formation,0.34,final_demand
9,2019,AT,AU,CERAM,Final consumption expenditure by households,0.48,final_demand
10,2019,AT,AU,COMPU,Final consumption expenditure by government,0.15,final_demand
11,2019,AT,AU,DAIRY,Final consumption expenditure by households,39.34,final_demand
12,2019,AT,AU,FABRI,Final consumption expenditure by households,3.48,final_demand
13,2019,AT,AU,FABRI,Gross fixed capital formation,8.53,final_demand
14,2019,AT,AU,FINAN,Final consumption expenditure by households,0.08,final_demand
15,2019,AT,AU,FOOD5,Final consumption expenditure by households,6.86,final_demand
16,2019,AT,AU,GASDI,Final consumption expenditure by households,0.04,final_demand
17,2019,AT,AU,GLASS,Final consumption expenditure by households,0.11,final_demand
18,2019,AT,AU,HOTEL,Final consumption expenditure by households,16.39,final_demand
19,2019,AT,AU,LANDT,Final consumption expenditure by households,3.78,final_demand
20,2019,AT,AU,LANDT,Gross fixed capital formation,0.17,final_demand
21,2019,AT,AU,LEATH,Final consumption expenditure by households,1.06,final_demand
22,2019,AT,AU,MOTO1,Final consumption expenditure by households,1.39,final_demand
23,2019,AT,AU,MOTO1,Gross fixed capital formation,1.97,final_demand
24,2019,AT,AU,MOTOR,Final consumption expenditure by households,0.07,final_demand
25,2019,AT,AU,OFFIC,Final consumption expenditure by households,0.51,final_demand
26,2019,AT,AU,OFFIC,Gross fixed capital formation,8.73,final_demand
27,2019,AT,AU,PAPER,Final consumption expenditure by households,1.83,final_demand
28,2019,AT,AU,POSTT,Final consumption expenditure by government,0.03,final_demand
29,2019,AT,AU,PRINT,Final consumption expenditure by government,0.03,final_demand
30,2019,AT,AU,PRINT,Final consumption expenditure by households,2.43,final_demand
31,2019,AT,AU,PRINT,Gross fixed capital formation,0.14,final_demand
32,2019,AT,AU,RAILW,Final consumption expenditure by households,0.38,final_demand
33,2019,AT,AU,REALE,Final consumption expenditure by households,3.01,final_demand
34,2019,AT,AU,RECRE,Final consumption expenditure by government,0.24,final_demand
35,2019,AT,AU,RECRE,Final consumption expenditure by households,0.88,final_demand
36,2019,AT,AU,RECRE,Gross fixed capital formation,0.06,final_demand
37,2019,AT,AU,RESEA,Final consumption expenditure by government,0.04,final_demand
38,2019,AT,AU,RESEA,Final consumption expenditure by households,0.02,final_demand
39,2019,AT,AU,RESEA,Final consumption expenditure by non-profit organisations serving households (NPISH),0.02,final_demand
40,2019,AT,AU,RESEA,Gross fixed capital formation,0.07,final_demand
41,2019,AT,AU,RETA1,Final consumption expenditure by government,0.04,final_demand
42,2019,AT,AU,RETA1,Final consumption expenditure by households,0.17,final_demand
43,2019,AT,AU,RETA1,Gross fixed capital formation,0.16,final_demand
44,2019,AT,AU,RETAI,Gross fixed capital formation,0.04,final_demand
45,2019,AT,AU,RUBBE,Final consumption expenditure by households,3.73,final_demand
46,2019,AT,AU,RUBBE,Gross fixed capital formation,1.46,final_demand
47,2019,AT,AU,SALEM,Final consumption expenditure by households,0.21,final_demand
48,2019,AT,AU,SALEM,Gross fixed capital formation,0.10,final_demand
49,2019,AT,AU,SUPPO,Final consumption expenditure by government,0.29,final_demand
50,2019,AT,AU,SUPPO,Final consumption expenditure by households,0.29,final_demand
51,2019,AT,AU,SUPPO,Gross fixed capital formation,0.04,final_demand
52,2019,AT,AU,TEXTI,Final consumption expenditure by households,1.23,final_demand
53,2019,AT,AU,TRANS,Final consumption expenditure by households,0.15,final_demand
54,2019,AT,AU,TRANS,Gross fixed capital formation,0.62,final_demand
55,2019,AT,AU,VEGET,Final consumption expenditure by households,0.02,final_demand
56,2019,AT,AU,WEARI,Final consumption expenditure by households,0.53,final_demand
57,2019,AT,AU,WHOLE,Final consumption expenditure by government,0.04,final_demand
58,2019,AT,AU,WHOLE,Final consumption expenditure by households,0.01,final_demand
59,2019,AT,AU,WHOLE,Gross fixed capital formation,0.39,final_demand
60,2019,AT,AU,WOODW,Final consumption expenditure by households,0.53,final_demand
61,2019,AT,AU,WOODW,Gross fixed capital formation,0.29,final_demand
62,2019,BE,AU,93197,Final consumption expenditure by households,0.06,final_demand
63,2019,BE,AU,AIRTR,Final consumption expenditure by households,9.08,final_demand
64,2019,BE,AU,AIRTR,Gross fixed capital formation,0.22,final_demand
65,2019,BE,AU,BEVER,Final consumption expenditure by households,4.57,final_demand
66,2019,BE,AU,BIOGA,Final consumption expenditure by households,0.05,final_demand
67,2019,BE,AU,BUSIN,Final consumption expenditure by government,0.64,final_demand
68,2019,BE,AU,BUSIN,Final consumption expenditure by households,6.87,final_demand
69,2019,BE,AU,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),0.83,final_demand
70,2019,BE,AU,BUSIN,Gross fixed capital formation,3.46,final_demand
71,2019,BE,AU,CERAM,Final consumption expenditure by households,0.13,final_demand
72,2019,BE,AU,COMPU,Final consumption expenditure by government,0.46,final_demand
73,2019,BE,AU,CONST,Changes in inventories,0.07,final_demand
74,2019,BE,AU,CONST,Changes in valuables,0.02,final_demand
75,2019,BE,AU,CONST,Final consumption expenditure by government,0.07,final_demand
76,2019,BE,AU,CONST,Final consumption expenditure by households,0.10,final_demand
77,2019,BE,AU,CONST,Final consumption expenditure by non-profit organisations serving households (NPISH),0.05,final_demand
78,2019,BE,AU,CONST,Gross fixed capital formation,0.13,final_demand
79,2019,BE,AU,CROPS,Final consumption expenditure by households,0.02,final_demand
80,2019,BE,AU,DAIRY,Final consumption expenditure by households,2.81,final_demand
81,2019,BE,AU,FABRI,Final consumption expenditure by households,0.52,final_demand
82,2019,BE,AU,FABRI,Gross fixed capital formation,1.28,final_demand
83,2019,BE,AU,FINAN,Final consumption expenditure by government,0.04,final_demand
84,2019,BE,AU,FINAN,Final consumption expenditure by households,1.31,final_demand
85,2019,BE,AU,FISH5,Final consumption expenditure by households,0.23,final_demand
86,2019,BE,AU,FOOD2,Final consumption expenditure by non-profit organisations serving households (NPISH),0.01,final_demand
87,2019,BE,AU,FOOD2,Gross fixed capital formation,0.03,final_demand
88,2019,BE,AU,FOOD5,Final consumption expenditure by households,79.90,final_demand
89,2019,BE,AU,GASDI,Final consumption expenditure by households,0.18,final_demand
90,2019,BE,AU,GLASS,Final consumption expenditure by households,0.23,final_demand
91,2019,BE,AU,HOTEL,Final consumption expenditure by households,8.63,final_demand
92,2019,BE,AU,LANDT,Final consumption expenditure by households,3.34,final_demand
93,2019,BE,AU,LANDT,Gross fixed capital formation,0.15,final_demand
94,2019,BE,AU,LEATH,Final consumption expenditure by households,0.18,final_demand
95,2019,BE,AU,MACHI,Final consumption expenditure by households,8.17,final_demand
96,2019,BE,AU,MOTO1,Changes in inventories,0.05,final_demand
97,2019,BE,AU,MOTO1,Final consumption expenditure by households,33.73,final_demand
98,2019,BE,AU,MOTO1,Gross fixed capital formation,47.74,final_demand
99,2019,BE,AU,MOTOR,Final consumption expenditure by households,0.18,final_demand
