flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,BR,Other services (93),93197,CO2 - combustion - air,254598915.049000,factor_input,air_emissions
2,2019,BR,Other services (93),93197,CO2_bio - combustion - air,123635908.057000,factor_input,air_emissions
3,2019,BR,Other services (93),93197,Employment hours: High-skilled female,2437.233758,factor_input,employment
4,2019,BR,Other services (93),93197,Employment hours: High-skilled male,972.616068,factor_input,employment
5,2019,BR,Other services (93),93197,Employment hours: Low-skilled female,210.029471,factor_input,employment
6,2019,BR,Other services (93),93197,Employment hours: Low-skilled male,83.865935,factor_input,employment
7,2019,BR,Other services (93),93197,Employment hours: Medium-skilled female,1680.535435,factor_input,employment
8,2019,BR,Other services (93),93197,Employment hours: Medium-skilled male,670.835671,factor_input,employment
9,2019,BR,Other services (93),93197,Employment people: High-skilled female,1425.900131,factor_input,employment
10,2019,BR,Other services (93),93197,Employment people: High-skilled male,462.394311,factor_input,employment
11,2019,BR,Other services (93),93197,Employment people: Low-skilled female,122.873554,factor_input,employment
12,2019,BR,Other services (93),93197,Employment people: Low-skilled male,39.869178,factor_input,employment
13,2019,BR,Other services (93),93197,Employment people: Medium-skilled female,983.180059,factor_input,employment
14,2019,BR,Other services (93),93197,Employment people: Medium-skilled male,318.917228,factor_input,employment
15,2019,BR,Other services (93),93197,Energy use - Emission relevant,4991.423965,factor_input,energy
16,2019,BR,Other services (93),93197,Energy use - Final,13088.874810,factor_input,energy
17,2019,BR,Other services (93),93197,Energy use - Gross,13477.285268,factor_input,energy
18,2019,BR,Other services (93),93197,Energy use - Net,4996.030269,factor_input,energy
19,2019,BR,Additives/Blending Components,ADDIT,Energy use - Emission relevant,2.505001,factor_input,energy
20,2019,BR,Additives/Blending Components,ADDIT,Energy use - Final,20.999686,factor_input,energy
21,2019,BR,Additives/Blending Components,ADDIT,Energy use - Gross,21.779063,factor_input,energy
22,2019,BR,Additives/Blending Components,ADDIT,Energy use - Net,2.614877,factor_input,energy
23,2019,BR,Air transport services (62),AIRTR,CO - combustion - air,58938436.754800,factor_input,air_emissions
24,2019,BR,Air transport services (62),AIRTR,CO2 - combustion - air,18326000420.700001,factor_input,air_emissions
25,2019,BR,Air transport services (62),AIRTR,Employment hours: High-skilled female,39.025910,factor_input,employment
26,2019,BR,Air transport services (62),AIRTR,Employment hours: High-skilled male,250.935860,factor_input,employment
27,2019,BR,Air transport services (62),AIRTR,Employment hours: Low-skilled female,22.722422,factor_input,employment
28,2019,BR,Air transport services (62),AIRTR,Employment hours: Low-skilled male,146.109058,factor_input,employment
29,2019,BR,Air transport services (62),AIRTR,Employment hours: Medium-skilled female,117.970731,factor_input,employment
30,2019,BR,Air transport services (62),AIRTR,Employment hours: Medium-skilled male,758.572118,factor_input,employment
31,2019,BR,Air transport services (62),AIRTR,Employment people: High-skilled female,19.283177,factor_input,employment
32,2019,BR,Air transport services (62),AIRTR,Employment people: High-skilled male,111.602588,factor_input,employment
33,2019,BR,Air transport services (62),AIRTR,Employment people: Low-skilled female,11.227387,factor_input,employment
34,2019,BR,Air transport services (62),AIRTR,Employment people: Low-skilled male,64.981268,factor_input,employment
35,2019,BR,Air transport services (62),AIRTR,Employment people: Medium-skilled female,58.290570,factor_input,employment
36,2019,BR,Air transport services (62),AIRTR,Employment people: Medium-skilled male,337.371130,factor_input,employment
37,2019,BR,Air transport services (62),AIRTR,Energy use - Emission relevant,256294.231976,factor_input,energy
38,2019,BR,Air transport services (62),AIRTR,Energy use - Final,256250.714096,factor_input,energy
39,2019,BR,Air transport services (62),AIRTR,Energy use - Gross,256486.338180,factor_input,energy
40,2019,BR,Air transport services (62),AIRTR,Energy use - Net,256294.232689,factor_input,energy
41,2019,BR,Air transport services (62),AIRTR,NMVOC - combustion - air,10250705.743000,factor_input,air_emissions
42,2019,BR,Air transport services (62),AIRTR,NOx - combustion - air,87128738.389300,factor_input,air_emissions
43,2019,BR,Aluminium and aluminium products,ALUM1,CO - combustion - air,5529876.216610,factor_input,air_emissions
44,2019,BR,Aluminium and aluminium products,ALUM1,CO - non combustion - Primary aluminium production - air,349559000.000000,factor_input,air_emissions
45,2019,BR,Aluminium and aluminium products,ALUM1,CO2 - combustion - air,5897155555.880000,factor_input,air_emissions
