flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,BR,AIRTR,Final consumption expenditure by government,0.01,final_demand
2,2019,AT,BR,AIRTR,Final consumption expenditure by households,0.55,final_demand
3,2019,AT,BR,AIRTR,Gross fixed capital formation,0.26,final_demand
4,2019,AT,BR,BASIC,Final consumption expenditure by households,0.64,final_demand
5,2019,AT,BR,BASIC,Gross fixed capital formation,0.06,final_demand
6,2019,AT,BR,BEVER,Changes in inventories,4.45,final_demand
7,2019,AT,BR,BEVER,Final consumption expenditure by households,57.99,final_demand
8,2019,AT,BR,BUSIN,Final consumption expenditure by government,0.44,final_demand
9,2019,AT,BR,BUSIN,Final consumption expenditure by households,9.66,final_demand
10,2019,AT,BR,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),0.07,final_demand
11,2019,AT,BR,BUSIN,Gross fixed capital formation,0.90,final_demand
12,2019,AT,BR,CERAM,Final consumption expenditure by households,1.06,final_demand
13,2019,AT,BR,CHEM1,Final consumption expenditure by households,25.43,final_demand
14,2019,AT,BR,COMPU,Final consumption expenditure by households,0.05,final_demand
15,2019,AT,BR,CROPS,Final consumption expenditure by households,0.02,final_demand
16,2019,AT,BR,DAIRY,Final consumption expenditure by households,0.01,final_demand
17,2019,AT,BR,EDUCA,Final consumption expenditure by households,0.01,final_demand
18,2019,AT,BR,FABRI,Final consumption expenditure by households,9.89,final_demand
19,2019,AT,BR,FABRI,Gross fixed capital formation,3.50,final_demand
20,2019,AT,BR,FINAN,Final consumption expenditure by government,0.02,final_demand
21,2019,AT,BR,FOOD5,Final consumption expenditure by households,31.30,final_demand
22,2019,AT,BR,FURNI,Final consumption expenditure by households,1.33,final_demand
23,2019,AT,BR,FURNI,Gross fixed capital formation,0.06,final_demand
24,2019,AT,BR,HEALT,Final consumption expenditure by households,0.01,final_demand
25,2019,AT,BR,INLAN,Final consumption expenditure by households,0.06,final_demand
26,2019,AT,BR,LANDT,Final consumption expenditure by government,0.10,final_demand
27,2019,AT,BR,LANDT,Final consumption expenditure by households,0.57,final_demand
28,2019,AT,BR,LANDT,Gross fixed capital formation,0.87,final_demand
29,2019,AT,BR,LEATH,Final consumption expenditure by households,1.26,final_demand
30,2019,AT,BR,MACHI,Final consumption expenditure by households,0.60,final_demand
31,2019,AT,BR,MACHI,Gross fixed capital formation,6.06,final_demand
32,2019,AT,BR,MOTO1,Final consumption expenditure by households,9.81,final_demand
33,2019,AT,BR,MOTO1,Gross fixed capital formation,8.14,final_demand
34,2019,AT,BR,NONME,Final consumption expenditure by households,0.62,final_demand
35,2019,AT,BR,OFFIC,Changes in inventories,0.78,final_demand
36,2019,AT,BR,OFFIC,Final consumption expenditure by households,1.37,final_demand
37,2019,AT,BR,OFFIC,Gross fixed capital formation,1.75,final_demand
38,2019,AT,BR,PAPER,Final consumption expenditure by households,3.39,final_demand
39,2019,AT,BR,PRINT,Final consumption expenditure by households,0.16,final_demand
40,2019,AT,BR,RAILW,Gross fixed capital formation,0.28,final_demand
41,2019,AT,BR,RESEA,Gross fixed capital formation,0.32,final_demand
42,2019,AT,BR,RETA1,Final consumption expenditure by government,2.85,final_demand
43,2019,AT,BR,RETA1,Gross fixed capital formation,6.44,final_demand
44,2019,AT,BR,RETAI,Final consumption expenditure by households,0.10,final_demand
45,2019,AT,BR,RUBBE,Final consumption expenditure by households,7.64,final_demand
46,2019,AT,BR,SALEM,Final consumption expenditure by households,4.37,final_demand
47,2019,AT,BR,SUPPO,Final consumption expenditure by government,0.42,final_demand
48,2019,AT,BR,SUPPO,Gross fixed capital formation,0.28,final_demand
49,2019,AT,BR,TEXTI,Final consumption expenditure by households,0.50,final_demand
50,2019,AT,BR,TOBAC,Final consumption expenditure by households,0.02,final_demand
51,2019,AT,BR,TRANS,Final consumption expenditure by government,0.56,final_demand
52,2019,AT,BR,TRANS,Final consumption expenditure by households,3.50,final_demand
53,2019,AT,BR,TRANS,Gross fixed capital formation,3.51,final_demand
54,2019,AT,BR,VEGE1,Final consumption expenditure by households,0.01,final_demand
55,2019,AT,BR,VEGET,Final consumption expenditure by households,0.02,final_demand
56,2019,AT,BR,WEARI,Final consumption expenditure by households,0.07,final_demand
57,2019,AT,BR,WHOLE,Final consumption expenditure by government,15.85,final_demand
58,2019,AT,BR,WHOLE,Final consumption expenditure by non-profit organisations serving households (NPISH),0.03,final_demand
59,2019,AT,BR,WOODW,Final consumption expenditure by households,0.44,final_demand
60,2019,AU,BR,ANIMA,Final consumption expenditure by households,0.11,final_demand
61,2019,AU,BR,BASIC,Final consumption expenditure by households,0.16,final_demand
62,2019,AU,BR,BASIC,Gross fixed capital formation,0.02,final_demand
63,2019,AU,BR,BEVER,Changes in inventories,1.30,final_demand
64,2019,AU,BR,BEVER,Final consumption expenditure by households,16.96,final_demand
65,2019,AU,BR,CHEM1,Final consumption expenditure by households,14.67,final_demand
66,2019,AU,BR,DAIRY,Final consumption expenditure by households,0.04,final_demand
