flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,CA,Other services (93),93197,CO - combustion - air,8833692.145330,factor_input,air_emissions
2,2019,CA,Other services (93),93197,CO2 - combustion - air,1654247487.450000,factor_input,air_emissions
3,2019,CA,Other services (93),93197,CO2_bio - combustion - air,5338883.662780,factor_input,air_emissions
4,2019,CA,Other services (93),93197,Employment hours: High-skilled female,92.755133,factor_input,employment
5,2019,CA,Other services (93),93197,Employment hours: High-skilled male,56.376287,factor_input,employment
6,2019,CA,Other services (93),93197,Employment hours: Low-skilled female,22.546471,factor_input,employment
7,2019,CA,Other services (93),93197,Employment hours: Low-skilled male,13.856563,factor_input,employment
8,2019,CA,Other services (93),93197,Employment hours: Medium-skilled female,90.349792,factor_input,employment
9,2019,CA,Other services (93),93197,Employment hours: Medium-skilled male,56.498995,factor_input,employment
10,2019,CA,Other services (93),93197,Employment people: High-skilled female,63.733855,factor_input,employment
11,2019,CA,Other services (93),93197,Employment people: High-skilled male,32.864667,factor_input,employment
12,2019,CA,Other services (93),93197,Employment people: Low-skilled female,15.491844,factor_input,employment
13,2019,CA,Other services (93),93197,Employment people: Low-skilled male,8.070447,factor_input,employment
14,2019,CA,Other services (93),93197,Employment people: Medium-skilled female,62.165197,factor_input,employment
15,2019,CA,Other services (93),93197,Employment people: Medium-skilled male,32.928792,factor_input,employment
16,2019,CA,Other services (93),93197,Energy use - Emission relevant,27502.200754,factor_input,energy
17,2019,CA,Other services (93),93197,Energy use - Final,33470.392803,factor_input,energy
18,2019,CA,Other services (93),93197,Energy use - Gross,36296.688257,factor_input,energy
19,2019,CA,Other services (93),93197,Energy use - Net,28710.329683,factor_input,energy
20,2019,CA,Other services (93),93197,NMVOC - combustion - air,1752946.348400,factor_input,air_emissions
21,2019,CA,Other services (93),93197,NOx - combustion - air,3431065.911790,factor_input,air_emissions
22,2019,CA,Additives/Blending Components,ADDIT,Energy use - Emission relevant,23.192773,factor_input,energy
23,2019,CA,Additives/Blending Components,ADDIT,Energy use - Final,23.973882,factor_input,energy
24,2019,CA,Additives/Blending Components,ADDIT,Energy use - Gross,27.584005,factor_input,energy
25,2019,CA,Additives/Blending Components,ADDIT,Energy use - Net,25.248690,factor_input,energy
26,2019,CA,Air transport services (62),AIRTR,CO - combustion - air,112810814.195000,factor_input,air_emissions
27,2019,CA,Air transport services (62),AIRTR,CO2 - combustion - air,34724647412.900002,factor_input,air_emissions
28,2019,CA,Air transport services (62),AIRTR,Employment hours: High-skilled female,16.225165,factor_input,employment
29,2019,CA,Air transport services (62),AIRTR,Employment hours: High-skilled male,59.014846,factor_input,employment
30,2019,CA,Air transport services (62),AIRTR,Employment hours: Low-skilled female,5.030795,factor_input,employment
31,2019,CA,Air transport services (62),AIRTR,Employment hours: Low-skilled male,18.345338,factor_input,employment
32,2019,CA,Air transport services (62),AIRTR,Employment hours: Medium-skilled female,39.308444,factor_input,employment
33,2019,CA,Air transport services (62),AIRTR,Employment hours: Medium-skilled male,143.752740,factor_input,employment
34,2019,CA,Air transport services (62),AIRTR,Employment people: High-skilled female,10.278011,factor_input,employment
35,2019,CA,Air transport services (62),AIRTR,Employment people: High-skilled male,30.674952,factor_input,employment
36,2019,CA,Air transport services (62),AIRTR,Employment people: Low-skilled female,3.186049,factor_input,employment
37,2019,CA,Air transport services (62),AIRTR,Employment people: Low-skilled male,9.534300,factor_input,employment
38,2019,CA,Air transport services (62),AIRTR,Employment people: Medium-skilled female,24.886024,factor_input,employment
39,2019,CA,Air transport services (62),AIRTR,Employment people: Medium-skilled male,74.693944,factor_input,employment
40,2019,CA,Air transport services (62),AIRTR,Energy use - Emission relevant,484886.219674,factor_input,energy
41,2019,CA,Air transport services (62),AIRTR,Energy use - Final,485391.889402,factor_input,energy
42,2019,CA,Air transport services (62),AIRTR,Energy use - Gross,485753.302224,factor_input,energy
43,2019,CA,Air transport services (62),AIRTR,Energy use - Net,485294.597509,factor_input,energy
44,2019,CA,Air transport services (62),AIRTR,NMVOC - combustion - air,12757544.626300,factor_input,air_emissions
45,2019,CA,Air transport services (62),AIRTR,NOx - combustion - air,176418886.097000,factor_input,air_emissions
46,2019,CA,Air transport services (62),AIRTR,PM10 - combustion - air,1727100.916770,factor_input,air_emissions
47,2019,CA,Air transport services (62),AIRTR,PM2_5 - combustion - air,1623982.887240,factor_input,air_emissions
48,2019,CA,Air transport services (62),AIRTR,SOx - combustion - air,7493854.325740,factor_input,air_emissions
49,2019,CA,Air transport services (62),AIRTR,TSP - combustion - air,1849404.101360,factor_input,air_emissions
50,2019,CA,Aluminium and aluminium products,ALUM1,CO - combustion - air,16880817.434100,factor_input,air_emissions
