flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,CA,AIRTR,Changes in inventories,0.11,final_demand
2,2019,AT,CA,AIRTR,Final consumption expenditure by government,1.02,final_demand
3,2019,AT,CA,AIRTR,Gross fixed capital formation,1.18,final_demand
4,2019,AT,CA,ALUM1,Final consumption expenditure by households,0.35,final_demand
5,2019,AT,CA,ANIMA,Final consumption expenditure by households,0.03,final_demand
6,2019,AT,CA,BEVER,Final consumption expenditure by households,21.73,final_demand
7,2019,AT,CA,BUSIN,Final consumption expenditure by government,1.74,final_demand
8,2019,AT,CA,BUSIN,Final consumption expenditure by households,3.28,final_demand
9,2019,AT,CA,CERAM,Final consumption expenditure by households,0.86,final_demand
10,2019,AT,CA,COMPU,Final consumption expenditure by households,1.61,final_demand
11,2019,AT,CA,COMPU,Gross fixed capital formation,5.29,final_demand
12,2019,AT,CA,CONST,Changes in inventories,0.02,final_demand
13,2019,AT,CA,CONST,Final consumption expenditure by government,0.02,final_demand
14,2019,AT,CA,CONST,Final consumption expenditure by households,0.03,final_demand
15,2019,AT,CA,CONST,Gross fixed capital formation,0.03,final_demand
16,2019,AT,CA,DAIRY,Final consumption expenditure by households,0.56,final_demand
17,2019,AT,CA,FABRI,Changes in inventories,0.35,final_demand
18,2019,AT,CA,FABRI,Final consumption expenditure by government,0.36,final_demand
19,2019,AT,CA,FABRI,Final consumption expenditure by households,11.84,final_demand
20,2019,AT,CA,FABRI,Gross fixed capital formation,3.06,final_demand
21,2019,AT,CA,FOOD2,Final consumption expenditure by households,0.04,final_demand
22,2019,AT,CA,FOOD5,Changes in inventories,0.13,final_demand
23,2019,AT,CA,FOOD5,Final consumption expenditure by households,10.94,final_demand
24,2019,AT,CA,FURNI,Changes in inventories,0.01,final_demand
25,2019,AT,CA,FURNI,Final consumption expenditure by government,0.22,final_demand
26,2019,AT,CA,FURNI,Final consumption expenditure by households,0.85,final_demand
27,2019,AT,CA,FURNI,Gross fixed capital formation,0.06,final_demand
28,2019,AT,CA,GLASS,Final consumption expenditure by households,0.33,final_demand
29,2019,AT,CA,HEALT,Final consumption expenditure by households,0.01,final_demand
30,2019,AT,CA,HOTEL,Final consumption expenditure by households,78.13,final_demand
31,2019,AT,CA,INTER,Changes in inventories,0.02,final_demand
32,2019,AT,CA,INTER,Final consumption expenditure by households,0.01,final_demand
33,2019,AT,CA,LANDT,Changes in inventories,0.10,final_demand
34,2019,AT,CA,LANDT,Final consumption expenditure by government,0.53,final_demand
35,2019,AT,CA,LANDT,Gross fixed capital formation,1.01,final_demand
36,2019,AT,CA,LEATH,Final consumption expenditure by government,0.01,final_demand
37,2019,AT,CA,LEATH,Final consumption expenditure by households,7.09,final_demand
38,2019,AT,CA,MEAT4,Final consumption expenditure by households,0.24,final_demand
39,2019,AT,CA,MEATA,Final consumption expenditure by households,0.05,final_demand
40,2019,AT,CA,MOTO1,Final consumption expenditure by government,0.82,final_demand
41,2019,AT,CA,MOTO1,Final consumption expenditure by households,50.01,final_demand
