flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,CN,Other services (93),93197,CO2 - combustion - air,1345972456.480000,factor_input,air_emissions
2,2019,CN,Other services (93),93197,CO2_bio - combustion - air,43615390.669500,factor_input,air_emissions
3,2019,CN,Other services (93),93197,Employment people: High-skilled female,3450.374774,factor_input,employment
4,2019,CN,Other services (93),93197,Employment people: High-skilled male,1786.429260,factor_input,employment
5,2019,CN,Other services (93),93197,Employment people: Low-skilled female,1758.870956,factor_input,employment
6,2019,CN,Other services (93),93197,Employment people: Low-skilled male,910.654276,factor_input,employment
7,2019,CN,Other services (93),93197,Employment people: Medium-skilled female,7883.377847,factor_input,employment
8,2019,CN,Other services (93),93197,Employment people: Medium-skilled male,4081.613674,factor_input,employment
9,2019,CN,Other services (93),93197,Energy use - Emission relevant,22793.874199,factor_input,energy
10,2019,CN,Other services (93),93197,Energy use - Final,56211.786975,factor_input,energy
11,2019,CN,Other services (93),93197,Energy use - Gross,56582.372680,factor_input,energy
12,2019,CN,Other services (93),93197,Energy use - Net,41853.802965,factor_input,energy
13,2019,CN,Additives/Blending Components,ADDIT,CO2 - combustion - air,77060702.754500,factor_input,air_emissions
14,2019,CN,Additives/Blending Components,ADDIT,Energy use - Emission relevant,821.214259,factor_input,energy
15,2019,CN,Additives/Blending Components,ADDIT,Energy use - Final,112.776903,factor_input,energy
16,2019,CN,Additives/Blending Components,ADDIT,Energy use - Gross,1008.874512,factor_input,energy
17,2019,CN,Additives/Blending Components,ADDIT,Energy use - Net,920.297089,factor_input,energy
18,2019,CN,Air transport services (62),AIRTR,CO - combustion - air,578490995.518000,factor_input,air_emissions
19,2019,CN,Air transport services (62),AIRTR,CO2 - combustion - air,180626721965.000000,factor_input,air_emissions
20,2019,CN,Air transport services (62),AIRTR,Employment hours: High-skilled female,177.216857,factor_input,employment
21,2019,CN,Air transport services (62),AIRTR,Employment hours: High-skilled male,759.905896,factor_input,employment
22,2019,CN,Air transport services (62),AIRTR,Employment hours: Low-skilled female,408.844198,factor_input,employment
23,2019,CN,Air transport services (62),AIRTR,Employment hours: Low-skilled male,1753.123945,factor_input,employment
