flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,CN,AIRTR,Final consumption expenditure by government,0.36,final_demand
2,2019,AT,CN,AIRTR,Gross fixed capital formation,0.21,final_demand
3,2019,AT,CN,ANIMA,Final consumption expenditure by households,0.21,final_demand
4,2019,AT,CN,ANIMA,Gross fixed capital formation,0.11,final_demand
5,2019,AT,CN,AUXIL,Final consumption expenditure by government,0.01,final_demand
6,2019,AT,CN,BASIC,Final consumption expenditure by households,0.25,final_demand
7,2019,AT,CN,BEVER,Final consumption expenditure by households,19.49,final_demand
8,2019,AT,CN,BUSIN,Final consumption expenditure by government,4.21,final_demand
9,2019,AT,CN,BUSIN,Final consumption expenditure by households,6.33,final_demand
10,2019,AT,CN,BUSIN,Gross fixed capital formation,11.34,final_demand
11,2019,AT,CN,CERAM,Final consumption expenditure by households,0.24,final_demand
12,2019,AT,CN,CHEM1,Final consumption expenditure by households,81.39,final_demand
13,2019,AT,CN,CHEMI,Final consumption expenditure by government,0.05,final_demand
14,2019,AT,CN,COMPU,Final consumption expenditure by government,0.28,final_demand
15,2019,AT,CN,COMPU,Final consumption expenditure by households,1.07,final_demand
16,2019,AT,CN,COMPU,Gross fixed capital formation,0.83,final_demand
17,2019,AT,CN,CONST,Final consumption expenditure by government,0.01,final_demand
18,2019,AT,CN,CONST,Final consumption expenditure by households,0.01,final_demand
19,2019,AT,CN,CONST,Gross fixed capital formation,0.02,final_demand
20,2019,AT,CN,CROPS,Final consumption expenditure by households,0.15,final_demand
21,2019,AT,CN,CROPS,Gross fixed capital formation,0.20,final_demand
22,2019,AT,CN,FABRI,Changes in inventories,0.31,final_demand
23,2019,AT,CN,FABRI,Final consumption expenditure by households,5.29,final_demand
24,2019,AT,CN,FABRI,Gross fixed capital formation,36.43,final_demand
25,2019,AT,CN,FINAN,Final consumption expenditure by government,0.07,final_demand
26,2019,AT,CN,FINAN,Gross fixed capital formation,0.02,final_demand
27,2019,AT,CN,FOOD5,Final consumption expenditure by households,92.95,final_demand
28,2019,AT,CN,FURNI,Changes in inventories,0.05,final_demand
29,2019,AT,CN,FURNI,Final consumption expenditure by households,1.39,final_demand
30,2019,AT,CN,FURNI,Gross fixed capital formation,18.55,final_demand
31,2019,AT,CN,GASDI,Final consumption expenditure by households,0.01,final_demand
32,2019,AT,CN,HEALT,Final consumption expenditure by households,0.02,final_demand
33,2019,AT,CN,LANDT,Final consumption expenditure by government,0.50,final_demand
34,2019,AT,CN,LEATH,Final consumption expenditure by government,0.03,final_demand
35,2019,AT,CN,LEATH,Final consumption expenditure by households,8.70,final_demand
36,2019,AT,CN,LEATH,Gross fixed capital formation,0.05,final_demand
37,2019,AT,CN,LIQUE,Final consumption expenditure by households,0.01,final_demand
38,2019,AT,CN,MACHI,Changes in inventories,7.93,final_demand
39,2019,AT,CN,MACHI,Final consumption expenditure by households,2.27,final_demand
40,2019,AT,CN,MACHI,Gross fixed capital formation,496.37,final_demand
41,2019,AT,CN,MEAT4,Final consumption expenditure by households,3.11,final_demand
42,2019,AT,CN,MEATP,Final consumption expenditure by households,82.63,final_demand
43,2019,AT,CN,MOTO1,Changes in inventories,1.58,final_demand
44,2019,AT,CN,MOTO1,Final consumption expenditure by government,0.57,final_demand
45,2019,AT,CN,MOTO1,Final consumption expenditure by households,97.57,final_demand
46,2019,AT,CN,MOTO1,Gross fixed capital formation,455.42,final_demand
47,2019,AT,CN,NONME,Final consumption expenditure by households,1.19,final_demand
48,2019,AT,CN,NONSP,Changes in inventories,0.31,final_demand
49,2019,AT,CN,OFFIC,Changes in inventories,0.29,final_demand
50,2019,AT,CN,OFFIC,Final consumption expenditure by households,2.09,final_demand
51,2019,AT,CN,OFFIC,Gross fixed capital formation,4.90,final_demand
52,2019,AT,CN,PAPER,Final consumption expenditure by government,1.62,final_demand
53,2019,AT,CN,PAPER,Final consumption expenditure by households,0.51,final_demand
54,2019,AT,CN,POSTT,Final consumption expenditure by government,0.01,final_demand
55,2019,AT,CN,PRINT,Final consumption expenditure by government,0.83,final_demand
56,2019,AT,CN,PUBLI,Gross fixed capital formation,0.01,final_demand
57,2019,AT,CN,RAILW,Final consumption expenditure by government,0.02,final_demand
58,2019,AT,CN,RAILW,Gross fixed capital formation,0.12,final_demand
59,2019,AT,CN,REALE,Final consumption expenditure by households,18.65,final_demand
60,2019,AT,CN,REALE,Gross fixed capital formation,0.08,final_demand
61,2019,AT,CN,RECRE,Final consumption expenditure by government,0.12,final_demand
62,2019,AT,CN,RECRE,Gross fixed capital formation,0.03,final_demand
63,2019,AT,CN,RESEA,Final consumption expenditure by government,15.18,final_demand
64,2019,AT,CN,RETA1,Changes in inventories,0.26,final_demand
65,2019,AT,CN,RETA1,Changes in valuables,0.02,final_demand
66,2019,AT,CN,RETA1,Final consumption expenditure by government,2.55,final_demand
67,2019,AT,CN,RETAI,Changes in inventories,0.10,final_demand
68,2019,AT,CN,RETAI,Changes in valuables,0.04,final_demand
69,2019,AT,CN,RETAI,Final consumption expenditure by government,0.02,final_demand
70,2019,AT,CN,RETAI,Final consumption expenditure by households,1.02,final_demand
71,2019,AT,CN,RUBBE,Final consumption expenditure by households,2.03,final_demand
72,2019,AT,CN,SALEM,Changes in inventories,0.36,final_demand
73,2019,AT,CN,SALEM,Changes in valuables,0.06,final_demand
74,2019,AT,CN,SALEM,Final consumption expenditure by government,0.18,final_demand
75,2019,AT,CN,SALEM,Final consumption expenditure by households,11.10,final_demand
76,2019,AT,CN,SALEM,Gross fixed capital formation,32.37,final_demand
77,2019,AT,CN,SEACO,Final consumption expenditure by government,0.08,final_demand
78,2019,AT,CN,SEACO,Gross fixed capital formation,0.38,final_demand
79,2019,AT,CN,TEXTI,Final consumption expenditure by government,0.14,final_demand
80,2019,AT,CN,TEXTI,Final consumption expenditure by households,0.77,final_demand
81,2019,AT,CN,TEXTI,Gross fixed capital formation,0.16,final_demand
82,2019,AT,CN,TRAN2,Final consumption expenditure by households,0.05,final_demand
83,2019,AT,CN,TRANS,Changes in inventories,0.12,final_demand
84,2019,AT,CN,TRANS,Final consumption expenditure by government,1.35,final_demand
85,2019,AT,CN,TRANS,Final consumption expenditure by households,1.46,final_demand
86,2019,AT,CN,TRANS,Gross fixed capital formation,29.51,final_demand
87,2019,AT,CN,VEGET,Final consumption expenditure by households,0.01,final_demand
88,2019,AT,CN,WEARI,Final consumption expenditure by government,0.02,final_demand
89,2019,AT,CN,WEARI,Final consumption expenditure by households,4.92,final_demand
90,2019,AT,CN,WEARI,Gross fixed capital formation,0.01,final_demand
91,2019,AT,CN,WHOLE,Changes in inventories,0.86,final_demand
92,2019,AT,CN,WHOLE,Changes in valuables,0.12,final_demand
93,2019,AT,CN,WHOLE,Final consumption expenditure by government,3.91,final_demand
94,2019,AT,CN,WOODW,Final consumption expenditure by households,3.14,final_demand
95,2019,AU,CN,ALUM1,Final consumption expenditure by households,0.02,final_demand
96,2019,AU,CN,ANIMA,Final consumption expenditure by households,21.53,final_demand
97,2019,AU,CN,ANIMA,Gross fixed capital formation,11.68,final_demand
98,2019,AU,CN,BASIC,Final consumption expenditure by households,0.05,final_demand
99,2019,AU,CN,BEVER,Final consumption expenditure by households,2103.24,final_demand
100,2019,AU,CN,BIOGA,Final consumption expenditure by households,0.05,final_demand
101,2019,AU,CN,BITUM,Changes in inventories,1.07,final_demand
102,2019,AU,CN,BITUM,Final consumption expenditure by government,2.75,final_demand
103,2019,AU,CN,BITUM,Final consumption expenditure by households,457.03,final_demand
104,2019,AU,CN,CATTL,Changes in inventories,0.33,final_demand
105,2019,AU,CN,CATTL,Final consumption expenditure by government,1.92,final_demand
106,2019,AU,CN,CERAM,Final consumption expenditure by households,0.09,final_demand
107,2019,AU,CN,CEREA,Changes in inventories,0.49,final_demand
108,2019,AU,CN,CEREA,Final consumption expenditure by government,4.54,final_demand
109,2019,AU,CN,CHEM1,Changes in inventories,0.01,final_demand
110,2019,AU,CN,CHEM1,Final consumption expenditure by households,146.18,final_demand
111,2019,AU,CN,CHEMI,Final consumption expenditure by government,0.05,final_demand
112,2019,AU,CN,COKEO,Changes in inventories,0.51,final_demand
113,2019,AU,CN,CROPS,Changes in inventories,0.02,final_demand
114,2019,AU,CN,CROPS,Final consumption expenditure by government,0.17,final_demand
115,2019,AU,CN,CROPS,Final consumption expenditure by households,3.57,final_demand
116,2019,AU,CN,CROPS,Gross fixed capital formation,4.59,final_demand
117,2019,AU,CN,CRUDE,Changes in inventories,0.08,final_demand
118,2019,AU,CN,DAIRY,Final consumption expenditure by government,0.12,final_demand
119,2019,AU,CN,ELECT,Changes in inventories,1.54,final_demand
120,2019,AU,CN,ELECT,Final consumption expenditure by government,0.07,final_demand
121,2019,AU,CN,FABRI,Changes in inventories,0.08,final_demand
122,2019,AU,CN,FABRI,Final consumption expenditure by households,1.34,final_demand
123,2019,AU,CN,FABRI,Gross fixed capital formation,9.24,final_demand
124,2019,AU,CN,FISH5,Final consumption expenditure by households,179.91,final_demand
125,2019,AU,CN,FISHF,Final consumption expenditure by households,435.37,final_demand
126,2019,AU,CN,FISHF,Gross fixed capital formation,0.19,final_demand
127,2019,AU,CN,FOOD5,Final consumption expenditure by government,0.02,final_demand
128,2019,AU,CN,FOOD5,Final consumption expenditure by households,3093.70,final_demand
129,2019,AU,CN,FORES,Final consumption expenditure by households,8.18,final_demand
130,2019,AU,CN,FURNI,Changes in inventories,0.17,final_demand
131,2019,AU,CN,FURNI,Final consumption expenditure by government,0.01,final_demand
132,2019,AU,CN,FURNI,Final consumption expenditure by households,4.93,final_demand
133,2019,AU,CN,FURNI,Gross fixed capital formation,65.75,final_demand
134,2019,AU,CN,GASDI,Final consumption expenditure by households,0.20,final_demand
135,2019,AU,CN,LEATH,Changes in inventories,0.07,final_demand
136,2019,AU,CN,LEATH,Final consumption expenditure by government,0.37,final_demand
137,2019,AU,CN,LEATH,Final consumption expenditure by households,128.26,final_demand
138,2019,AU,CN,LEATH,Gross fixed capital formation,0.68,final_demand
139,2019,AU,CN,LIGNI,Gross fixed capital formation,0.02,final_demand
140,2019,AU,CN,LIQUE,Changes in inventories,1.15,final_demand
141,2019,AU,CN,LIQUE,Final consumption expenditure by households,138.42,final_demand
142,2019,AU,CN,MEAT1,Final consumption expenditure by households,0.10,final_demand
143,2019,AU,CN,MEAT4,Final consumption expenditure by households,272.38,final_demand
144,2019,AU,CN,MEATA,Changes in inventories,0.07,final_demand
145,2019,AU,CN,MEATA,Final consumption expenditure by government,2.28,final_demand
146,2019,AU,CN,MEATC,Final consumption expenditure by households,2517.51,final_demand
147,2019,AU,CN,MEATP,Final consumption expenditure by households,0.03,final_demand
148,2019,AU,CN,MEDIC,Changes in inventories,1.49,final_demand
149,2019,AU,CN,MEDIC,Final consumption expenditure by households,20.69,final_demand
150,2019,AU,CN,MOTO1,Changes in inventories,0.24,final_demand
151,2019,AU,CN,MOTO1,Final consumption expenditure by government,0.08,final_demand
152,2019,AU,CN,MOTO1,Final consumption expenditure by households,14.50,final_demand
153,2019,AU,CN,MOTO1,Gross fixed capital formation,67.68,final_demand
154,2019,AU,CN,NONME,Final consumption expenditure by households,0.07,final_demand
155,2019,AU,CN,NONSP,Changes in inventories,0.09,final_demand
156,2019,AU,CN,OFFIC,Changes in inventories,2.30,final_demand
157,2019,AU,CN,OFFIC,Final consumption expenditure by households,16.33,final_demand
158,2019,AU,CN,OFFIC,Gross fixed capital formation,38.33,final_demand
159,2019,AU,CN,OILSE,Changes in inventories,0.20,final_demand
160,2019,AU,CN,OILSE,Final consumption expenditure by government,1.41,final_demand
161,2019,AU,CN,OILSE,Final consumption expenditure by households,51.12,final_demand
162,2019,AU,CN,PAPER,Final consumption expenditure by government,5.23,final_demand
163,2019,AU,CN,PAPER,Final consumption expenditure by households,1.66,final_demand
164,2019,AU,CN,PAPER,Gross fixed capital formation,0.01,final_demand
165,2019,AU,CN,PFERT,Final consumption expenditure by households,0.07,final_demand
166,2019,AU,CN,PLANT,Changes in inventories,0.68,final_demand
167,2019,AU,CN,PLANT,Final consumption expenditure by government,4.85,final_demand
168,2019,AU,CN,PLANT,Final consumption expenditure by households,34.18,final_demand
169,2019,AU,CN,PLAST,Changes in inventories,0.01,final_demand
170,2019,AU,CN,PREC1,Final consumption expenditure by households,0.02,final_demand
171,2019,AU,CN,PRINT,Final consumption expenditure by government,1.05,final_demand
172,2019,AU,CN,RADIO,Changes in inventories,0.13,final_demand
173,2019,AU,CN,RADIO,Final consumption expenditure by households,12.58,final_demand
174,2019,AU,CN,RADIO,Gross fixed capital formation,13.26,final_demand
175,2019,AU,CN,REALE,Final consumption expenditure by households,0.02,final_demand
176,2019,AU,CN,RUBBE,Final consumption expenditure by households,1.22,final_demand
177,2019,AU,CN,SALEM,Gross fixed capital formation,0.01,final_demand
178,2019,AU,CN,SANDC,Final consumption expenditure by government,0.07,final_demand
179,2019,AU,CN,STONE,Final consumption expenditure by government,0.01,final_demand
180,2019,AU,CN,SUBBI,Gross fixed capital formation,253.81,final_demand
181,2019,AU,CN,SUGA1,Final consumption expenditure by households,9.49,final_demand
182,2019,AU,CN,TEXTI,Final consumption expenditure by government,0.22,final_demand
183,2019,AU,CN,TEXTI,Final consumption expenditure by households,1.23,final_demand
184,2019,AU,CN,TEXTI,Gross fixed capital formation,0.25,final_demand
185,2019,AU,CN,TRANS,Changes in inventories,0.12,final_demand
186,2019,AU,CN,TRANS,Final consumption expenditure by government,1.35,final_demand
187,2019,AU,CN,TRANS,Final consumption expenditure by households,1.46,final_demand
188,2019,AU,CN,TRANS,Gross fixed capital formation,29.60,final_demand
189,2019,AU,CN,VEGET,Changes in inventories,2.69,final_demand
190,2019,AU,CN,VEGET,Final consumption expenditure by government,2.59,final_demand
