flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,DE,93197,Changes in inventories,0.05,final_demand
2,2019,AT,DE,93197,Changes in valuables,0.01,final_demand
3,2019,AT,DE,93197,Final consumption expenditure by government,0.03,final_demand
4,2019,AT,DE,93197,Final consumption expenditure by households,0.05,final_demand
5,2019,AT,DE,93197,Gross fixed capital formation,0.06,final_demand
6,2019,AT,DE,AIRTR,Final consumption expenditure by households,498.88,final_demand
7,2019,AT,DE,ALUM1,Changes in inventories,6.45,final_demand
8,2019,AT,DE,ALUM1,Gross fixed capital formation,20.89,final_demand
9,2019,AT,DE,ANIMA,Changes in inventories,2.45,final_demand
10,2019,AT,DE,ANIMA,Final consumption expenditure by households,1.14,final_demand
11,2019,AT,DE,AUXIL,Final consumption expenditure by households,1.85,final_demand
12,2019,AT,DE,BASIC,Changes in inventories,7.38,final_demand
13,2019,AT,DE,BASIC,Gross fixed capital formation,19.12,final_demand
14,2019,AT,DE,BEVER,Final consumption expenditure by government,0.37,final_demand
15,2019,AT,DE,BEVER,Final consumption expenditure by households,812.33,final_demand
16,2019,AT,DE,BIODI,Final consumption expenditure by government,0.03,final_demand
17,2019,AT,DE,BIODI,Final consumption expenditure by households,1.68,final_demand
18,2019,AT,DE,BIOGA,Final consumption expenditure by households,4.29,final_demand
19,2019,AT,DE,BRICK,Gross fixed capital formation,0.11,final_demand
20,2019,AT,DE,BUSIN,Changes in inventories,0.27,final_demand
21,2019,AT,DE,BUSIN,Changes in valuables,0.17,final_demand
22,2019,AT,DE,BUSIN,Gross fixed capital formation,250.50,final_demand
23,2019,AT,DE,CATTL,Changes in inventories,3.40,final_demand
24,2019,AT,DE,CATTL,Gross fixed capital formation,4.53,final_demand
25,2019,AT,DE,CEMEN,Changes in inventories,11.98,final_demand
26,2019,AT,DE,CEMEN,Final consumption expenditure by households,0.12,final_demand
27,2019,AT,DE,CEMEN,Gross fixed capital formation,2.47,final_demand
28,2019,AT,DE,CERAM,Changes in inventories,12.86,final_demand
29,2019,AT,DE,CERAM,Final consumption expenditure by households,8.25,final_demand
30,2019,AT,DE,CERAM,Gross fixed capital formation,1.28,final_demand
31,2019,AT,DE,CEREA,Changes in inventories,48.70,final_demand
32,2019,AT,DE,CEREA,Final consumption expenditure by households,12.49,final_demand
33,2019,AT,DE,CHARC,Final consumption expenditure by households,0.52,final_demand
34,2019,AT,DE,CHEM1,Changes in inventories,40.27,final_demand
35,2019,AT,DE,CHEM1,Final consumption expenditure by government,111.22,final_demand
36,2019,AT,DE,COALT,Changes in inventories,0.05,final_demand
37,2019,AT,DE,COMPU,Final consumption expenditure by households,4.29,final_demand
38,2019,AT,DE,COMPU,Gross fixed capital formation,320.46,final_demand
39,2019,AT,DE,CONST,Final consumption expenditure by households,4.74,final_demand
40,2019,AT,DE,CONST,Gross fixed capital formation,944.30,final_demand
41,2019,AT,DE,COPP1,Changes in inventories,1.07,final_demand
42,2019,AT,DE,COPP1,Gross fixed capital formation,8.70,final_demand
43,2019,AT,DE,DAIRY,Final consumption expenditure by government,0.71,final_demand
44,2019,AT,DE,DAIRY,Final consumption expenditure by households,863.27,final_demand
45,2019,AT,DE,EDUCA,Final consumption expenditure by government,0.78,final_demand
46,2019,AT,DE,EDUCA,Final consumption expenditure by households,20.20,final_demand
47,2019,AT,DE,ELEC1,Final consumption expenditure by households,3.50,final_demand
48,2019,AT,DE,ELEC2,Final consumption expenditure by households,5.62,final_demand
49,2019,AT,DE,ELEC4,Final consumption expenditure by government,1.70,final_demand
50,2019,AT,DE,ELEC4,Final consumption expenditure by households,69.03,final_demand
51,2019,AT,DE,ELEC5,Final consumption expenditure by households,2.31,final_demand
52,2019,AT,DE,ELEC6,Final consumption expenditure by households,0.68,final_demand
53,2019,AT,DE,ELEC7,Final consumption expenditure by households,0.76,final_demand
54,2019,AT,DE,ELEC8,Final consumption expenditure by households,0.11,final_demand
55,2019,AT,DE,FABRI,Final consumption expenditure by households,337.10,final_demand
56,2019,AT,DE,FABRI,Gross fixed capital formation,1629.84,final_demand
57,2019,AT,DE,FISH5,Final consumption expenditure by government,0.34,final_demand
58,2019,AT,DE,FISH5,Final consumption expenditure by households,33.02,final_demand
59,2019,AT,DE,FISHF,Final consumption expenditure by households,0.57,final_demand
60,2019,AT,DE,FOOD1,Changes in inventories,0.01,final_demand
61,2019,AT,DE,FOOD2,Changes in inventories,0.04,final_demand
62,2019,AT,DE,FOOD2,Changes in valuables,0.05,final_demand
63,2019,AT,DE,FOOD2,Final consumption expenditure by government,0.03,final_demand
64,2019,AT,DE,FOOD3,Changes in inventories,0.02,final_demand
65,2019,AT,DE,FOOD3,Changes in valuables,0.02,final_demand
66,2019,AT,DE,FOOD5,Final consumption expenditure by households,2691.85,final_demand
67,2019,AT,DE,FOODW,Changes in inventories,0.02,final_demand
68,2019,AT,DE,FOODW,Changes in valuables,0.01,final_demand
69,2019,AT,DE,FOODW,Final consumption expenditure by government,0.01,final_demand
70,2019,AT,DE,FORES,Changes in inventories,4.21,final_demand
71,2019,AT,DE,FORES,Final consumption expenditure by households,4.38,final_demand
72,2019,AT,DE,GASDI,Changes in inventories,0.29,final_demand
73,2019,AT,DE,GLASS,Changes in inventories,5.96,final_demand
74,2019,AT,DE,GLASS,Gross fixed capital formation,2.13,final_demand
