flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,FR,93197,Final consumption expenditure by government,0.01,final_demand
2,2019,AT,FR,93197,Final consumption expenditure by households,0.27,final_demand
3,2019,AT,FR,AIRTR,Final consumption expenditure by government,0.01,final_demand
4,2019,AT,FR,AIRTR,Final consumption expenditure by households,38.43,final_demand
5,2019,AT,FR,ALUM1,Final consumption expenditure by households,0.23,final_demand
6,2019,AT,FR,ALUM1,Gross fixed capital formation,0.35,final_demand
7,2019,AT,FR,ANIMA,Final consumption expenditure by households,0.18,final_demand
8,2019,AT,FR,AUXIL,Changes in valuables,0.12,final_demand
9,2019,AT,FR,AUXIL,Final consumption expenditure by households,0.16,final_demand
10,2019,AT,FR,BASIC,Gross fixed capital formation,1.98,final_demand
11,2019,AT,FR,BEVER,Changes in inventories,2.80,final_demand
12,2019,AT,FR,BEVER,Final consumption expenditure by households,19.96,final_demand
13,2019,AT,FR,BUSIN,Changes in inventories,0.76,final_demand
14,2019,AT,FR,BUSIN,Final consumption expenditure by government,0.07,final_demand
15,2019,AT,FR,BUSIN,Final consumption expenditure by households,16.47,final_demand
16,2019,AT,FR,BUSIN,Gross fixed capital formation,15.60,final_demand
17,2019,AT,FR,CEMEN,Final consumption expenditure by households,0.02,final_demand
18,2019,AT,FR,CERAM,Final consumption expenditure by households,1.16,final_demand
19,2019,AT,FR,CEREA,Final consumption expenditure by households,0.15,final_demand
20,2019,AT,FR,CHEM1,Final consumption expenditure by government,3.83,final_demand
21,2019,AT,FR,CHEM1,Final consumption expenditure by households,22.63,final_demand
22,2019,AT,FR,CHEMI,Changes in inventories,0.12,final_demand
23,2019,AT,FR,COKEO,Changes in inventories,0.12,final_demand
24,2019,AT,FR,COMPU,Changes in inventories,0.08,final_demand
25,2019,AT,FR,COMPU,Final consumption expenditure by households,0.47,final_demand
26,2019,AT,FR,COMPU,Gross fixed capital formation,38.56,final_demand
27,2019,AT,FR,CONST,Changes in inventories,5.74,final_demand
28,2019,AT,FR,CONST,Changes in valuables,0.03,final_demand
29,2019,AT,FR,CONST,Final consumption expenditure by government,0.11,final_demand
30,2019,AT,FR,CONST,Final consumption expenditure by households,0.09,final_demand
31,2019,AT,FR,CONST,Gross fixed capital formation,0.13,final_demand
32,2019,AT,FR,COPP1,Gross fixed capital formation,0.10,final_demand
33,2019,AT,FR,DAIRY,Changes in inventories,1.81,final_demand
34,2019,AT,FR,DAIRY,Final consumption expenditure by government,0.14,final_demand
35,2019,AT,FR,DAIRY,Final consumption expenditure by households,11.65,final_demand
36,2019,AT,FR,EDUCA,Changes in inventories,0.05,final_demand
37,2019,AT,FR,EDUCA,Changes in valuables,0.01,final_demand
38,2019,AT,FR,EDUCA,Final consumption expenditure by government,0.01,final_demand
39,2019,AT,FR,EDUCA,Final consumption expenditure by households,0.01,final_demand
40,2019,AT,FR,EDUCA,Gross fixed capital formation,0.01,final_demand
41,2019,AT,FR,FABRI,Changes in inventories,49.74,final_demand
42,2019,AT,FR,FABRI,Final consumption expenditure by households,122.95,final_demand
43,2019,AT,FR,FABRI,Gross fixed capital formation,35.86,final_demand
44,2019,AT,FR,FISH5,Changes in inventories,0.12,final_demand
45,2019,AT,FR,FISHF,Final consumption expenditure by households,1.84,final_demand
46,2019,AT,FR,FOOD5,Changes in inventories,66.88,final_demand
47,2019,AT,FR,FOOD5,Final consumption expenditure by government,0.13,final_demand
48,2019,AT,FR,FOOD5,Final consumption expenditure by households,206.45,final_demand
49,2019,AT,FR,FORES,Final consumption expenditure by households,0.55,final_demand
50,2019,AT,FR,GASDI,Final consumption expenditure by households,0.14,final_demand
51,2019,AT,FR,HOTEL,Changes in inventories,26.15,final_demand
52,2019,AT,FR,HOTEL,Changes in valuables,2.87,final_demand
53,2019,AT,FR,HOTEL,Final consumption expenditure by government,3.27,final_demand
54,2019,AT,FR,HOTEL,Final consumption expenditure by households,76.94,final_demand
55,2019,AT,FR,HOTEL,Gross fixed capital formation,3.83,final_demand
56,2019,AT,FR,INLAN,Final consumption expenditure by households,3.45,final_demand
57,2019,AT,FR,INSUR,Final consumption expenditure by households,4.04,final_demand
58,2019,AT,FR,LANDT,Changes in inventories,0.10,final_demand
59,2019,AT,FR,LANDT,Changes in valuables,0.07,final_demand
60,2019,AT,FR,LANDT,Final consumption expenditure by government,1.96,final_demand
61,2019,AT,FR,LANDT,Final consumption expenditure by households,24.69,final_demand
62,2019,AT,FR,LANDT,Gross fixed capital formation,20.58,final_demand
63,2019,AT,FR,LEATH,Final consumption expenditure by households,20.96,final_demand
64,2019,AT,FR,MEAT1,Changes in inventories,0.53,final_demand
65,2019,AT,FR,MEAT1,Final consumption expenditure by households,2.47,final_demand
66,2019,AT,FR,MEAT4,Changes in inventories,0.36,final_demand
