flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,GB,Other services (93),93197,CO - combustion - air,4850030.470840,factor_input,air_emissions
2,2019,GB,Other services (93),93197,CO2 - combustion - air,224778278.362000,factor_input,air_emissions
3,2019,GB,Other services (93),93197,CO2_bio - combustion - air,19516169.100900,factor_input,air_emissions
4,2019,GB,Other services (93),93197,Employment hours: High-skilled female,96.882111,factor_input,employment
5,2019,GB,Other services (93),93197,Employment hours: High-skilled male,110.363249,factor_input,employment
6,2019,GB,Other services (93),93197,Employment hours: Low-skilled female,10.413528,factor_input,employment
7,2019,GB,Other services (93),93197,Employment hours: Low-skilled male,11.869077,factor_input,employment
8,2019,GB,Other services (93),93197,Employment hours: Medium-skilled female,76.219990,factor_input,employment
9,2019,GB,Other services (93),93197,Employment hours: Medium-skilled male,86.867648,factor_input,employment
10,2019,GB,Other services (93),93197,Employment people: High-skilled female,65.663585,factor_input,employment
11,2019,GB,Other services (93),93197,Employment people: High-skilled male,55.959031,factor_input,employment
12,2019,GB,Other services (93),93197,Employment people: Low-skilled female,7.058555,factor_input,employment
13,2019,GB,Other services (93),93197,Employment people: Low-skilled male,6.018048,factor_input,employment
14,2019,GB,Other services (93),93197,Employment people: Medium-skilled female,51.663294,factor_input,employment
15,2019,GB,Other services (93),93197,Employment people: Medium-skilled male,44.045042,factor_input,employment
16,2019,GB,Other services (93),93197,Energy use - Emission relevant,3402.235175,factor_input,energy
17,2019,GB,Other services (93),93197,Energy use - Final,5432.045301,factor_input,energy
18,2019,GB,Other services (93),93197,Energy use - Gross,5907.113523,factor_input,energy
19,2019,GB,Other services (93),93197,Energy use - Net,3402.392754,factor_input,energy
20,2019,GB,Additives/Blending Components,ADDIT,CO2 - combustion - air,4352871.178650,factor_input,air_emissions
21,2019,GB,Additives/Blending Components,ADDIT,CO2_bio - combustion - air,1437756.429060,factor_input,air_emissions
22,2019,GB,Additives/Blending Components,ADDIT,Energy use - Emission relevant,81.183087,factor_input,energy
23,2019,GB,Additives/Blending Components,ADDIT,Energy use - Final,81.767703,factor_input,energy
24,2019,GB,Additives/Blending Components,ADDIT,Energy use - Gross,87.996307,factor_input,energy
25,2019,GB,Additives/Blending Components,ADDIT,Energy use - Net,81.302309,factor_input,energy
26,2019,GB,Air transport services (62),AIRTR,CO - combustion - air,92824132.074100,factor_input,air_emissions
27,2019,GB,Air transport services (62),AIRTR,CO2 - combustion - air,26960146162.799999,factor_input,air_emissions
28,2019,GB,Air transport services (62),AIRTR,CO2_bio - combustion - air,3156353.900090,factor_input,air_emissions
29,2019,GB,Air transport services (62),AIRTR,Employment hours: High-skilled female,29.432640,factor_input,employment
30,2019,GB,Air transport services (62),AIRTR,Employment hours: High-skilled male,120.561085,factor_input,employment
31,2019,GB,Air transport services (62),AIRTR,Employment hours: Low-skilled female,8.367343,factor_input,employment
32,2019,GB,Air transport services (62),AIRTR,Employment hours: Low-skilled male,34.274057,factor_input,employment
33,2019,GB,Air transport services (62),AIRTR,Employment hours: Medium-skilled female,53.704887,factor_input,employment
34,2019,GB,Air transport services (62),AIRTR,Employment hours: Medium-skilled male,219.984319,factor_input,employment
35,2019,GB,Air transport services (62),AIRTR,Employment people: High-skilled female,17.256473,factor_input,employment
36,2019,GB,Air transport services (62),AIRTR,Employment people: High-skilled male,55.880511,factor_input,employment
37,2019,GB,Air transport services (62),AIRTR,Employment people: Low-skilled female,4.905806,factor_input,employment
38,2019,GB,Air transport services (62),AIRTR,Employment people: Low-skilled male,15.886152,factor_input,employment
39,2019,GB,Air transport services (62),AIRTR,Employment people: Medium-skilled female,31.487386,factor_input,employment
40,2019,GB,Air transport services (62),AIRTR,Employment people: Medium-skilled male,101.963550,factor_input,employment
41,2019,GB,Air transport services (62),AIRTR,Energy use - Emission relevant,377703.629602,factor_input,energy
42,2019,GB,Air transport services (62),AIRTR,Energy use - Final,377639.663370,factor_input,energy
43,2019,GB,Air transport services (62),AIRTR,Energy use - Gross,377713.486990,factor_input,energy
44,2019,GB,Air transport services (62),AIRTR,Energy use - Net,377703.630879,factor_input,energy
45,2019,GB,Air transport services (62),AIRTR,NH3 - combustion - air,1338978.627680,factor_input,air_emissions
46,2019,GB,Air transport services (62),AIRTR,NMVOC - combustion - air,14136456.632700,factor_input,air_emissions
47,2019,GB,Air transport services (62),AIRTR,NOx - combustion - air,122694681.577000,factor_input,air_emissions
48,2019,GB,Air transport services (62),AIRTR,SOx - combustion - air,1051484.747390,factor_input,air_emissions
49,2019,GB,Aluminium and aluminium products,ALUM1,CO - non combustion - Primary aluminium production - air,59029900.000000,factor_input,air_emissions
50,2019,GB,Aluminium and aluminium products,ALUM1,CO2 - combustion - air,96411839.337400,factor_input,air_emissions
