flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,GB,93197,Final consumption expenditure by households,1.21,final_demand
2,2019,AT,GB,AIRTR,Final consumption expenditure by households,90.78,final_demand
3,2019,AT,GB,ALUM1,Changes in inventories,4.26,final_demand
4,2019,AT,GB,ALUM1,Final consumption expenditure by households,0.02,final_demand
5,2019,AT,GB,ANIMA,Final consumption expenditure by households,0.07,final_demand
6,2019,AT,GB,BEVER,Changes in inventories,47.64,final_demand
7,2019,AT,GB,BEVER,Final consumption expenditure by households,51.48,final_demand
8,2019,AT,GB,BUSIN,Final consumption expenditure by households,6.47,final_demand
9,2019,AT,GB,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),2.22,final_demand
10,2019,AT,GB,BUSIN,Gross fixed capital formation,9.02,final_demand
11,2019,AT,GB,CATTL,Changes in inventories,0.08,final_demand
12,2019,AT,GB,CATTL,Gross fixed capital formation,0.12,final_demand
13,2019,AT,GB,CEMEN,Final consumption expenditure by households,0.09,final_demand
14,2019,AT,GB,CERAM,Changes in inventories,0.02,final_demand
15,2019,AT,GB,CERAM,Final consumption expenditure by households,0.02,final_demand
16,2019,AT,GB,CERAM,Gross fixed capital formation,0.01,final_demand
17,2019,AT,GB,CEREA,Changes in inventories,0.11,final_demand
18,2019,AT,GB,CEREA,Final consumption expenditure by households,2.62,final_demand
19,2019,AT,GB,CHEM1,Changes in inventories,0.57,final_demand
20,2019,AT,GB,CHEM1,Final consumption expenditure by households,23.63,final_demand
21,2019,AT,GB,CHEMI,Final consumption expenditure by households,0.01,final_demand
22,2019,AT,GB,COMPU,Changes in inventories,0.28,final_demand
23,2019,AT,GB,COMPU,Final consumption expenditure by households,0.16,final_demand
24,2019,AT,GB,COMPU,Gross fixed capital formation,42.41,final_demand
25,2019,AT,GB,CONST,Changes in inventories,0.05,final_demand
26,2019,AT,GB,CONST,Final consumption expenditure by households,0.04,final_demand
27,2019,AT,GB,CONST,Gross fixed capital formation,13.00,final_demand
28,2019,AT,GB,COPP1,Changes in inventories,1.24,final_demand
29,2019,AT,GB,DAIRY,Changes in inventories,0.30,final_demand
30,2019,AT,GB,DAIRY,Final consumption expenditure by households,23.42,final_demand
31,2019,AT,GB,EDUCA,Final consumption expenditure by government,2.21,final_demand
32,2019,AT,GB,EDUCA,Final consumption expenditure by households,0.10,final_demand
33,2019,AT,GB,EDUCA,Final consumption expenditure by non-profit organisations serving households (NPISH),0.12,final_demand
34,2019,AT,GB,FABRI,Changes in inventories,2.88,final_demand
35,2019,AT,GB,FABRI,Final consumption expenditure by households,68.92,final_demand
36,2019,AT,GB,FABRI,Gross fixed capital formation,117.53,final_demand
37,2019,AT,GB,FINAN,Final consumption expenditure by households,3.70,final_demand
38,2019,AT,GB,FISH5,Final consumption expenditure by households,0.02,final_demand
39,2019,AT,GB,FOOD2,Final consumption expenditure by government,0.03,final_demand
40,2019,AT,GB,FOOD5,Changes in inventories,2.24,final_demand
41,2019,AT,GB,FOOD5,Final consumption expenditure by households,210.43,final_demand
42,2019,AT,GB,FORES,Changes in inventories,0.02,final_demand
43,2019,AT,GB,GASDI,Final consumption expenditure by households,0.66,final_demand
44,2019,AT,GB,GLASS,Changes in inventories,0.03,final_demand
45,2019,AT,GB,GLASS,Gross fixed capital formation,0.02,final_demand
46,2019,AT,GB,HEALT,Final consumption expenditure by government,0.71,final_demand
47,2019,AT,GB,HEALT,Final consumption expenditure by households,12.55,final_demand
48,2019,AT,GB,HEALT,Final consumption expenditure by non-profit organisations serving households (NPISH),0.03,final_demand
49,2019,AT,GB,HOTEL,Final consumption expenditure by households,852.37,final_demand
50,2019,AT,GB,INERT,Final consumption expenditure by government,0.01,final_demand
51,2019,AT,GB,INERT,Final consumption expenditure by households,0.01,final_demand
52,2019,AT,GB,INSUR,Final consumption expenditure by households,13.98,final_demand
53,2019,AT,GB,INTER,Final consumption expenditure by government,0.05,final_demand
54,2019,AT,GB,INTER,Final consumption expenditure by households,0.05,final_demand
55,2019,AT,GB,KEROS,Changes in inventories,1.14,final_demand
56,2019,AT,GB,LANDT,Final consumption expenditure by government,0.26,final_demand
57,2019,AT,GB,LANDT,Final consumption expenditure by households,90.62,final_demand
58,2019,AT,GB,LEAD1,Changes in inventories,0.05,final_demand
59,2019,AT,GB,LEATH,Final consumption expenditure by households,17.23,final_demand
60,2019,AT,GB,LEATH,Gross fixed capital formation,0.05,final_demand
61,2019,AT,GB,LIQUE,Final consumption expenditure by households,0.02,final_demand
62,2019,AT,GB,MEAT1,Final consumption expenditure by households,0.20,final_demand
63,2019,AT,GB,MEAT4,Changes in inventories,0.05,final_demand
64,2019,AT,GB,MEAT4,Final consumption expenditure by households,6.60,final_demand
65,2019,AT,GB,MEATA,Final consumption expenditure by households,0.02,final_demand
66,2019,AT,GB,MEATC,Changes in inventories,0.07,final_demand
67,2019,AT,GB,MEATC,Final consumption expenditure by households,5.94,final_demand
68,2019,AT,GB,MEATP,Changes in inventories,0.35,final_demand
69,2019,AT,GB,MEATP,Final consumption expenditure by households,1.48,final_demand
70,2019,AT,GB,MEMBE,Final consumption expenditure by households,1.11,final_demand
71,2019,AT,GB,MOTO1,Changes in inventories,0.23,final_demand
72,2019,AT,GB,MOTO1,Final consumption expenditure by households,242.69,final_demand
73,2019,AT,GB,MOTO1,Gross fixed capital formation,19.93,final_demand
74,2019,AT,GB,MOTOR,Final consumption expenditure by households,1.87,final_demand
75,2019,AT,GB,NFERT,Final consumption expenditure by households,0.01,final_demand
76,2019,AT,GB,NONF1,Changes in inventories,6.18,final_demand
77,2019,AT,GB,NONF1,Final consumption expenditure by households,0.18,final_demand
78,2019,AT,GB,NONME,Changes in inventories,0.13,final_demand
79,2019,AT,GB,NONME,Final consumption expenditure by households,41.94,final_demand
80,2019,AT,GB,NONME,Gross fixed capital formation,0.04,final_demand
81,2019,AT,GB,OFFIC,Changes in inventories,0.55,final_demand
82,2019,AT,GB,OFFIC,Final consumption expenditure by households,1.42,final_demand
83,2019,AT,GB,OFFIC,Gross fixed capital formation,13.44,final_demand
84,2019,AT,GB,OILSE,Changes in inventories,0.02,final_demand
85,2019,AT,GB,OILSE,Final consumption expenditure by households,0.39,final_demand
86,2019,AT,GB,PAPER,Changes in inventories,0.45,final_demand
87,2019,AT,GB,PAPER,Final consumption expenditure by households,8.61,final_demand
88,2019,AT,GB,PLAS1,Final consumption expenditure by government,0.02,final_demand
89,2019,AT,GB,PLAS1,Final consumption expenditure by households,0.03,final_demand
90,2019,AT,GB,PLAST,Changes in inventories,36.72,final_demand
91,2019,AT,GB,POSTT,Final consumption expenditure by households,25.78,final_demand
92,2019,AT,GB,PREC1,Changes in inventories,5.86,final_demand
93,2019,AT,GB,PRINT,Changes in inventories,0.06,final_demand
94,2019,AT,GB,PRINT,Final consumption expenditure by households,0.90,final_demand
95,2019,AT,GB,PRINT,Gross fixed capital formation,13.72,final_demand
96,2019,AT,GB,PUBLI,Final consumption expenditure by government,41.93,final_demand
97,2019,AT,GB,PUBLI,Final consumption expenditure by households,0.56,final_demand
98,2019,AT,GB,PUBLI,Gross fixed capital formation,0.16,final_demand
99,2019,AT,GB,PULP5,Changes in inventories,0.09,final_demand
100,2019,AT,GB,RAILW,Final consumption expenditure by households,14.95,final_demand
101,2019,AT,GB,REALE,Final consumption expenditure by households,33.45,final_demand
