trade_id,factor_id,coefficient,impact_value
593,414,388600857419.0,5585360121507.122
594,414,388600857419.0,195067060504720.84
595,414,388600857419.0,19473225036.36073
596,414,388600857419.0,2241641904212901.5
597,414,388600857419.0,215543488499.5209
598,414,388600857419.0,43745192567.92107
599,414,388600857419.0,540009659326.2814
600,414,388600857419.0,546295804158.52216
601,414,388600857419.0,1020143346228.1338
602,414,388600857419.0,1420914842083.2598
603,414,388600857419.0,1496240110565.6677
604,414,388600857419.0,12782920220856.684
605,414,388600857419.0,301557294504.32495
606,414,388600857419.0,15942832534550.506
607,414,388600857419.0,260198698113.76938
608,414,388600857419.0,23859907929743.74
609,414,388600857419.0,34182834648.207226
610,414,388600857419.0,1548108436367.2617
611,414,388600857419.0,205042098719.3594
612,414,388600857419.0,59072337711.26422
613,414,388600857419.0,2239417063466.1416
614,414,388600857419.0,1.5587482781258e+16
615,414,388600857419.0,198516002575015.4
616,414,388600857419.0,200537722898291.3
617,414,388600857419.0,21885472325.327187
618,414,388600857419.0,376175849274.0389
619,414,388600857419.0,20219286163976.527
620,414,388600857419.0,1463928092342.4556
621,414,388600857419.0,332960569508.6028
622,414,388600857419.0,1006001371078.8335
623,414,388600857419.0,3030065307502.79
624,414,388600857419.0,1579382041655.1826
625,414,388600857419.0,4878870781.507738
626,414,388600857419.0,2634003230142109.0
627,414,388600857419.0,3737132186986366.5
628,414,388600857419.0,141086753309.4759
629,414,388600857419.0,20816648433760.36
630,414,388600857419.0,161936764010.44632
631,414,388600857419.0,10355711829.812225
632,414,388600857419.0,2809379960531296.5
633,414,388600857419.0,387308005192392.75
634,414,388600857419.0,169041384740.60156
635,414,388600857419.0,397333707818.16943
636,414,388600857419.0,56418398624039.664
637,414,388600857419.0,3001999512121.92
638,414,388600857419.0,13243422959.63938
639,414,388600857419.0,565893415033.9565
640,414,388600857419.0,4330146955.322911
641,414,388600857419.0,51887041479.897255
642,414,388600857419.0,26542187100699.613
643,414,388600857419.0,1431965539800.3735
644,414,388600857419.0,6725796914.207949
645,414,388600857419.0,28354062196.00847
646,414,388600857419.0,3394057299096268.5
647,414,388600857419.0,5041944574.990602
648,414,388600857419.0,6622668032.954574
649,414,388600857419.0,13730666751.606945
650,414,388600857419.0,221870204671120.16
651,414,388600857419.0,369629971467.94434
652,414,388600857419.0,3653505192702999.0
653,414,388600857419.0,81705037794.61588
654,414,388600857419.0,32189255430.217945
655,414,388600857419.0,734717885499.6501
656,414,388600857419.0,3658095962592.725
657,414,388600857419.0,673884855925.0258
658,414,388600857419.0,68841534778022.93
659,414,388600857419.0,100188978512789.36
660,414,388600857419.0,619334407052157.9
661,414,388600857419.0,18215346533605.29
662,414,388600857419.0,100637133007.30705
663,414,388600857419.0,10015380928998.607
664,414,388600857419.0,3577444562138.051
665,414,388600857419.0,56149549137412.78
666,414,388600857419.0,175340747796422.0
667,414,388600857419.0,19642727911055.645
668,414,388600857419.0,91297739534.44453
669,414,388600857419.0,41786368037.58907
670,414,388600857419.0,51747759776.5135
671,414,388600857419.0,1164026171719651.8
672,414,388600857419.0,419044162396.0549
673,414,388600857419.0,691315415656.6364
674,414,388600857419.0,196477334511.87115
675,414,388600857419.0,1962374161041.5696
676,414,388600857419.0,63762641079.53269
677,414,388600857419.0,162085818469694.94
678,414,388600857419.0,50325104020009.98
679,414,388600857419.0,4172334803.498731
680,414,388600857419.0,10376389030.127316
681,414,388600857419.0,5710036267338.36
682,414,388600857419.0,8856601305.089664
683,414,388600857419.0,6195921279024.559
684,414,388600857419.0,1363633924955410.0
685,414,388600857419.0,30320210936104.27
686,414,388600857419.0,427841512248.6995
687,414,388600857419.0,73696816958444.14
688,414,388600857419.0,12116730946312.111
1361,414,140379000000.0,110655941494.66632
1361,414,74247642650.8,58526865138.54506
1362,414,140379000000.0,62417164804.71905
1362,414,74247642650.8,33012967379.001637
1363,414,140379000000.0,76480287137.35077
1363,414,74247642650.8,40451071949.540855
1364,414,140379000000.0,1114846606250.4817
1364,414,74247642650.8,589651817090.4686
1365,414,140379000000.0,167569103974.73895
1365,414,74247642650.8,88628719047.94284
1366,414,140379000000.0,987556307420.5884
1366,414,74247642650.8,522326899400.24817
1367,414,140379000000.0,38424452550.50486
1367,414,74247642650.8,20323018557.06698
1368,414,140379000000.0,2718169917.728083
1368,414,74247642650.8,1437663102.8546233
1369,414,140379000000.0,6561447068783.706
1369,414,74247642650.8,3470404955407.8013
1370,414,140379000000.0,78575315966618.5
1370,414,74247642650.8,41559150450303.75
1371,414,140379000000.0,92796768733442.97
1371,414,74247642650.8,49080997329156.1
1372,414,140379000000.0,1228139252019.0295
1372,414,74247642650.8,649573257462.5101
1373,414,140379000000.0,36105679820481.94
1373,414,74247642650.8,19096600011222.074
1374,414,140379000000.0,186006274197.35248
1374,414,74247642650.8,98380294612.52571
1375,414,140379000000.0,1655409329891.1204
1375,414,74247642650.8,875560022272.2501
1376,414,140379000000.0,3032490723015631.0
1376,414,74247642650.8,1603910040279035.2
1377,414,140379000000.0,101242524639.7699
1377,414,74247642650.8,53548029196.09379
1378,414,140379000000.0,5509877786.337774
1378,414,74247642650.8,2914221051.0802045
1379,414,140379000000.0,102669454168.33633
1379,414,74247642650.8,54302744315.3415
1380,414,140379000000.0,74256044859.45851
1380,414,74247642650.8,39274651360.86487
1381,414,140379000000.0,8505407999.569667
1381,414,74247642650.8,4498582364.536749
1382,414,140379000000.0,584979084171.8792
1382,414,74247642650.8,309400394644.39795
1383,414,140379000000.0,2730415764598.0757
1383,414,74247642650.8,1444140035033.6504
1384,414,140379000000.0,662748074181.2665
1384,414,74247642650.8,350533072463.2357
1385,414,140379000000.0,893763475406.2128
1385,414,74247642650.8,472719075761.31445
1386,414,140379000000.0,758754583005.6047
1386,414,74247642650.8,401311728525.3272
1387,414,140379000000.0,17999428464101.582
1387,414,74247642650.8,9520050239147.254
1388,414,140379000000.0,647633113466.7069
1388,414,74247642650.8,342538641659.37256
1389,414,140379000000.0,2476464525242.4497
1389,414,74247642650.8,1309823072593.3687
1390,414,140379000000.0,4238665864032.341
1390,414,74247642650.8,2241866293311.8037
1391,414,140379000000.0,131458708452.7657
1391,414,74247642650.8,69529624862.24185
1392,414,140379000000.0,84314373269.25122
1392,414,74247642650.8,44594586489.58554
1393,414,140379000000.0,510818881305.19336
1393,414,74247642650.8,270176434925.66138
1394,414,140379000000.0,8249344978.694449
1394,414,74247642650.8,4363148462.9558325
