trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,water,CO2_total,CH4_total,N2O_total,NOX_total,Water_total,Employment_total,impact_intensity
2510,2019,IN,IN,CONST,CONST,52878.07,2060567761.042,150.0,150.0,1087436.913,2058334163.553,1146160.576,341032.189,601183.954,83231.716,58467.919,991997.844,2058334163.553,38968.286116
8465,2019,IN,IN,PADDY,PADDY,39823.7,1576477978.78,150.0,150.0,869686.725,1574658887.121,949404.934,276156.54,439631.51,97765.388,54700.356,799918.645,1574658887.121,39586.426645
5453,2019,IN,IN,GASDI,LANDT,33106.93,1459498763.839,150.0,150.0,778998.682,1458047493.449,672271.708,247909.867,408453.983,79799.097,39944.168,556113.795,1458047493.449,44084.38849
8766,2019,IN,IN,PFERT,PFERT,30103.86,1306807020.932,150.0,150.0,783679.546,1305265941.16,757400.226,321777.616,379804.638,42733.519,38807.567,665723.956,1305265941.16,43409.948788
12435,2019,IN,IN,VEGET,FOOD5,41140.51,1161139015.919,150.0,150.0,889831.242,1159247824.812,1001359.865,316610.441,461865.566,57603.682,52288.113,868196.329,1159247824.812,28223.738984
1138,2019,IN,IN,BITUM,BASIC,37608.28,1092896793.372,150.0,150.0,707052.92,1091343502.684,846237.768,133579.905,415716.438,118596.802,35806.538,757384.288,1091343502.684,29060.004695
696,2019,IN,IN,BASIC,CONST,40111.81,1024217603.497,150.0,150.0,844028.356,1022407884.128,965691.012,331353.866,425840.877,39016.432,45331.486,822835.826,1022407884.128,25534.065989
551,2019,IN,IN,AUXIL,FINAN,31244.68,886156359.165,150.0,150.0,643774.359,884786935.479,725649.327,207709.228,337364.298,59898.115,38737.46,638064.402,884786935.479,28361.831812
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,860094949.566,150.0,150.0,425692.604,859198340.322,470916.64,170704.589,184521.626,42197.2,27773.249,395592.214,859198340.322,43059.49763
5495,2019,IN,IN,GASDI,RAILW,21629.5,827032661.954,150.0,150.0,541569.525,825973575.713,517516.717,215293.785,276861.498,21472.258,26145.45,458632.324,825973575.713,38236.328253
1602,2019,IN,IN,CEMEN,CONST,21602.17,750170860.971,150.0,150.0,480470.672,749187567.912,502822.387,126939.843,276598.376,52363.271,23513.462,426468.795,749187567.912,34726.643711
4616,2019,IN,IN,FINAN,REALE,17984.09,663282124.293,150.0,150.0,396976.828,662474527.494,410619.971,156687.121,200926.934,15922.128,22253.001,360718.453,662474527.494,36881.606147
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,657249026.113,150.0,150.0,561233.955,656116602.827,571189.33,174160.944,294151.323,52310.498,38932.261,504061.858,656116602.827,24660.919864
12871,2019,IN,IN,WHOLE,CONST,21383.1,560075063.176,150.0,150.0,484066.957,559130157.552,460838.668,118201.222,294307.365,42215.598,29177.073,397663.47,559130157.552,26192.41659
2841,2019,IN,IN,CRUDE,GASDI,16566.52,526335239.699,150.0,150.0,1216471.796,524748502.351,370265.552,456903.992,661509.513,80742.639,17286.516,315733.257,524748502.351,31771.020087
5179,2019,IN,IN,FOUND,CONST,11859.08,519368032.288,150.0,150.0,246689.071,518875759.734,245583.482,99328.082,103859.392,28827.199,14068.901,214435.631,518875759.734,43794.968268
7531,2019,IN,IN,MOTO1,MOTO1,14855.99,516664016.693,150.0,150.0,296031.165,516015549.264,352436.265,104599.905,143619.66,27546.66,19100.96,314259.032,516015549.264,34778.161314
6278,2019,IN,IN,LANDT,CONST,16418.39,499488852.702,150.0,150.0,308142.064,498765018.31,415692.328,98235.275,170745.709,16352.566,22300.677,362549.347,498765018.31,30422.523323
4409,2019,IN,IN,FABRI,CONST,17966.38,494304864.292,150.0,150.0,427563.242,493445500.155,431800.894,158309.55,205788.813,36564.689,25420.802,363759.008,493445500.155,27512.769088
10106,2019,IN,IN,RAWMI,DAIRY,11453.5,482371047.844,150.0,150.0,267087.473,481855924.2,248036.172,90485.689,136875.797,24206.76,15268.258,214299.61,481855924.2,42115.602029
10519,2019,IN,IN,RENTI,CONST,11004.03,445497568.935,150.0,150.0,222289.345,445020292.814,254986.776,79971.13,118731.793,8075.619,14782.192,223239.312,445020292.814,40484.946782
2418,2019,IN,IN,COMPU,COMPU,10860.37,414787697.009,150.0,150.0,245762.053,414307030.621,234904.335,86404.137,113836.505,32639.692,12853.019,208891.476,414307030.621,38192.777687
1678,2019,IN,IN,CERAM,CONST,12000.49,383149279.642,150.0,150.0,263025.155,382605952.29,280302.197,114547.565,111855.786,21829.069,13943.691,243206.865,382605952.29,31927.802918
738,2019,IN,IN,BASIC,MOTO1,9401.69,377823559.86,150.0,150.0,213833.863,377410805.943,198920.055,61568.528,112909.603,26607.307,11903.755,172941.675,377410805.943,40186.770661
7719,2019,IN,IN,NAPHT,ELEC1,10250.55,373698727.433,150.0,150.0,211430.402,373254887.862,232409.168,87450.703,103755.091,8824.381,10535.344,210379.363,373254887.862,36456.456232
8122,2019,IN,IN,NONME,CONST,9824.03,362112794.518,150.0,150.0,189314.628,361673501.177,249978.714,61457.62,109533.943,6049.95,11473.687,215694.269,361673501.177,36859.903168
9157,2019,IN,IN,POSTT,POSTT,15566.22,362101781.545,150.0,150.0,325660.165,361429109.523,347011.857,122271.495,126947.747,54359.583,20870.922,303355.258,361429109.523,23262.023892
8955,2019,IN,IN,PLANT,TEXTI,11463.22,355125052.344,150.0,150.0,241019.155,354600714.502,283318.687,78897.654,107740.251,36646.516,16910.26,244388.788,354600714.502,30979.519921
2849,2019,IN,IN,CRUDE,MOTOR,10307.52,353012734.387,150.0,150.0,569883.512,352199579.749,243271.126,215961.145,277906.229,61507.521,13544.47,208314.161,352199579.749,34248.076587
1398,2019,IN,IN,BUSIN,CONST,9127.86,351307538.235,150.0,150.0,214174.043,350878804.541,214559.65,53544.601,128368.214,19856.932,11600.096,191567.703,350878804.541,38487.393347
4533,2019,IN,IN,FINAN,CONST,9059.36,340534933.983,150.0,150.0,207820.594,340110644.296,216469.093,67368.098,108631.27,21826.224,9865.372,180974.054,340110644.296,37589.292619
11110,2019,IN,IN,SALEM,LANDT,10818.9,329188051.309,150.0,150.0,275063.964,328669450.613,243536.732,102481.555,125334.518,33423.689,13314.974,210422.233,328669450.613,30427.127648
