trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Metals,materials_Minerals,materials_Fossil,materials_Other_Materials,materials_intensity
696,2019,IN,IN,BASIC,CONST,40111.81,27713403.374,42.0,42.0,27713403.374,10589315.446,7813678.5,7501685.623,27713403.374,690.903835
2510,2019,IN,IN,CONST,CONST,52878.07,10198944.943,42.0,42.0,10198944.943,3746829.028,3401428.401,2670604.526,10198944.943,192.876649
2841,2019,IN,IN,CRUDE,GASDI,16566.52,9528806.808,42.0,42.0,9528806.808,3712348.301,2774965.971,2079167.982,9528806.808,575.184578
8465,2019,IN,IN,PADDY,PADDY,39823.7,9339830.093,42.0,42.0,9339830.093,3432358.809,2914597.311,2333758.001,9339830.093,234.529441
12435,2019,IN,IN,VEGET,FOOD5,41140.51,8331472.327,42.0,42.0,8331472.327,3018466.308,2770960.318,1807844.46,8331472.327,202.512617
1138,2019,IN,IN,BITUM,BASIC,37608.28,8224609.501,42.0,42.0,8224609.501,2671064.085,2291746.306,2268863.435,8224609.501,218.691456
5453,2019,IN,IN,GASDI,LANDT,33106.93,7676367.368,42.0,42.0,7676367.368,3146638.705,2309284.629,1592520.606,7676367.368,231.865877
2849,2019,IN,IN,CRUDE,MOTOR,10307.52,6853904.982,42.0,42.0,6853904.982,2364738.154,2198984.722,1644506.079,6853904.982,664.942196
738,2019,IN,IN,BASIC,MOTO1,9401.69,6533727.709,42.0,42.0,6533727.709,2361115.57,2080491.903,1753464.416,6533727.709,694.952472
551,2019,IN,IN,AUXIL,FINAN,31244.68,6468427.44,42.0,42.0,6468427.44,2607759.851,1871220.596,1378776.482,6468427.44,207.024922
8766,2019,IN,IN,PFERT,PFERT,30103.86,6235389.84,42.0,42.0,6235389.84,2311231.69,2306679.607,1509565.492,6235389.84,207.129247
710,2019,IN,IN,BASIC,FABRI,9616.89,6195783.215,42.0,42.0,6195783.215,2480831.638,1753327.667,1478691.671,6195783.215,644.260589
731,2019,IN,IN,BASIC,MACHI,8734.04,5854659.6,42.0,42.0,5854659.6,2074484.855,2006740.964,1286812.463,5854659.6,670.32663
709,2019,IN,IN,BASIC,ELECT,6778.17,5451174.101,42.0,42.0,5451174.101,1772916.95,1825743.798,1519382.907,5451174.101,804.225049
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,5430461.423,42.0,42.0,5430461.423,1634341.582,2051293.718,1327974.556,5430461.423,203.75865
5495,2019,IN,IN,GASDI,RAILW,21629.5,4947481.69,42.0,42.0,4947481.69,1495228.538,2024257.136,1048578.478,4947481.69,228.737682
715,2019,IN,IN,BASIC,FOUND,7229.47,4802847.369,42.0,42.0,4802847.369,1591130.827,1622799.775,1030541.75,4802847.369,664.342942
12871,2019,IN,IN,WHOLE,CONST,21383.1,4662084.11,42.0,42.0,4662084.11,1277640.668,1927191.718,974711.667,4662084.11,218.026578
1602,2019,IN,IN,CEMEN,CONST,21602.17,4312747.596,42.0,42.0,4312747.596,1752957.402,1526984.488,705964.619,4312747.596,199.644184
4616,2019,IN,IN,FINAN,REALE,17984.09,4128303.029,42.0,42.0,4128303.029,1384346.021,1473600.875,898142.051,4128303.029,229.553068
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,4016210.613,42.0,42.0,4016210.613,1314374.316,1321123.137,1058130.523,4016210.613,201.066186
676,2019,IN,IN,BASIC,BASIC,5768.49,3659784.256,42.0,42.0,3659784.256,1293862.358,1078648.47,939791.21,3659784.256,634.444067
4409,2019,IN,IN,FABRI,CONST,17966.38,3583028.683,42.0,42.0,3583028.683,1294171.242,1306459.379,754164.16,3583028.683,199.429639
6278,2019,IN,IN,LANDT,CONST,16418.39,3510512.614,42.0,42.0,3510512.614,1305410.151,1366489.52,560651.028,3510512.614,213.815887
9157,2019,IN,IN,POSTT,POSTT,15566.22,3215836.166,42.0,42.0,3215836.166,1388260.759,1193434.54,449665.243,3215836.166,206.590692
7531,2019,IN,IN,MOTO1,MOTO1,14855.99,2787773.728,42.0,42.0,2787773.728,1084979.64,687235.503,636968.218,2787773.728,187.653177
