trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/energy,natural_resource/in_ground,natural_resource/land,natural_resource/water,resources_Water_Consumption,resources_Water_Withdrawal,resources_Energy,resources_Land_Crops,resources_Land_Forest,resources_Land_Other,resources_Crops,resources_intensity
696,2019,IN,IN,BASIC,CONST,40111.81,13008590.579,253.0,253.0,102811.093,363911.309,10486437.624,67595.432,1987835.12,1174467.809,813367.311,363911.309,42072.373,1930322.201,22139.313,7019752.139,324.308242
2510,2019,IN,IN,CONST,CONST,52878.07,8022992.675,253.0,253.0,96177.477,294866.594,5011823.518,87248.517,2532876.57,1439687.566,1093189.004,294866.594,67146.561,947580.957,19122.441,3790640.752,151.726277
12435,2019,IN,IN,VEGET,FOOD5,41140.51,7001927.455,253.0,253.0,118476.826,111228.475,4746567.357,57124.384,1968530.412,1215855.703,752674.71,111228.475,35129.78,1000034.626,18311.878,3175614.786,170.195446
8465,2019,IN,IN,PADDY,PADDY,39823.7,6700126.999,253.0,253.0,113458.34,182261.366,4388275.353,64889.975,1951241.965,1117126.745,834115.22,182261.366,41060.984,851917.505,21883.311,3124072.619,168.244714
1138,2019,IN,IN,BITUM,BASIC,37608.28,6522353.083,253.0,253.0,76074.363,183032.853,4459911.755,51281.867,1752052.245,1041641.637,710410.608,183032.853,38122.789,682637.359,12379.542,3411131.763,173.428646
2841,2019,IN,IN,CRUDE,GASDI,16566.52,6072336.071,253.0,253.0,241399.997,142710.308,4924943.115,26125.164,737157.487,444897.674,292259.813,142710.308,16175.159,908020.382,8442.102,3586831.836,366.542646
5453,2019,IN,IN,GASDI,LANDT,33106.93,5053170.362,253.0,253.0,104983.019,140503.664,3216882.55,57978.362,1532822.767,884296.195,648526.573,140503.664,37896.756,576000.905,17567.209,2689680.218,152.631801
551,2019,IN,IN,AUXIL,FINAN,31244.68,4883059.703,253.0,253.0,106334.492,118624.559,3144032.798,51804.783,1462263.07,940094.956,522168.114,118624.559,38808.696,300511.586,12339.102,2524703.368,156.284516
8766,2019,IN,IN,PFERT,PFERT,30103.86,4749270.852,253.0,253.0,83183.424,164452.887,2939603.561,54394.09,1507636.891,854852.661,652784.23,164452.887,35034.878,351275.466,16897.957,2309482.391,157.762853
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,4418067.461,253.0,253.0,118032.908,104079.946,2873641.02,36387.315,1285926.272,760312.461,525613.811,104079.946,24967.224,309053.28,10237.664,2418770.384,165.772186
710,2019,IN,IN,BASIC,FABRI,9616.89,3674339.013,253.0,253.0,13193.529,90034.24,3101642.239,14822.861,454646.144,275092.012,179554.132,90034.24,9576.254,426988.009,4837.134,2341654.58,382.07144
12871,2019,IN,IN,WHOLE,CONST,21383.1,3416647.874,253.0,253.0,66970.136,97486.478,2181352.001,35675.539,1035163.72,616706.014,418457.706,97486.478,23382.004,312024.218,10500.437,1710841.756,159.782626
2849,2019,IN,IN,CRUDE,MOTOR,10307.52,3386662.254,253.0,253.0,80164.543,109986.913,2700243.58,17204.668,479062.55,299353.371,179709.18,109986.913,12344.069,519365.453,4783.258,1723072.38,328.562278
5495,2019,IN,IN,GASDI,RAILW,21629.5,3291234.306,253.0,253.0,49031.302,122993.42,2013130.228,33814.166,1072265.191,643691.418,428573.773,122993.42,21999.177,531543.243,10936.125,1428306.329,152.164142
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,3130615.135,253.0,253.0,56875.268,23318.898,2063815.567,28577.894,958027.508,590221.043,367806.465,23318.898,16827.059,273478.221,10665.035,1595104.363,156.730039
1602,2019,IN,IN,CEMEN,CONST,21602.17,3064503.495,253.0,253.0,42946.898,84523.335,1820962.118,33283.159,1082787.985,654340.233,428447.752,84523.335,21381.945,211174.55,11191.649,1423169.607,141.86091
731,2019,IN,IN,BASIC,MACHI,8734.04,2918984.871,253.0,253.0,43651.731,49450.159,2380221.105,17651.256,428010.621,251094.18,176916.44,49450.159,12095.931,332510.622,4835.844,1719545.634,334.207866
709,2019,IN,IN,BASIC,ELECT,6778.17,2770494.309,253.0,253.0,29106.06,76386.811,2321124.358,10327.669,333549.411,203386.756,130162.655,76386.811,6368.221,242176.496,3479.547,1840259.755,408.737802
738,2019,IN,IN,BASIC,MOTO1,9401.69,2739369.249,253.0,253.0,53772.404,77866.933,2093419.624,16289.225,498021.063,292526.374,205494.689,77866.933,10126.242,205697.387,5251.786,1620936.103,291.369876
4616,2019,IN,IN,FINAN,REALE,17984.09,2699842.974,253.0,253.0,54681.067,53214.481,1704905.31,24658.066,862384.05,518392.779,343991.27,53214.481,15822.189,299942.775,7407.866,1326109.0,150.123969
4409,2019,IN,IN,FABRI,CONST,17966.38,2647493.939,253.0,253.0,25261.788,49967.799,1690811.718,27369.27,854083.364,524938.97,329144.394,49967.799,20171.526,178398.092,6507.384,1424097.272,147.358229
9157,2019,IN,IN,POSTT,POSTT,15566.22,2563748.739,253.0,253.0,71323.444,70292.291,1666272.686,24570.346,731289.971,450921.283,280368.688,70292.291,15101.623,306801.92,8194.507,1275786.146,164.699506
7531,2019,IN,IN,MOTO1,MOTO1,14855.99,2502216.071,253.0,253.0,43018.583,76995.421,1608146.02,25087.166,748968.882,437113.417,311855.465,76995.421,14611.164,264094.564,9314.022,1211196.374,168.431459
715,2019,IN,IN,BASIC,FOUND,7229.47,2385188.544,253.0,253.0,11867.38,93769.238,1910585.414,11116.638,357849.874,209595.895,148253.978,93769.238,7505.871,367025.644,3544.781,1370637.648,329.925782
6278,2019,IN,IN,LANDT,CONST,16418.39,2266714.217,253.0,253.0,61481.729,51401.543,1360287.819,31431.174,762111.952,442992.726,319119.226,51401.543,19620.053,178199.92,10272.191,1141837.396,138.05947
8955,2019,IN,IN,PLANT,TEXTI,11463.22,2085823.008,253.0,253.0,36315.416,54880.647,1416534.245,17623.193,560469.508,338213.531,222255.977,54880.647,10750.069,220300.428,5761.708,1104871.249,181.957862
8473,2019,IN,IN,PADDY,PROCE,12208.37,1917831.025,253.0,253.0,38881.247,47656.181,1212309.872,18052.683,600931.042,374417.797,226513.245,47656.181,12553.525,184090.065,5306.342,888105.839,157.091489
12973,2019,IN,IN,WHOLE,TEXTI,11247.17,1885432.736,253.0,253.0,31618.212,47681.629,1226833.332,18069.458,561230.106,319443.269,241786.837,47681.629,10971.396,289683.526,6072.348,913624.411,167.636191
1678,2019,IN,IN,CERAM,CONST,12000.49,1864749.922,253.0,253.0,15969.198,57096.136,1198822.431,15017.697,577844.459,346604.459,231240.0,57096.136,9645.463,234490.69,4714.542,835947.183,155.389482
11110,2019,IN,IN,SALEM,LANDT,10818.9,1861191.018,253.0,253.0,43564.741,45735.375,1200599.152,19512.175,551779.575,325691.58,226087.995,45735.375,12327.645,274761.058,6433.898,858571.581,172.031447
10519,2019,IN,IN,RENTI,CONST,11004.03,1768120.813,253.0,253.0,24297.938,57402.006,1189998.524,17760.168,478662.178,292298.714,186363.464,57402.006,11808.711,156488.096,5520.103,933300.827,160.679389
676,2019,IN,IN,BASIC,BASIC,5768.49,1748566.0,253.0,253.0,20526.481,45439.49,1397089.629,8078.949,277431.451,163110.509,114320.942,45439.49,5340.768,275015.733,2336.591,840322.272,303.123694
10106,2019,IN,IN,RAWMI,DAIRY,11453.5,1727127.674,253.0,253.0,38198.74,49006.825,1035533.704,17399.613,586988.792,350554.915,236433.877,49006.825,10631.043,113486.907,6594.619,964192.971,150.79475
7719,2019,IN,IN,NAPHT,ELEC1,10250.55,1719247.873,253.0,253.0,41909.458,37728.64,1111931.959,16259.351,511418.466,309698.956,201719.51,37728.64,12146.278,201594.543,3603.09,780429.353,167.7225
5179,2019,IN,IN,FOUND,CONST,11859.08,1667849.746,253.0,253.0,36018.836,48777.823,998715.093,23332.645,561005.35,332461.835,228543.515,48777.823,14302.72,200188.687,8723.61,735934.186,140.63905
1398,2019,IN,IN,BUSIN,CONST,9127.86,1512664.84,253.0,253.0,41929.661,45403.364,970454.404,14863.231,440014.18,256474.785,183539.395,45403.364,9056.734,151473.798,5271.141,700187.221,165.719549
13009,2019,IN,IN,WOODW,CONST,9448.95,1509760.654,253.0,253.0,38925.92,34171.187,948832.465,18481.125,469349.956,277356.818,191993.138,34171.187,11121.535,225666.089,6432.639,701514.134,159.780786
775,2019,IN,IN,BASIC,TRANS,3509.09,1431606.251,253.0,253.0,10201.892,20036.153,1213229.979,6084.121,182054.106,111739.38,70314.726,20036.153,4080.31,122963.0,1909.899,909833.434,407.970799
2418,2019,IN,IN,COMPU,COMPU,10860.37,1429858.533,253.0,253.0,26935.403,57686.053,795881.137,16313.167,533042.774,305255.42,227787.354,57686.053,11405.924,109522.207,4227.881,694780.559,131.658363
8122,2019,IN,IN,NONME,CONST,9824.03,1397582.343,253.0,253.0,26359.763,31553.73,869743.346,13897.234,456028.271,279300.248,176728.023,31553.73,9367.833,132986.638,4361.108,792846.096,142.261612
4533,2019,IN,IN,FINAN,CONST,9059.36,1362670.026,253.0,253.0,26737.956,31743.526,846513.367,16818.187,440856.99,276327.859,164529.131,31743.526,11060.255,123213.408,5667.821,647483.306,150.415706
2846,2019,IN,IN,CRUDE,LIQUE,3967.11,1355234.326,253.0,253.0,58825.446,22776.856,1080642.363,6995.081,185994.581,118857.006,67137.575,22776.856,4383.237,98593.505,2283.518,836175.918,341.617532
12891,2019,IN,IN,WHOLE,FISH5,8953.81,1333604.87,253.0,253.0,23033.946,55747.877,784979.355,14326.284,455517.408,275820.961,179696.447,55747.877,10111.787,51499.361,4076.253,695418.316,148.942726
