year,region1,region2,industry1,industry2,amount
2019,IN,WA,TEXTI,TEXTI,3939.09
2019,IN,WA,BASIC,CONST,3416.91
2019,IN,WM,FURNI,CONST,2656.33
2019,IN,WA,FURNI,RETA1,2322.70
2019,IN,WA,TRANS,TRANS,2113.59
2019,IN,WM,GASDI,ELEC6,1956.82
2019,IN,CN,PLAST,RUBBE,1829.32
2019,IN,WM,KEROS,AIRTR,1768.22
2019,IN,WM,HEAVY,ELEC6,1703.33
2019,IN,WA,ELECT,CONST,1677.09
2019,IN,WA,CHEM1,RUBBE,1629.28
2019,IN,WM,CHEM1,CONST,1489.20
2019,IN,WM,RADIO,OFFIC,1477.07
2019,IN,WA,KEROS,AIRTR,1423.30
2019,IN,CN,CHEM1,PLAST,1306.74
2019,IN,WM,BASIC,FABRI,1272.16
2019,IN,WA,CHEM1,TEXTI,1271.43
2019,IN,WM,GASDI,MEDIC,1262.51
2019,IN,WM,MOTOR,PUBLI,1203.28
2019,IN,CN,MOTOR,LANDT,1198.74
2019,IN,WF,TEXTI,TEXTI,1161.81
2019,IN,CN,TEXTI,TEXTI,1151.96
2019,IN,WM,RADIO,PUBLI,1130.14
2019,IN,WA,CHEM1,PUBLI,1125.84
2019,IN,WA,MOTOR,MEATC,1090.26
2019,IN,WM,CERAM,CONST,1046.04
2019,IN,WA,PLANT,CHEM1,1012.50
2019,IN,WA,TRANS,RAILW,1011.33
2019,IN,WF,CHEM1,PUBLI,947.65
2019,IN,WF,MOTOR,LANDT,926.65
2019,IN,WA,CHEM1,FABRI,876.33
2019,IN,WM,CHEM1,TEXTI,806.49
2019,IN,WA,TRANS,OFFIC,805.68
2019,IN,US,GASDI,WOODW,803.04
2019,IN,WM,ELECT,ELECT,798.65
2019,IN,WA,PLAST,LEATH,775.06
2019,IN,WM,RADIO,RADIO,716.60
2019,IN,WA,CHEM1,PAPER,710.67
2019,IN,WM,PROCE,RESEA,690.86
2019,IN,WM,TEXTI,LEATH,666.35
2019,IN,WF,KEROS,AIRTR,662.82
2019,IN,MX,MOTO1,MOTO1,649.49
2019,IN,WL,CHEM1,CONST,642.65
2019,IN,CN,CHEM1,CHEM1,628.93
2019,IN,WF,ELECT,CONST,625.02
2019,IN,WA,PREC1,PREC1,587.99
2019,IN,WA,VEGET,OFFIC,575.65
2019,IN,JP,PRIVA,NATUR,553.10
2019,IN,CN,TEXTI,WEARI,545.04
2019,IN,US,RUBBE,MOTO1,534.47
2019,IN,CN,ELECT,CONST,520.59
2019,IN,WA,CHEM1,MOTO1,517.70
2019,IN,WF,TRANS,AIRTR,517.28
2019,IN,CN,PLANT,WOODW,510.90
2019,IN,WA,NAPHT,RUBBE,510.85
2019,IN,US,NONME,ELECT,510.67
2019,IN,WA,ALUM1,FABRI,507.98
2019,IN,US,ALUM1,ALUM1,486.16
2019,IN,WM,CHEM1,FOOD5,462.62
2019,IN,CN,VEGE1,PIGS9,460.87
2019,IN,WA,TRANS,SALEM,453.11
2019,IN,WF,GASDI,FURNI,450.91
2019,IN,WM,PROCE,FOOD5,449.22
2019,IN,WA,TRANS,CONST,447.41
2019,IN,WM,ELECT,RADIO,445.83
2019,IN,WA,VEGE1,HOTEL,443.69
