flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,IN,Other services (93),93197,CO - combustion - air,40543765.459400,factor_input,air_emissions
2,2019,IN,Other services (93),93197,CO2 - combustion - air,2225967164.270000,factor_input,air_emissions
3,2019,IN,Other services (93),93197,CO2_bio - combustion - air,236519716.081000,factor_input,air_emissions
4,2019,IN,Other services (93),93197,Employment hours: High-skilled female,164.493734,factor_input,employment
5,2019,IN,Other services (93),93197,Employment hours: High-skilled male,385.248758,factor_input,employment
6,2019,IN,Other services (93),93197,Employment hours: Low-skilled female,78.988349,factor_input,employment
7,2019,IN,Other services (93),93197,Employment hours: Low-skilled male,184.992844,factor_input,employment
8,2019,IN,Other services (93),93197,Employment hours: Medium-skilled female,420.804035,factor_input,employment
9,2019,IN,Other services (93),93197,Employment hours: Medium-skilled male,985.534398,factor_input,employment
10,2019,IN,Other services (93),93197,Employment people: High-skilled female,71.134271,factor_input,employment
11,2019,IN,Other services (93),93197,Employment people: High-skilled male,134.653398,factor_input,employment
12,2019,IN,Other services (93),93197,Employment people: Low-skilled female,34.158010,factor_input,employment
13,2019,IN,Other services (93),93197,Employment people: Low-skilled male,64.659300,factor_input,employment
14,2019,IN,Other services (93),93197,Employment people: Medium-skilled female,181.974034,factor_input,employment
15,2019,IN,Other services (93),93197,Employment people: Medium-skilled male,344.467186,factor_input,employment
16,2019,IN,Other services (93),93197,Energy use - Emission relevant,31285.627172,factor_input,energy
17,2019,IN,Other services (93),93197,Energy use - Final,41465.343265,factor_input,energy
18,2019,IN,Other services (93),93197,Energy use - Gross,43311.241495,factor_input,energy
19,2019,IN,Other services (93),93197,Energy use - Net,31285.627172,factor_input,energy
20,2019,IN,Other services (93),93197,NMVOC - combustion - air,3611024.792680,factor_input,air_emissions
21,2019,IN,Other services (93),93197,NOx - combustion - air,6544188.865390,factor_input,air_emissions
22,2019,IN,Other services (93),93197,PM10 - combustion - air,11119645.878300,factor_input,air_emissions
23,2019,IN,Other services (93),93197,PM2_5 - combustion - air,7638938.604680,factor_input,air_emissions
