flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,IN,AIRTR,Changes in inventories,0.66,final_demand
2,2019,AT,IN,AIRTR,Changes in valuables,0.09,final_demand
3,2019,AT,IN,AIRTR,Gross fixed capital formation,1.46,final_demand
4,2019,AT,IN,ANIMA,Changes in inventories,0.01,final_demand
5,2019,AT,IN,ANIMA,Final consumption expenditure by households,0.02,final_demand
6,2019,AT,IN,BEVER,Final consumption expenditure by households,61.39,final_demand
7,2019,AT,IN,BUSIN,Final consumption expenditure by government,0.39,final_demand
8,2019,AT,IN,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),0.01,final_demand
9,2019,AT,IN,BUSIN,Gross fixed capital formation,9.68,final_demand
10,2019,AT,IN,CHEM1,Final consumption expenditure by households,16.06,final_demand
11,2019,AT,IN,CONST,Changes in inventories,0.04,final_demand
12,2019,AT,IN,CONST,Changes in valuables,0.01,final_demand
13,2019,AT,IN,CONST,Final consumption expenditure by government,0.02,final_demand
14,2019,AT,IN,CONST,Final consumption expenditure by households,0.04,final_demand
15,2019,AT,IN,CONST,Gross fixed capital formation,0.05,final_demand
16,2019,AT,IN,DAIRY,Final consumption expenditure by households,0.05,final_demand
17,2019,AT,IN,EDUCA,Final consumption expenditure by households,0.01,final_demand
18,2019,AT,IN,FABRI,Final consumption expenditure by households,0.48,final_demand
19,2019,AT,IN,FOOD5,Final consumption expenditure by households,18.14,final_demand
20,2019,AT,IN,FURNI,Final consumption expenditure by households,0.12,final_demand
21,2019,AT,IN,FURNI,Gross fixed capital formation,0.30,final_demand
22,2019,AT,IN,HEALT,Final consumption expenditure by households,0.01,final_demand
23,2019,AT,IN,HOTEL,Final consumption expenditure by households,40.73,final_demand
24,2019,AT,IN,KEROS,Changes in inventories,0.08,final_demand
25,2019,AT,IN,LANDT,Changes in inventories,0.07,final_demand
26,2019,AT,IN,LANDT,Changes in valuables,0.05,final_demand
27,2019,AT,IN,LANDT,Gross fixed capital formation,0.08,final_demand
28,2019,AT,IN,LEATH,Final consumption expenditure by households,2.88,final_demand
29,2019,AT,IN,MACHI,Changes in inventories,3.95,final_demand
30,2019,AT,IN,MACHI,Final consumption expenditure by households,0.93,final_demand
31,2019,AT,IN,MACHI,Gross fixed capital formation,15.26,final_demand
32,2019,AT,IN,MEATA,Changes in inventories,0.02,final_demand
33,2019,AT,IN,MOTO1,Final consumption expenditure by households,1.81,final_demand
34,2019,AT,IN,MOTO1,Gross fixed capital formation,13.28,final_demand
35,2019,AT,IN,NONME,Final consumption expenditure by households,0.23,final_demand
36,2019,AT,IN,OFFIC,Final consumption expenditure by households,7.47,final_demand
