flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,IT,Other services (93),93197,CO2 - combustion - air,79173929.920500,factor_input,air_emissions
2,2019,IT,Other services (93),93197,CO2 - non combustion - Cement production - air,5248940.000000,factor_input,air_emissions
3,2019,IT,Other services (93),93197,CO2_bio - combustion - air,26282035.973500,factor_input,air_emissions
4,2019,IT,Other services (93),93197,Employment hours: High-skilled female,160.680508,factor_input,employment
5,2019,IT,Other services (93),93197,Employment hours: High-skilled male,88.263124,factor_input,employment
6,2019,IT,Other services (93),93197,Employment hours: Low-skilled female,43.464795,factor_input,employment
7,2019,IT,Other services (93),93197,Employment hours: Low-skilled male,23.176565,factor_input,employment
8,2019,IT,Other services (93),93197,Employment hours: Medium-skilled female,154.549611,factor_input,employment
9,2019,IT,Other services (93),93197,Employment hours: Medium-skilled male,86.067976,factor_input,employment
10,2019,IT,Other services (93),93197,Employment people: High-skilled female,92.201191,factor_input,employment
11,2019,IT,Other services (93),93197,Employment people: High-skilled male,43.819244,factor_input,employment
12,2019,IT,Other services (93),93197,Employment people: Low-skilled female,24.905257,factor_input,employment
13,2019,IT,Other services (93),93197,Employment people: Low-skilled male,11.500671,factor_input,employment
14,2019,IT,Other services (93),93197,Employment people: Medium-skilled female,88.569151,factor_input,employment
15,2019,IT,Other services (93),93197,Employment people: Medium-skilled male,42.586581,factor_input,employment
16,2019,IT,Other services (93),93197,Energy use - Emission relevant,1550.139877,factor_input,energy
17,2019,IT,Other services (93),93197,Energy use - Final,35526.766315,factor_input,energy
18,2019,IT,Other services (93),93197,Energy use - Gross,35845.735514,factor_input,energy
19,2019,IT,Other services (93),93197,Energy use - Net,1552.348518,factor_input,energy
20,2019,IT,Additives/Blending Components,ADDIT,CO2 - combustion - air,40762525.779800,factor_input,air_emissions
21,2019,IT,Additives/Blending Components,ADDIT,CO2 - non combustion - Cement production - air,2094420.000000,factor_input,air_emissions
22,2019,IT,Additives/Blending Components,ADDIT,Energy use - Emission relevant,626.460017,factor_input,energy
23,2019,IT,Additives/Blending Components,ADDIT,Energy use - Final,1611.576888,factor_input,energy
24,2019,IT,Additives/Blending Components,ADDIT,Energy use - Gross,1888.958117,factor_input,energy
25,2019,IT,Additives/Blending Components,ADDIT,Energy use - Net,650.053594,factor_input,energy
26,2019,IT,Additives/Blending Components,ADDIT,HFC - air,14371100.000000,factor_input,air_emissions
27,2019,IT,Air transport services (62),AIRTR,CO - combustion - air,7899972.682120,factor_input,air_emissions
28,2019,IT,Air transport services (62),AIRTR,CO2 - combustion - air,2501872296.160000,factor_input,air_emissions
29,2019,IT,Air transport services (62),AIRTR,CO2_bio - combustion - air,1347763.857180,factor_input,air_emissions
30,2019,IT,Air transport services (62),AIRTR,Employment hours: High-skilled male,4.180509,factor_input,employment
31,2019,IT,Air transport services (62),AIRTR,Employment hours: Medium-skilled female,2.711113,factor_input,employment
32,2019,IT,Air transport services (62),AIRTR,Employment hours: Medium-skilled male,10.090353,factor_input,employment
33,2019,IT,Air transport services (62),AIRTR,Employment people: High-skilled male,2.007852,factor_input,employment
34,2019,IT,Air transport services (62),AIRTR,Employment people: Medium-skilled male,4.846285,factor_input,employment
35,2019,IT,Air transport services (62),AIRTR,Energy use - Emission relevant,35010.569747,factor_input,energy
36,2019,IT,Air transport services (62),AIRTR,Energy use - Final,35079.226385,factor_input,energy
37,2019,IT,Air transport services (62),AIRTR,Energy use - Gross,35082.522196,factor_input,energy
38,2019,IT,Air transport services (62),AIRTR,Energy use - Net,35010.569747,factor_input,energy
39,2019,IT,Air transport services (62),AIRTR,NMVOC - combustion - air,957292.046799,factor_input,air_emissions
40,2019,IT,Air transport services (62),AIRTR,NOx - combustion - air,11683553.156800,factor_input,air_emissions
41,2019,IT,Aluminium and aluminium products,ALUM1,CH4 - non combustion - Extraction/production of (natural) gas - air,1050070.000000,factor_input,air_emissions
42,2019,IT,Aluminium and aluminium products,ALUM1,CO - non combustion - Primary aluminium production - air,715950000.000000,factor_input,air_emissions
43,2019,IT,Aluminium and aluminium products,ALUM1,CO2 - combustion - air,180038422.290000,factor_input,air_emissions
44,2019,IT,Aluminium and aluminium products,ALUM1,CO2 - non combustion - Cement production - air,5238140.000000,factor_input,air_emissions
45,2019,IT,Aluminium and aluminium products,ALUM1,CO2_bio - combustion - air,834281.712647,factor_input,air_emissions
46,2019,IT,Aluminium and aluminium products,ALUM1,Employment hours: High-skilled male,2.828719,factor_input,employment
47,2019,IT,Aluminium and aluminium products,ALUM1,Employment hours: Medium-skilled male,4.931559,factor_input,employment
48,2019,IT,Aluminium and aluminium products,ALUM1,Employment people: Medium-skilled male,2.362587,factor_input,employment
49,2019,IT,Aluminium and aluminium products,ALUM1,Energy use - Emission relevant,2436.831745,factor_input,energy
50,2019,IT,Aluminium and aluminium products,ALUM1,Energy use - Final,7431.228001,factor_input,energy
51,2019,IT,Aluminium and aluminium products,ALUM1,Energy use - Gross,9862.234272,factor_input,energy
52,2019,IT,Aluminium and aluminium products,ALUM1,Energy use - Net,2614.623906,factor_input,energy
53,2019,IT,Aluminium and aluminium products,ALUM1,HFC - air,2021250.000000,factor_input,air_emissions
54,2019,IT,Aluminium and aluminium products,ALUM1,NMVOC - non combustion - Decorative paint applicatoin - air,1395280.000000,factor_input,air_emissions
55,2019,IT,Aluminium and aluminium products,ALUM1,PM10 - non combustion - Primary aluminium production - air,2142730.000000,factor_input,air_emissions
56,2019,IT,Aluminium and aluminium products,ALUM1,PM2.5 - non combustion - Primary aluminium production - air,1560690.000000,factor_input,air_emissions
57,2019,IT,Aluminium and aluminium products,ALUM1,TSP - non combustion - Primary aluminium production - air,3219730.000000,factor_input,air_emissions
58,2019,IT,Aluminium and aluminium products,ALUM1,Water Consumption Blue - Manufacturing - Aluminium and aluminium products,2.648880,factor_input,water
59,2019,IT,Aluminium and aluminium products,ALUM1,Water Withdrawal Blue - Manufacturing - Aluminium and aluminium products,17.209000,factor_input,water
60,2019,IT,Aluminium ores and concentrates,ALUMI,CO - non combustion - Primary aluminium production - air,4085620.000000,factor_input,air_emissions
61,2019,IT,Aluminium ores and concentrates,ALUMI,CO2 - combustion - air,904933.070661,factor_input,air_emissions
62,2019,IT,Aluminium ores and concentrates,ALUMI,Energy use - Emission relevant,11.982646,factor_input,energy
63,2019,IT,Aluminium ores and concentrates,ALUMI,Energy use - Final,40.199844,factor_input,energy
64,2019,IT,Aluminium ores and concentrates,ALUMI,Energy use - Gross,53.014090,factor_input,energy
65,2019,IT,Aluminium ores and concentrates,ALUMI,Energy use - Net,12.883759,factor_input,energy
66,2019,IT,Animal products nec,ANIMA,CO2 - combustion - air,2033833.097780,factor_input,air_emissions
67,2019,IT,Animal products nec,ANIMA,Energy use - Emission relevant,30.412056,factor_input,energy
68,2019,IT,Animal products nec,ANIMA,Energy use - Final,40.301509,factor_input,energy
69,2019,IT,Animal products nec,ANIMA,Energy use - Gross,55.028959,factor_input,energy
70,2019,IT,Animal products nec,ANIMA,Energy use - Net,30.413131,factor_input,energy
71,2019,IT,Anthracite,ANTHR,Energy use - Emission relevant,0.140151,factor_input,energy
72,2019,IT,Anthracite,ANTHR,Energy use - Final,0.256025,factor_input,energy
73,2019,IT,Anthracite,ANTHR,Energy use - Gross,0.334154,factor_input,energy
74,2019,IT,Anthracite,ANTHR,Energy use - Net,0.140966,factor_input,energy
75,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,CO2 - combustion - air,226873494.413000,factor_input,air_emissions
76,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,CO2_bio - combustion - air,5969772.075030,factor_input,air_emissions
77,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment hours: High-skilled female,122.765224,factor_input,employment
78,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment hours: High-skilled male,172.019613,factor_input,employment
79,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment hours: Low-skilled male,2.109330,factor_input,employment
80,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment hours: Medium-skilled female,59.225634,factor_input,employment
81,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment hours: Medium-skilled male,83.551675,factor_input,employment
82,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment people: High-skilled female,67.863066,factor_input,employment
83,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment people: High-skilled male,84.049302,factor_input,employment
84,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment people: Medium-skilled female,32.744593,factor_input,employment
85,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Employment people: Medium-skilled male,40.739029,factor_input,employment
86,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Energy use - Emission relevant,3700.381980,factor_input,energy
87,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Energy use - Final,5177.804461,factor_input,energy
88,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Energy use - Gross,5411.299809,factor_input,energy
89,2019,IT,Services auxiliary to financial intermediation (67),AUXIL,Energy use - Net,3700.708137,factor_input,energy
90,2019,IT,Aviation Gasoline,AVIAT,CO2 - combustion - air,1558993.530020,factor_input,air_emissions
91,2019,IT,Aviation Gasoline,AVIAT,Energy use - Emission relevant,23.870440,factor_input,energy
92,2019,IT,Aviation Gasoline,AVIAT,Energy use - Final,33.753917,factor_input,energy
93,2019,IT,Aviation Gasoline,AVIAT,Energy use - Gross,177.373238,factor_input,energy
94,2019,IT,Aviation Gasoline,AVIAT,Energy use - Net,28.043115,factor_input,energy
