flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,IT,AIRTR,Final consumption expenditure by households,61.12,final_demand
2,2019,AT,IT,ALUM1,Gross fixed capital formation,0.03,final_demand
3,2019,AT,IT,ANIMA,Changes in inventories,0.23,final_demand
4,2019,AT,IT,BASIC,Gross fixed capital formation,0.01,final_demand
5,2019,AT,IT,BEVER,Final consumption expenditure by households,35.43,final_demand
6,2019,AT,IT,BRICK,Gross fixed capital formation,0.09,final_demand
7,2019,AT,IT,BUSIN,Final consumption expenditure by households,0.40,final_demand
8,2019,AT,IT,CATTL,Changes in inventories,2.28,final_demand
9,2019,AT,IT,CATTL,Gross fixed capital formation,28.78,final_demand
10,2019,AT,IT,CEMEN,Final consumption expenditure by households,0.03,final_demand
11,2019,AT,IT,CEMEN,Gross fixed capital formation,1.16,final_demand
12,2019,AT,IT,CERAM,Final consumption expenditure by households,2.78,final_demand
13,2019,AT,IT,CERAM,Gross fixed capital formation,0.04,final_demand
14,2019,AT,IT,CEREA,Changes in inventories,5.33,final_demand
15,2019,AT,IT,CEREA,Final consumption expenditure by households,2.00,final_demand
16,2019,AT,IT,COMPU,Gross fixed capital formation,35.69,final_demand
17,2019,AT,IT,COPP1,Gross fixed capital formation,0.10,final_demand
18,2019,AT,IT,DAIRY,Final consumption expenditure by households,89.37,final_demand
19,2019,AT,IT,ELEC4,Final consumption expenditure by households,1.42,final_demand
20,2019,AT,IT,ELEC5,Final consumption expenditure by households,0.78,final_demand
21,2019,AT,IT,ELEC6,Final consumption expenditure by households,0.05,final_demand
22,2019,AT,IT,FABRI,Final consumption expenditure by households,55.08,final_demand
23,2019,AT,IT,FABRI,Gross fixed capital formation,44.40,final_demand
24,2019,AT,IT,FISHF,Final consumption expenditure by households,1.60,final_demand
25,2019,AT,IT,FISHF,Gross fixed capital formation,0.06,final_demand
26,2019,AT,IT,FOOD5,Final consumption expenditure by households,626.20,final_demand
27,2019,AT,IT,FORES,Final consumption expenditure by households,13.55,final_demand
28,2019,AT,IT,GLASS,Gross fixed capital formation,1.64,final_demand
29,2019,AT,IT,LANDT,Final consumption expenditure by households,646.11,final_demand
30,2019,AT,IT,LANDT,Gross fixed capital formation,81.82,final_demand
31,2019,AT,IT,LEATH,Final consumption expenditure by households,24.82,final_demand
32,2019,AT,IT,LEATH,Gross fixed capital formation,0.17,final_demand
33,2019,AT,IT,LIQUE,Final consumption expenditure by households,0.32,final_demand
34,2019,AT,IT,MEAT1,Final consumption expenditure by households,5.60,final_demand
35,2019,AT,IT,MEAT4,Final consumption expenditure by households,8.64,final_demand
36,2019,AT,IT,MEATA,Changes in inventories,0.38,final_demand
37,2019,AT,IT,MEATA,Final consumption expenditure by households,1.87,final_demand
38,2019,AT,IT,MEATA,Gross fixed capital formation,0.03,final_demand
39,2019,AT,IT,MEATC,Final consumption expenditure by households,80.52,final_demand
40,2019,AT,IT,MEATP,Final consumption expenditure by households,36.85,final_demand
41,2019,AT,IT,MOTO1,Gross fixed capital formation,19.11,final_demand
42,2019,AT,IT,MOTOR,Final consumption expenditure by households,14.63,final_demand
43,2019,AT,IT,NFERT,Final consumption expenditure by households,0.11,final_demand
44,2019,AT,IT,NONF1,Gross fixed capital formation,0.23,final_demand
45,2019,AT,IT,NONME,Final consumption expenditure by households,28.97,final_demand
46,2019,AT,IT,NONME,Gross fixed capital formation,0.60,final_demand
47,2019,AT,IT,OFFIC,Changes in inventories,5.10,final_demand
48,2019,AT,IT,OFFIC,Final consumption expenditure by households,66.93,final_demand
49,2019,AT,IT,OILSE,Changes in inventories,0.05,final_demand
50,2019,AT,IT,OILSE,Final consumption expenditure by households,0.03,final_demand
51,2019,AT,IT,PAPER,Final consumption expenditure by households,13.47,final_demand
52,2019,AT,IT,PFERT,Final consumption expenditure by government,8.85,final_demand
53,2019,AT,IT,PFERT,Final consumption expenditure by households,0.13,final_demand
54,2019,AT,IT,PIGS9,Changes in inventories,0.11,final_demand
55,2019,AT,IT,PIGS9,Gross fixed capital formation,0.02,final_demand
56,2019,AT,IT,PLAST,Final consumption expenditure by government,0.44,final_demand
57,2019,AT,IT,POSTT,Final consumption expenditure by households,27.26,final_demand
58,2019,AT,IT,POULT,Final consumption expenditure by households,0.03,final_demand
59,2019,AT,IT,PRINT,Gross fixed capital formation,0.96,final_demand
60,2019,AT,IT,PROCE,Final consumption expenditure by households,0.08,final_demand
61,2019,AT,IT,PUBLI,Changes in inventories,0.01,final_demand
62,2019,AT,IT,PUBLI,Final consumption expenditure by government,0.01,final_demand
63,2019,AT,IT,PUBLI,Final consumption expenditure by households,0.02,final_demand
64,2019,AT,IT,PUBLI,Gross fixed capital formation,0.02,final_demand
65,2019,AT,IT,RAILW,Final consumption expenditure by households,32.83,final_demand
66,2019,AT,IT,RAILW,Gross fixed capital formation,28.95,final_demand
67,2019,AT,IT,RECRE,Changes in inventories,0.15,final_demand
68,2019,AT,IT,RECRE,Changes in valuables,0.02,final_demand
69,2019,AT,IT,RECRE,Final consumption expenditure by households,2.92,final_demand
70,2019,AT,IT,RECRE,Gross fixed capital formation,0.02,final_demand
71,2019,AT,IT,RESEA,Gross fixed capital formation,0.36,final_demand
72,2019,AT,IT,RETA1,Changes in valuables,0.51,final_demand
73,2019,AT,IT,RUBBE,Final consumption expenditure by households,110.58,final_demand
74,2019,AT,IT,RUBBE,Gross fixed capital formation,0.29,final_demand
75,2019,AT,IT,SUGA1,Final consumption expenditure by households,4.10,final_demand
76,2019,AT,IT,SUGAR,Changes in inventories,0.09,final_demand
77,2019,AT,IT,TEXTI,Final consumption expenditure by households,74.21,final_demand
78,2019,AT,IT,TEXTI,Gross fixed capital formation,4.56,final_demand
79,2019,AT,IT,TRAN2,Final consumption expenditure by households,6.08,final_demand
80,2019,AT,IT,TRANS,Final consumption expenditure by households,0.83,final_demand
81,2019,AT,IT,TRANS,Gross fixed capital formation,3.41,final_demand
82,2019,AT,IT,VEGET,Changes in inventories,0.58,final_demand
83,2019,AT,IT,VEGET,Final consumption expenditure by households,36.89,final_demand
84,2019,AT,IT,WEARI,Final consumption expenditure by households,46.00,final_demand
85,2019,AT,IT,WHEAT,Changes in inventories,4.56,final_demand
86,2019,AT,IT,WHEAT,Final consumption expenditure by households,38.83,final_demand
87,2019,AT,IT,WOODW,Final consumption expenditure by households,205.77,final_demand
88,2019,AT,IT,WOODW,Gross fixed capital formation,20.66,final_demand
89,2019,AU,IT,AIRTR,Final consumption expenditure by households,19.38,final_demand
90,2019,AU,IT,ANIMA,Changes in inventories,0.55,final_demand
91,2019,AU,IT,BEVER,Final consumption expenditure by households,0.67,final_demand
92,2019,AU,IT,BUSIN,Final consumption expenditure by households,0.30,final_demand
93,2019,AU,IT,CERAM,Final consumption expenditure by households,0.04,final_demand
94,2019,AU,IT,COMPU,Gross fixed capital formation,1.05,final_demand
95,2019,AU,IT,ELECT,Changes in inventories,0.12,final_demand
96,2019,AU,IT,FABRI,Final consumption expenditure by households,0.46,final_demand
97,2019,AU,IT,FABRI,Gross fixed capital formation,0.37,final_demand
98,2019,AU,IT,FISHF,Final consumption expenditure by households,5.92,final_demand
99,2019,AU,IT,FISHF,Gross fixed capital formation,0.22,final_demand
100,2019,AU,IT,FOOD5,Final consumption expenditure by households,16.33,final_demand
101,2019,AU,IT,FURNI,Changes in inventories,0.16,final_demand
102,2019,AU,IT,FURNI,Changes in valuables,0.06,final_demand
103,2019,AU,IT,FURNI,Final consumption expenditure by households,2.78,final_demand
104,2019,AU,IT,FURNI,Gross fixed capital formation,5.44,final_demand
105,2019,AU,IT,GLASS,Gross fixed capital formation,0.01,final_demand
106,2019,AU,IT,LANDT,Final consumption expenditure by households,0.39,final_demand
107,2019,AU,IT,LANDT,Gross fixed capital formation,0.05,final_demand
108,2019,AU,IT,LEATH,Final consumption expenditure by households,46.64,final_demand
109,2019,AU,IT,LEATH,Gross fixed capital formation,0.31,final_demand
110,2019,AU,IT,MEATC,Final consumption expenditure by households,9.83,final_demand
111,2019,AU,IT,MEATP,Final consumption expenditure by households,0.03,final_demand
112,2019,AU,IT,MOTO1,Gross fixed capital formation,29.00,final_demand
113,2019,AU,IT,NONF1,Gross fixed capital formation,0.06,final_demand
114,2019,AU,IT,NONME,Final consumption expenditure by households,0.38,final_demand
115,2019,AU,IT,OFFIC,Changes in inventories,0.16,final_demand
116,2019,AU,IT,OFFIC,Final consumption expenditure by households,2.14,final_demand
117,2019,AU,IT,PAPER,Final consumption expenditure by households,0.20,final_demand
118,2019,AU,IT,PFERT,Final consumption expenditure by government,0.55,final_demand
119,2019,AU,IT,PLANT,Changes in inventories,0.01,final_demand
120,2019,AU,IT,POSTT,Final consumption expenditure by households,5.09,final_demand
121,2019,AU,IT,PUBLI,Changes in inventories,0.05,final_demand
122,2019,AU,IT,PUBLI,Changes in valuables,0.02,final_demand
123,2019,AU,IT,PUBLI,Final consumption expenditure by government,0.06,final_demand
124,2019,AU,IT,PUBLI,Final consumption expenditure by households,0.08,final_demand
125,2019,AU,IT,PUBLI,Gross fixed capital formation,0.10,final_demand
126,2019,AU,IT,RAILW,Final consumption expenditure by households,0.05,final_demand
127,2019,AU,IT,RAILW,Gross fixed capital formation,0.05,final_demand
128,2019,AU,IT,RECRE,Changes in inventories,0.02,final_demand
129,2019,AU,IT,RECRE,Final consumption expenditure by households,0.32,final_demand
130,2019,AU,IT,RESEA,Gross fixed capital formation,0.40,final_demand
131,2019,AU,IT,RETA1,Changes in valuables,0.03,final_demand
132,2019,AU,IT,RUBBE,Final consumption expenditure by households,0.78,final_demand
133,2019,AU,IT,TEXTI,Final consumption expenditure by households,17.38,final_demand
134,2019,AU,IT,TEXTI,Gross fixed capital formation,1.07,final_demand
135,2019,AU,IT,TRANS,Final consumption expenditure by households,1.74,final_demand
136,2019,AU,IT,TRANS,Gross fixed capital formation,7.13,final_demand
137,2019,AU,IT,VEGET,Changes in inventories,0.27,final_demand
138,2019,AU,IT,VEGET,Final consumption expenditure by households,17.32,final_demand
139,2019,AU,IT,WEARI,Final consumption expenditure by households,3.59,final_demand
140,2019,AU,IT,WOODW,Final consumption expenditure by households,0.02,final_demand
141,2019,AU,IT,WOOLS,Changes in inventories,10.47,final_demand
142,2019,BE,IT,AIRTR,Final consumption expenditure by households,199.02,final_demand
143,2019,BE,IT,ALUM1,Gross fixed capital formation,0.02,final_demand
144,2019,BE,IT,BEVER,Final consumption expenditure by households,23.50,final_demand
145,2019,BE,IT,BRICK,Gross fixed capital formation,0.10,final_demand
146,2019,BE,IT,BUSIN,Final consumption expenditure by households,2.95,final_demand
147,2019,BE,IT,CATTL,Changes in inventories,0.33,final_demand
148,2019,BE,IT,CATTL,Gross fixed capital formation,4.22,final_demand
149,2019,BE,IT,CEMEN,Gross fixed capital formation,0.27,final_demand
150,2019,BE,IT,CERAM,Final consumption expenditure by households,1.00,final_demand
