flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,JP,Other services (93),93197,CO - combustion - air,59119750.417600,factor_input,air_emissions
2,2019,JP,Other services (93),93197,CO2 - combustion - air,3199680894.560000,factor_input,air_emissions
3,2019,JP,Other services (93),93197,CO2_bio - combustion - air,110436910.630000,factor_input,air_emissions
4,2019,JP,Other services (93),93197,Employment hours: High-skilled female,1312.904877,factor_input,employment
5,2019,JP,Other services (93),93197,Employment hours: High-skilled male,887.422227,factor_input,employment
6,2019,JP,Other services (93),93197,Employment hours: Low-skilled female,130.954389,factor_input,employment
7,2019,JP,Other services (93),93197,Employment hours: Low-skilled male,88.524990,factor_input,employment
8,2019,JP,Other services (93),93197,Employment hours: Medium-skilled female,1955.547649,factor_input,employment
9,2019,JP,Other services (93),93197,Employment hours: Medium-skilled male,1321.505757,factor_input,employment
10,2019,JP,Other services (93),93197,Employment people: High-skilled female,781.733815,factor_input,employment
11,2019,JP,Other services (93),93197,Employment people: High-skilled male,403.487786,factor_input,employment
12,2019,JP,Other services (93),93197,Employment people: Low-skilled female,77.973365,factor_input,employment
13,2019,JP,Other services (93),93197,Employment people: Low-skilled male,40.250430,factor_input,employment
14,2019,JP,Other services (93),93197,Employment people: Medium-skilled female,1164.366331,factor_input,employment
15,2019,JP,Other services (93),93197,Employment people: Medium-skilled male,600.837067,factor_input,employment
16,2019,JP,Other services (93),93197,Energy use - Emission relevant,44577.633619,factor_input,energy
17,2019,JP,Other services (93),93197,Energy use - Final,69920.785593,factor_input,energy
18,2019,JP,Other services (93),93197,Energy use - Gross,72950.073425,factor_input,energy
19,2019,JP,Other services (93),93197,Energy use - Net,45761.714330,factor_input,energy
20,2019,JP,Other services (93),93197,NMVOC - combustion - air,15067295.179100,factor_input,air_emissions
21,2019,JP,Other services (93),93197,NMVOC - non combustion - Decorative paint applicatoin - air,2484630.000000,factor_input,air_emissions
22,2019,JP,Other services (93),93197,"NMVOC - non combustion - Industrial paint application, general industry - air",2384010.000000,factor_input,air_emissions
23,2019,JP,Other services (93),93197,NOx - combustion - air,4302631.051210,factor_input,air_emissions
24,2019,JP,Additives/Blending Components,ADDIT,CO2 - combustion - air,9302081.110020,factor_input,air_emissions
25,2019,JP,Additives/Blending Components,ADDIT,CO2_bio - combustion - air,9690645.602500,factor_input,air_emissions
26,2019,JP,Additives/Blending Components,ADDIT,Energy use - Emission relevant,234.068428,factor_input,energy
27,2019,JP,Additives/Blending Components,ADDIT,Energy use - Final,225.960057,factor_input,energy
28,2019,JP,Additives/Blending Components,ADDIT,Energy use - Gross,373.408262,factor_input,energy
29,2019,JP,Additives/Blending Components,ADDIT,Energy use - Net,246.355071,factor_input,energy
30,2019,JP,Air transport services (62),AIRTR,CO - combustion - air,87526812.812700,factor_input,air_emissions
31,2019,JP,Air transport services (62),AIRTR,CO2 - combustion - air,27216647600.799999,factor_input,air_emissions
32,2019,JP,Air transport services (62),AIRTR,Employment hours: High-skilled female,19.806625,factor_input,employment
33,2019,JP,Air transport services (62),AIRTR,Employment hours: High-skilled male,84.351938,factor_input,employment
34,2019,JP,Air transport services (62),AIRTR,Employment hours: Low-skilled female,5.268277,factor_input,employment
35,2019,JP,Air transport services (62),AIRTR,Employment hours: Low-skilled male,22.436397,factor_input,employment
36,2019,JP,Air transport services (62),AIRTR,Employment hours: Medium-skilled female,29.525976,factor_input,employment
37,2019,JP,Air transport services (62),AIRTR,Employment hours: Medium-skilled male,125.744450,factor_input,employment
38,2019,JP,Air transport services (62),AIRTR,Employment people: High-skilled female,11.903020,factor_input,employment
39,2019,JP,Air transport services (62),AIRTR,Employment people: High-skilled male,35.187693,factor_input,employment
40,2019,JP,Air transport services (62),AIRTR,Employment people: Low-skilled female,3.166032,factor_input,employment
41,2019,JP,Air transport services (62),AIRTR,Employment people: Low-skilled male,9.359418,factor_input,employment
42,2019,JP,Air transport services (62),AIRTR,Employment people: Medium-skilled female,17.743976,factor_input,employment
43,2019,JP,Air transport services (62),AIRTR,Employment people: Medium-skilled male,52.454718,factor_input,employment
44,2019,JP,Air transport services (62),AIRTR,Energy use - Emission relevant,380600.911750,factor_input,energy
45,2019,JP,Air transport services (62),AIRTR,Energy use - Final,380519.269240,factor_input,energy
46,2019,JP,Air transport services (62),AIRTR,Energy use - Gross,380600.973756,factor_input,energy
47,2019,JP,Air transport services (62),AIRTR,Energy use - Net,380600.973756,factor_input,energy
48,2019,JP,Air transport services (62),AIRTR,NMVOC - combustion - air,11211266.803100,factor_input,air_emissions
49,2019,JP,Air transport services (62),AIRTR,NOx - combustion - air,129379393.749000,factor_input,air_emissions
50,2019,JP,Aluminium and aluminium products,ALUM1,CO - non combustion - Primary aluminium production - air,5117280.000000,factor_input,air_emissions
51,2019,JP,Aluminium and aluminium products,ALUM1,CO2 - combustion - air,700400042.783000,factor_input,air_emissions
52,2019,JP,Aluminium and aluminium products,ALUM1,CO2 - non combustion - Cement production - air,88667000.000000,factor_input,air_emissions
53,2019,JP,Aluminium and aluminium products,ALUM1,CO2 - non combustion - Lime production - air,14171200.000000,factor_input,air_emissions
54,2019,JP,Aluminium and aluminium products,ALUM1,CO2_bio - combustion - air,3995740.047930,factor_input,air_emissions
55,2019,JP,Aluminium and aluminium products,ALUM1,Employment hours: High-skilled female,8.227008,factor_input,employment
56,2019,JP,Aluminium and aluminium products,ALUM1,Employment hours: High-skilled male,24.255558,factor_input,employment
57,2019,JP,Aluminium and aluminium products,ALUM1,Employment hours: Low-skilled female,1.757462,factor_input,employment
58,2019,JP,Aluminium and aluminium products,ALUM1,Employment hours: Low-skilled male,5.232295,factor_input,employment
