flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,JP,AIRTR,Changes in inventories,0.08,final_demand
2,2019,AT,JP,AIRTR,Final consumption expenditure by government,2.04,final_demand
3,2019,AT,JP,AIRTR,Final consumption expenditure by households,106.08,final_demand
4,2019,AT,JP,AIRTR,Gross fixed capital formation,2.28,final_demand
5,2019,AT,JP,ALUM1,Changes in inventories,0.01,final_demand
6,2019,AT,JP,ALUM1,Final consumption expenditure by households,0.09,final_demand
7,2019,AT,JP,ALUM1,Gross fixed capital formation,0.20,final_demand
8,2019,AT,JP,ANIMA,Gross fixed capital formation,0.05,final_demand
9,2019,AT,JP,BASIC,Changes in inventories,0.05,final_demand
10,2019,AT,JP,BASIC,Gross fixed capital formation,1.60,final_demand
11,2019,AT,JP,BEVER,Final consumption expenditure by households,7.15,final_demand
12,2019,AT,JP,BUSIN,Final consumption expenditure by government,2.47,final_demand
13,2019,AT,JP,BUSIN,Final consumption expenditure by households,7.97,final_demand
14,2019,AT,JP,CEMEN,Gross fixed capital formation,0.01,final_demand
15,2019,AT,JP,CERAM,Final consumption expenditure by households,0.04,final_demand
16,2019,AT,JP,COMPU,Final consumption expenditure by government,0.04,final_demand
17,2019,AT,JP,COMPU,Final consumption expenditure by households,0.14,final_demand
18,2019,AT,JP,COMPU,Gross fixed capital formation,2.30,final_demand
19,2019,AT,JP,DAIRY,Final consumption expenditure by households,0.24,final_demand
20,2019,AT,JP,FABRI,Changes in inventories,0.14,final_demand
21,2019,AT,JP,FABRI,Final consumption expenditure by government,0.14,final_demand
22,2019,AT,JP,FABRI,Final consumption expenditure by households,4.38,final_demand
23,2019,AT,JP,FABRI,Gross fixed capital formation,4.42,final_demand
24,2019,AT,JP,FOOD5,Final consumption expenditure by government,8.76,final_demand
25,2019,AT,JP,FOOD5,Final consumption expenditure by households,4.59,final_demand
26,2019,AT,JP,FOOD5,Final consumption expenditure by non-profit organisations serving households (NPISH),0.01,final_demand
27,2019,AT,JP,FORES,Final consumption expenditure by government,0.09,final_demand
28,2019,AT,JP,FORES,Final consumption expenditure by households,0.18,final_demand
29,2019,AT,JP,FORES,Gross fixed capital formation,0.03,final_demand
30,2019,AT,JP,GLASS,Final consumption expenditure by households,0.13,final_demand
