flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,KR,Other services (93),93197,CO - combustion - air,4165020.920460,factor_input,air_emissions
2,2019,KR,Other services (93),93197,CO2 - combustion - air,773847755.549000,factor_input,air_emissions
3,2019,KR,Other services (93),93197,CO2 - non combustion - Cement production - air,5975300.000000,factor_input,air_emissions
4,2019,KR,Other services (93),93197,CO2_bio - combustion - air,42390731.184000,factor_input,air_emissions
5,2019,KR,Other services (93),93197,Employment hours: High-skilled female,63.078592,factor_input,employment
6,2019,KR,Other services (93),93197,Employment hours: High-skilled male,66.043239,factor_input,employment
7,2019,KR,Other services (93),93197,Employment hours: Low-skilled female,16.228356,factor_input,employment
8,2019,KR,Other services (93),93197,Employment hours: Low-skilled male,16.972116,factor_input,employment
9,2019,KR,Other services (93),93197,Employment hours: Medium-skilled female,162.755356,factor_input,employment
10,2019,KR,Other services (93),93197,Employment hours: Medium-skilled male,169.928018,factor_input,employment
11,2019,KR,Other services (93),93197,Employment people: High-skilled female,29.557084,factor_input,employment
12,2019,KR,Other services (93),93197,Employment people: High-skilled male,27.781933,factor_input,employment
13,2019,KR,Other services (93),93197,Employment people: Low-skilled female,7.600239,factor_input,employment
14,2019,KR,Other services (93),93197,Employment people: Low-skilled male,7.137086,factor_input,employment
15,2019,KR,Other services (93),93197,Employment people: Medium-skilled female,76.212104,factor_input,employment
16,2019,KR,Other services (93),93197,Employment people: Medium-skilled male,71.453460,factor_input,employment
17,2019,KR,Other services (93),93197,Energy use - Emission relevant,11955.847520,factor_input,energy
18,2019,KR,Other services (93),93197,Energy use - Final,19099.626586,factor_input,energy
19,2019,KR,Other services (93),93197,Energy use - Gross,20043.571877,factor_input,energy
20,2019,KR,Other services (93),93197,Energy use - Net,11956.397428,factor_input,energy
21,2019,KR,Other services (93),93197,NOx - combustion - air,1611391.572380,factor_input,air_emissions
22,2019,KR,Additives/Blending Components,ADDIT,CO2 - combustion - air,31368272.743500,factor_input,air_emissions
23,2019,KR,Additives/Blending Components,ADDIT,CO2_bio - combustion - air,1034348.916500,factor_input,air_emissions
24,2019,KR,Additives/Blending Components,ADDIT,Employment hours: High-skilled female,0.844995,factor_input,employment
25,2019,KR,Additives/Blending Components,ADDIT,Employment hours: High-skilled male,2.308907,factor_input,employment
26,2019,KR,Additives/Blending Components,ADDIT,Employment hours: Medium-skilled female,2.027053,factor_input,employment
27,2019,KR,Additives/Blending Components,ADDIT,Employment hours: Medium-skilled male,5.540662,factor_input,employment
28,2019,KR,Additives/Blending Components,ADDIT,Employment people: High-skilled male,0.999153,factor_input,employment
29,2019,KR,Additives/Blending Components,ADDIT,Employment people: Medium-skilled female,0.963727,factor_input,employment
30,2019,KR,Additives/Blending Components,ADDIT,Employment people: Medium-skilled male,2.397668,factor_input,employment
31,2019,KR,Additives/Blending Components,ADDIT,Energy use - Emission relevant,378.092118,factor_input,energy
32,2019,KR,Additives/Blending Components,ADDIT,Energy use - Final,2164.862136,factor_input,energy
33,2019,KR,Additives/Blending Components,ADDIT,Energy use - Gross,2725.737373,factor_input,energy
34,2019,KR,Additives/Blending Components,ADDIT,Energy use - Net,677.456159,factor_input,energy
35,2019,KR,Additives/Blending Components,ADDIT,HFC - air,166963000.000000,factor_input,air_emissions
36,2019,KR,Air transport services (62),AIRTR,CO - combustion - air,66430732.424400,factor_input,air_emissions
37,2019,KR,Air transport services (62),AIRTR,CO2 - combustion - air,20675439118.500000,factor_input,air_emissions
38,2019,KR,Air transport services (62),AIRTR,CO2_bio - combustion - air,1638322.959600,factor_input,air_emissions
39,2019,KR,Air transport services (62),AIRTR,Employment hours: High-skilled female,5.603066,factor_input,employment
40,2019,KR,Air transport services (62),AIRTR,Employment hours: High-skilled male,30.038607,factor_input,employment
41,2019,KR,Air transport services (62),AIRTR,Employment hours: Low-skilled female,4.745024,factor_input,employment
42,2019,KR,Air transport services (62),AIRTR,Employment hours: Low-skilled male,25.438567,factor_input,employment
43,2019,KR,Air transport services (62),AIRTR,Employment hours: Medium-skilled female,35.137289,factor_input,employment
44,2019,KR,Air transport services (62),AIRTR,Employment hours: Medium-skilled male,188.374617,factor_input,employment
45,2019,KR,Air transport services (62),AIRTR,Employment people: High-skilled female,2.723743,factor_input,employment
46,2019,KR,Air transport services (62),AIRTR,Employment people: High-skilled male,12.205061,factor_input,employment
47,2019,KR,Air transport services (62),AIRTR,Employment people: Low-skilled female,2.306635,factor_input,employment
48,2019,KR,Air transport services (62),AIRTR,Employment people: Low-skilled male,10.336007,factor_input,employment
49,2019,KR,Air transport services (62),AIRTR,Employment people: Medium-skilled female,17.080816,factor_input,employment
50,2019,KR,Air transport services (62),AIRTR,Employment people: Medium-skilled male,76.538956,factor_input,employment
51,2019,KR,Air transport services (62),AIRTR,Energy use - Emission relevant,289142.888845,factor_input,energy
52,2019,KR,Air transport services (62),AIRTR,Energy use - Final,289064.131036,factor_input,energy
53,2019,KR,Air transport services (62),AIRTR,Energy use - Gross,289143.788939,factor_input,energy
54,2019,KR,Air transport services (62),AIRTR,Energy use - Net,289142.900427,factor_input,energy
55,2019,KR,Air transport services (62),AIRTR,NMVOC - combustion - air,10229431.556300,factor_input,air_emissions
56,2019,KR,Air transport services (62),AIRTR,NOx - combustion - air,97652993.775000,factor_input,air_emissions
57,2019,KR,Aluminium and aluminium products,ALUM1,CO - combustion - air,1577551.754160,factor_input,air_emissions
58,2019,KR,Aluminium and aluminium products,ALUM1,CO - non combustion - Primary aluminium production - air,68511700.000000,factor_input,air_emissions
59,2019,KR,Aluminium and aluminium products,ALUM1,CO2 - combustion - air,197472687.924000,factor_input,air_emissions
60,2019,KR,Aluminium and aluminium products,ALUM1,CO2 - non combustion - Cement production - air,4864150.000000,factor_input,air_emissions
61,2019,KR,Aluminium and aluminium products,ALUM1,CO2_bio - combustion - air,8111207.359360,factor_input,air_emissions
62,2019,KR,Aluminium and aluminium products,ALUM1,Employment hours: High-skilled female,2.979222,factor_input,employment
63,2019,KR,Aluminium and aluminium products,ALUM1,Employment hours: High-skilled male,8.144693,factor_input,employment
64,2019,KR,Aluminium and aluminium products,ALUM1,Employment hours: Low-skilled male,2.040915,factor_input,employment
65,2019,KR,Aluminium and aluminium products,ALUM1,Employment hours: Medium-skilled female,6.956918,factor_input,employment
66,2019,KR,Aluminium and aluminium products,ALUM1,Employment hours: Medium-skilled male,19.018859,factor_input,employment
67,2019,KR,Aluminium and aluminium products,ALUM1,Employment people: High-skilled female,1.416386,factor_input,employment
68,2019,KR,Aluminium and aluminium products,ALUM1,Employment people: High-skilled male,3.524501,factor_input,employment
69,2019,KR,Aluminium and aluminium products,ALUM1,Employment people: Low-skilled male,0.883177,factor_input,employment
70,2019,KR,Aluminium and aluminium products,ALUM1,Employment people: Medium-skilled female,3.307465,factor_input,employment
71,2019,KR,Aluminium and aluminium products,ALUM1,Employment people: Medium-skilled male,8.230140,factor_input,employment
72,2019,KR,Aluminium and aluminium products,ALUM1,Energy use - Emission relevant,2793.757613,factor_input,energy
73,2019,KR,Aluminium and aluminium products,ALUM1,Energy use - Final,34471.699303,factor_input,energy
74,2019,KR,Aluminium and aluminium products,ALUM1,Energy use - Gross,36058.333532,factor_input,energy
75,2019,KR,Aluminium and aluminium products,ALUM1,Energy use - Net,3688.404546,factor_input,energy
76,2019,KR,Aluminium and aluminium products,ALUM1,Water Consumption Blue - Manufacturing - Aluminium and aluminium products,0.775681,factor_input,water
77,2019,KR,Aluminium and aluminium products,ALUM1,Water Withdrawal Blue - Manufacturing - Aluminium and aluminium products,5.700550,factor_input,water
78,2019,KR,Aluminium ores and concentrates,ALUMI,CO2 - combustion - air,2180395.066450,factor_input,air_emissions
