flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,KR,AIRTR,Final consumption expenditure by government,0.39,final_demand
2,2019,AT,KR,AIRTR,Gross fixed capital formation,0.35,final_demand
3,2019,AT,KR,BEVER,Final consumption expenditure by households,7.51,final_demand
4,2019,AT,KR,BUSIN,Final consumption expenditure by government,2.47,final_demand
5,2019,AT,KR,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),0.05,final_demand
6,2019,AT,KR,CEMEN,Gross fixed capital formation,0.01,final_demand
7,2019,AT,KR,CERAM,Final consumption expenditure by households,0.15,final_demand
8,2019,AT,KR,CHEM1,Final consumption expenditure by households,3.10,final_demand
9,2019,AT,KR,CONST,Final consumption expenditure by government,0.03,final_demand
10,2019,AT,KR,CONST,Final consumption expenditure by households,0.02,final_demand
11,2019,AT,KR,CONST,Final consumption expenditure by non-profit organisations serving households (NPISH),0.01,final_demand
12,2019,AT,KR,CONST,Gross fixed capital formation,0.04,final_demand
13,2019,AT,KR,DAIRY,Final consumption expenditure by government,1.39,final_demand
14,2019,AT,KR,DAIRY,Final consumption expenditure by households,1.98,final_demand
15,2019,AT,KR,DAIRY,Final consumption expenditure by non-profit organisations serving households (NPISH),0.03,final_demand
16,2019,AT,KR,FABRI,Final consumption expenditure by households,0.29,final_demand
17,2019,AT,KR,FABRI,Gross fixed capital formation,1.59,final_demand
18,2019,AT,KR,FOOD5,Final consumption expenditure by government,0.19,final_demand
19,2019,AT,KR,FOOD5,Final consumption expenditure by households,16.88,final_demand
20,2019,AT,KR,FOOD5,Final consumption expenditure by non-profit organisations serving households (NPISH),0.03,final_demand
21,2019,AT,KR,FORES,Final consumption expenditure by government,0.03,final_demand
22,2019,AT,KR,FORES,Final consumption expenditure by households,0.03,final_demand
23,2019,AT,KR,FORES,Gross fixed capital formation,0.05,final_demand
24,2019,AT,KR,FURNI,Final consumption expenditure by government,0.03,final_demand
25,2019,AT,KR,FURNI,Final consumption expenditure by households,1.39,final_demand
26,2019,AT,KR,FURNI,Gross fixed capital formation,0.17,final_demand
27,2019,AT,KR,GASDI,Final consumption expenditure by households,0.02,final_demand
28,2019,AT,KR,GLASS,Final consumption expenditure by households,0.02,final_demand
29,2019,AT,KR,GLASS,Gross fixed capital formation,0.14,final_demand
30,2019,AT,KR,HOTEL,Final consumption expenditure by households,39.73,final_demand
31,2019,AT,KR,INSUR,Final consumption expenditure by households,0.97,final_demand
32,2019,AT,KR,LANDT,Final consumption expenditure by government,0.42,final_demand
33,2019,AT,KR,MACHI,Final consumption expenditure by government,0.16,final_demand
34,2019,AT,KR,MACHI,Final consumption expenditure by households,0.71,final_demand
35,2019,AT,KR,MACHI,Gross fixed capital formation,0.27,final_demand
