trade_id,factor_id,coefficient,impact_value
267,414,276607954063.0,90686945342253.0
268,414,276607954063.0,356502855996.27466
269,414,276607954063.0,42530535296494.695
270,414,276607954063.0,11110863308268.795
271,414,276607954063.0,19890045996.73212
272,414,276607954063.0,563962434187.2408
273,414,276607954063.0,120343446175.4902
274,414,276607954063.0,70738494117701.84
275,414,276607954063.0,24348601392.354267
276,414,276607954063.0,33786157217435.555
277,414,276607954063.0,30280630092433.39
278,414,276607954063.0,427472768574.582
279,414,276607954063.0,411079413945.07654
280,414,276607954063.0,4369323700718.3057
281,414,276607954063.0,439150054563.29584
282,414,276607954063.0,10292168132019.656
283,414,276607954063.0,58957343044.09886
284,414,276607954063.0,3564426275684.504
285,414,276607954063.0,4670096994086581.0
286,414,276607954063.0,4738754300201.259
287,414,276607954063.0,31712334138241.242
288,414,276607954063.0,1687789182720.6003
289,414,276607954063.0,9334624371174.693
290,414,276607954063.0,18022706978385.51
291,414,276607954063.0,482552916865.0965
292,414,276607954063.0,661423675.8175281
293,414,276607954063.0,20561249163.367558
294,414,276607954063.0,57602789711.293304
295,414,276607954063.0,1099611968728.9878
296,414,276607954063.0,119681763696026.6
297,414,276607954063.0,717510136488673.5
298,414,276607954063.0,130087644431020.64
299,414,276607954063.0,5577821061377.226
300,414,276607954063.0,232934354422.88034
301,414,276607954063.0,714311869284.6168
302,414,276607954063.0,59751360511720.53
303,414,276607954063.0,19666183213255.145
304,414,276607954063.0,50826837970294.3
305,414,276607954063.0,28406605062406.77
306,414,276607954063.0,358800127538983.56
307,414,276607954063.0,524660008439.88513
308,414,276607954063.0,216937373747.8902
309,414,276607954063.0,22002330981177.33
310,414,276607954063.0,18766717444804.312
311,414,276607954063.0,9044224859646.344
312,414,276607954063.0,3237033515807.8784
313,414,276607954063.0,5587834445153.982
314,414,276607954063.0,625092520309.3402
315,414,276607954063.0,540376666233.8366
316,414,276607954063.0,1695248662249.5203
317,414,276607954063.0,126096608972.31186
318,414,276607954063.0,10639523403809.32
319,414,276607954063.0,160312176598.9488
320,414,276607954063.0,134436666560821.67
321,414,276607954063.0,2747663473062242.5
322,414,276607954063.0,9625815920148.418
323,414,276607954063.0,553293842466.8467
324,414,276607954063.0,725735972.4557984
325,414,276607954063.0,1555126691032.5806
326,414,276607954063.0,66595670213761.65
327,414,276607954063.0,7873898922210.153
328,414,276607954063.0,97523234039866.72
329,414,276607954063.0,4791117701716.974
330,414,276607954063.0,10361147459775.922
331,414,276607954063.0,12698770688962.77
332,414,276607954063.0,82163424860050.6
333,414,276607954063.0,18443874255465.48
334,414,276607954063.0,48181018242.53033
335,414,276607954063.0,14887218120571.527
336,414,276607954063.0,1573952716372332.5
337,414,276607954063.0,991813038442.1288
338,414,276607954063.0,293427494690807.94
339,414,276607954063.0,2288274000097.1807
340,414,276607954063.0,12866318933424.28
341,414,276607954063.0,9172812040247.67
342,414,276607954063.0,152186084985123.1
343,414,276607954063.0,5046876835111.523
344,414,276607954063.0,49919143533.41366
345,414,276607954063.0,27447085245.45637
346,414,276607954063.0,3668627136905.293
347,414,276607954063.0,349040354785468.06
348,414,276607954063.0,334042342936.3497
349,414,276607954063.0,559331060.3710207
350,414,276607954063.0,982824937483.3512
351,414,276607954063.0,128488396554.77803
352,414,276607954063.0,2675594554695.0396
353,414,276607954063.0,33298964640.025276
354,414,276607954063.0,470513113335.193
355,414,276607954063.0,84702423856485.48
356,414,276607954063.0,14329934086433.002
357,414,276607954063.0,1552298534036.7664
358,414,276607954063.0,362909024236.2181
359,414,276607954063.0,437271414269.2552
360,414,276607954063.0,12114608202584.352
361,414,276607954063.0,13590865514290.307
362,414,276607954063.0,114212628151306.45
363,414,276607954063.0,69803330018468.48
364,414,276607954063.0,28694650492316.113
365,414,276607954063.0,389999018350.51953
366,414,276607954063.0,2166469343740.5767
367,414,276607954063.0,9422476683148.352
368,414,276607954063.0,1301865192721.9524
369,414,276607954063.0,1997017051213.9604
370,414,276607954063.0,2731231326.6345224
371,414,276607954063.0,14661003942417.541
372,414,276607954063.0,235891287696.1555
373,414,276607954063.0,30977836510188.273
374,414,276607954063.0,1245981301183.6301
375,414,276607954063.0,4135666023459.709
376,414,276607954063.0,798760163562.0356
377,414,276607954063.0,6320017820422.57
378,414,276607954063.0,10161027526274.832
379,414,276607954063.0,10080045533567.523
380,414,276607954063.0,52318933725325.09
381,414,276607954063.0,13936159836.66993
382,414,276607954063.0,24091909889.337147
383,414,276607954063.0,332020938196.05347
384,414,276607954063.0,31468226976773.582
385,414,276607954063.0,3092519970577.486
386,414,276607954063.0,1670827061967.0132
387,414,276607954063.0,9872056958823.848
388,414,276607954063.0,7752300640353.915
389,414,276607954063.0,34673615459799.5
390,414,276607954063.0,350443490668563.44
391,414,276607954063.0,2954709554357.1265
