trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/energy,natural_resource/in_ground,natural_resource/land,natural_resource/water,resources_Water_Consumption,resources_Water_Withdrawal,resources_Energy,resources_Land_Crops,resources_Land_Forest,resources_Land_Other,resources_Crops,resources_intensity
2193,2019,US,US,BUSIN,BUSIN,389532.68,59102343.155,253.0,253.0,708502.981,2172170.329,36920202.394,642726.721,18658740.73,10605632.086,8053108.644,2172170.329,494643.237,6980469.403,140867.765,27924212.269,151.726277
2245,2019,US,US,BUSIN,HEALT,259298.4,44131406.877,253.0,253.0,746729.963,701045.41,29916433.244,360040.784,12407157.476,7663236.025,4743921.452,701045.41,221414.263,6302969.469,115415.211,20015109.996,170.195446
2312,2019,US,US,BUSIN,REALE,255903.78,37230224.147,253.0,253.0,655910.25,1160833.676,22300323.577,431242.732,12681913.913,7492824.478,5189089.435,1160833.676,268411.702,4119390.065,141243.535,16437540.373,145.485245
6903,2019,US,US,FINAN,FINAN,198897.43,33463441.138,253.0,253.0,566661.866,910295.06,21917016.496,324089.659,9745378.057,5579432.313,4165945.743,910295.06,205076.984,4254858.347,109295.076,15603020.69,168.244714
6984,2019,US,US,FINAN,REALE,187989.89,32602832.104,253.0,253.0,380267.622,914913.573,22293450.277,256339.096,8757861.537,5206781.507,3551080.03,914913.573,190561.733,3412251.826,61880.753,17050986.776,173.428646
4035,2019,US,US,CRUDE,MOTOR,83496.86,28589353.881,253.0,253.0,821439.786,714526.74,22647351.29,126844.465,4279191.601,2555571.193,1723620.408,714526.74,77501.084,2479447.515,48075.255,19964747.865,342.400348
3625,2019,US,US,CONST,REALE,173110.35,26422144.549,253.0,253.0,548937.854,734669.098,16820516.556,303158.723,8014862.319,4623830.23,3391032.088,734669.098,198155.512,3011808.051,91855.867,14063867.715,152.631801
2230,2019,US,US,BUSIN,FINAN,159145.98,26381976.952,253.0,253.0,704819.809,621501.316,17159613.748,217282.629,7678759.45,4540117.597,3138641.854,621501.316,149088.878,1845475.781,61133.022,14443406.553,165.772186
805,2019,US,US,AUXIL,AUXIL,163057.95,25483432.855,253.0,253.0,554932.371,619071.07,16407898.651,270355.839,7631174.924,4906113.818,2725061.106,619071.07,202532.603,1568292.685,64394.601,13175777.623,156.284516
2345,2019,US,US,BUSIN,WHOLE,159641.32,25185470.165,253.0,253.0,441123.217,872096.666,15588771.431,288452.852,7995025.999,4533299.292,3461726.707,872096.666,185790.597,1862820.219,89610.173,12247227.344,157.762853
873,2019,US,US,AUXIL,INSUR,158180.93,24069465.469,253.0,253.0,358575.876,899475.878,14722430.557,247289.866,7841693.293,4707446.181,3134247.113,899475.878,160884.452,3887283.778,79978.102,10445494.511,152.164142
16494,2019,US,US,REALE,HEALT,154835.89,21965160.259,253.0,253.0,307826.533,605830.142,13051942.94,238560.642,7761000.001,4690054.394,3070945.607,605830.142,153257.401,1513616.429,80217.354,10200722.094,141.86091
16560,2019,US,US,REALE,REALE,136433.51,21799704.526,253.0,253.0,427298.692,622006.276,13917977.753,227625.506,6604796.298,3934853.512,2669942.786,622006.276,149187.389,1990850.683,66997.368,10915917.046,159.782626
3979,2019,US,US,CRUDE,CRUDE,59521.32,20591887.092,253.0,253.0,645949.744,520825.936,16491971.269,92478.219,2840661.923,1646478.633,1194183.29,520825.936,59720.921,2353146.093,30009.096,12455230.474,345.958173
4005,2019,US,US,CRUDE,GASDI,46911.45,19574013.648,253.0,253.0,600972.578,528670.136,16064411.084,71477.393,2308482.456,1407631.803,900850.653,528670.136,44074.207,1676094.076,24081.81,13135896.607,417.254501
6924,2019,US,US,FINAN,INSUR,124822.18,19563385.137,253.0,253.0,355416.658,145721.07,12896896.311,178584.823,5986766.276,3688323.566,2298442.709,145721.07,105153.213,1708980.358,66646.387,9967894.374,156.730039
2247,2019,US,US,BUSIN,HOTEL,116784.9,18027535.34,253.0,253.0,571077.639,503014.785,11572717.931,184168.113,5196556.873,3136285.13,2060271.743,503014.785,114026.023,2140768.855,59512.199,8877226.261,154.365293
2318,2019,US,US,BUSIN,RETA1,119885.67,17997712.636,253.0,253.0,364515.322,354738.758,11365252.028,164375.779,5748830.749,3455713.672,2293117.078,354738.758,105473.989,1999480.684,49382.371,8840117.346,150.123969
2307,2019,US,US,BUSIN,PUBLI,108230.27,17825471.967,253.0,253.0,495904.314,488734.815,11585416.545,170834.999,5084581.294,3135207.664,1949373.63,488734.815,104999.978,2133161.081,56975.531,8870405.213,164.699506
9760,2019,US,US,INSUR,HEALT,104031.25,17522135.225,253.0,253.0,301243.94,539171.734,11261278.487,175676.56,5244764.504,3060950.848,2183813.655,539171.734,102316.819,1849360.939,65222.806,8481580.345,168.431459
16442,2019,US,US,REALE,BUSIN,116947.02,17233105.759,253.0,253.0,164434.392,325251.116,11005856.041,178152.45,5559411.759,3416940.319,2142471.44,325251.116,131300.791,1161231.433,42357.961,9269754.517,147.358229
20845,2019,US,US,WHOLE,CONST,89883.16,16354947.663,253.0,253.0,284749.338,430319.399,11107051.435,138183.537,4394643.954,2651933.828,1742710.126,430319.399,84291.343,1727376.654,45177.575,8663300.474,181.957862
2206,2019,US,US,BUSIN,COMPU,102516.62,16104488.511,253.0,253.0,326495.185,400180.42,10180057.653,151592.721,5046162.532,3144076.316,1902086.216,400180.42,105414.967,1545848.563,44558.632,7457638.394,157.091489
12076,2019,US,US,MOTO1,MOTO1,115110.9,15892149.81,253.0,253.0,431054.271,360381.126,9537107.785,220366.964,5343239.665,3105864.303,2237375.362,360381.126,137558.067,1249376.656,72019.31,8005531.014,138.05947
3334,2019,US,US,COMPU,BUSIN,95561.05,14849182.032,253.0,253.0,127164.254,454661.995,9546337.71,119587.358,4601430.715,2760044.47,1841386.245,454661.995,76807.744,1867271.803,37542.348,6656727.395,155.389482
17164,2019,US,US,RETA1,CONST,82894.37,13896096.429,253.0,253.0,233033.888,351425.165,9042059.128,133176.286,4136401.962,2354374.349,1782027.612,351425.165,80861.852,2135037.826,44754.681,6733633.439,167.636191
3967,2019,US,US,CRUDE,CHEM1,41470.41,13150109.878,253.0,253.0,335115.647,302456.301,10505224.646,64582.897,1942730.387,1179557.528,763172.859,302456.301,42303.612,1290892.65,19576.701,8346706.618,317.096211
16496,2019,US,US,REALE,HOTEL,75525.76,12992805.753,253.0,253.0,304121.508,319274.507,8381273.831,136212.724,3851923.184,2273623.391,1578299.793,319274.507,86058.173,1918082.032,44914.455,5993610.366,172.031447
16731,2019,US,US,RECRE,RECRE,91614.35,12884555.16,253.0,253.0,278254.489,376820.843,7715323.118,180250.501,4333906.209,2568350.572,1765555.637,376820.843,110492.075,1546507.525,67392.063,5685275.085,140.63905
