flow_id,year,region,sector,industry,factor_name,coefficient,flow_type,extension_type
1,2019,US,Other services (93),93197,CO - combustion - air,35325554.633300,factor_input,air_emissions
2,2019,US,Other services (93),93197,CO2 - combustion - air,3169002731.800000,factor_input,air_emissions
3,2019,US,Other services (93),93197,CO2_bio - combustion - air,1195022158.590000,factor_input,air_emissions
4,2019,US,Other services (93),93197,Employment hours: High-skilled female,856.769844,factor_input,employment
5,2019,US,Other services (93),93197,Employment hours: High-skilled male,749.687111,factor_input,employment
6,2019,US,Other services (93),93197,Employment hours: Low-skilled female,177.471902,factor_input,employment
7,2019,US,Other services (93),93197,Employment hours: Low-skilled male,154.281803,factor_input,employment
8,2019,US,Other services (93),93197,Employment hours: Medium-skilled female,968.737996,factor_input,employment
9,2019,US,Other services (93),93197,Employment hours: Medium-skilled male,848.376417,factor_input,employment
10,2019,US,Other services (93),93197,Employment people: High-skilled female,495.682566,factor_input,employment
11,2019,US,Other services (93),93197,Employment people: High-skilled male,371.264633,factor_input,employment
12,2019,US,Other services (93),93197,Employment people: Low-skilled female,102.751969,factor_input,employment
13,2019,US,Other services (93),93197,Employment people: Low-skilled male,76.405502,factor_input,employment
14,2019,US,Other services (93),93197,Employment people: Medium-skilled female,560.776526,factor_input,employment
15,2019,US,Other services (93),93197,Employment people: Medium-skilled male,420.493025,factor_input,employment
16,2019,US,Other services (93),93197,Energy use - Emission relevant,66807.230027,factor_input,energy
17,2019,US,Other services (93),93197,Energy use - Final,86098.401700,factor_input,energy
18,2019,US,Other services (93),93197,Energy use - Gross,87690.511663,factor_input,energy
19,2019,US,Other services (93),93197,Energy use - Net,66990.682782,factor_input,energy
20,2019,US,Additives/Blending Components,ADDIT,CO2 - combustion - air,803946396.295000,factor_input,air_emissions
21,2019,US,Additives/Blending Components,ADDIT,CO2_bio - combustion - air,14041688.019500,factor_input,air_emissions
22,2019,US,Additives/Blending Components,ADDIT,Employment hours: High-skilled male,14.271730,factor_input,employment
23,2019,US,Additives/Blending Components,ADDIT,Employment hours: Medium-skilled male,16.353411,factor_input,employment
24,2019,US,Additives/Blending Components,ADDIT,Employment people: High-skilled male,6.491399,factor_input,employment
25,2019,US,Additives/Blending Components,ADDIT,Employment people: Medium-skilled male,7.438237,factor_input,employment
