flow_id,year,region1,region2,industry1,demand_category,amount,flow_type
1,2019,AT,US,93197,Final consumption expenditure by households,0.62,final_demand
2,2019,AT,US,AIRTR,Final consumption expenditure by households,2.41,final_demand
3,2019,AT,US,AIRTR,Gross fixed capital formation,3.58,final_demand
4,2019,AT,US,ALUM1,Gross fixed capital formation,1.68,final_demand
5,2019,AT,US,ANIMA,Changes in inventories,0.02,final_demand
6,2019,AT,US,ANIMA,Final consumption expenditure by households,0.19,final_demand
7,2019,AT,US,AUXIL,Final consumption expenditure by households,0.16,final_demand
8,2019,AT,US,AUXIL,Gross fixed capital formation,0.12,final_demand
9,2019,AT,US,BASIC,Final consumption expenditure by households,0.50,final_demand
10,2019,AT,US,BASIC,Gross fixed capital formation,83.27,final_demand
11,2019,AT,US,BEVER,Final consumption expenditure by households,2051.46,final_demand
12,2019,AT,US,BUSIN,Changes in inventories,0.01,final_demand
13,2019,AT,US,BUSIN,Final consumption expenditure by households,10.98,final_demand
14,2019,AT,US,BUSIN,Final consumption expenditure by non-profit organisations serving households (NPISH),103.75,final_demand
15,2019,AT,US,BUSIN,Gross fixed capital formation,159.72,final_demand
16,2019,AT,US,CERAM,Final consumption expenditure by households,16.63,final_demand
17,2019,AT,US,CEREA,Changes in inventories,0.04,final_demand
18,2019,AT,US,CHEM1,Changes in inventories,0.03,final_demand
19,2019,AT,US,CHEM1,Final consumption expenditure by households,286.24,final_demand
20,2019,AT,US,CHEM1,Gross fixed capital formation,104.00,final_demand
21,2019,AT,US,CHEMI,Final consumption expenditure by households,0.12,final_demand
22,2019,AT,US,COMPU,Final consumption expenditure by households,2.94,final_demand
23,2019,AT,US,COMPU,Gross fixed capital formation,252.43,final_demand
24,2019,AT,US,CONST,Gross fixed capital formation,4.44,final_demand
25,2019,AT,US,COPP1,Gross fixed capital formation,0.01,final_demand
26,2019,AT,US,CROPS,Changes in inventories,0.05,final_demand
27,2019,AT,US,DAIRY,Final consumption expenditure by households,1.91,final_demand
28,2019,AT,US,EDUCA,Final consumption expenditure by households,0.20,final_demand
29,2019,AT,US,EDUCA,Final consumption expenditure by non-profit organisations serving households (NPISH),2.04,final_demand
30,2019,AT,US,FABRI,Gross fixed capital formation,541.51,final_demand
31,2019,AT,US,FINAN,Final consumption expenditure by households,9.60,final_demand
32,2019,AT,US,FINAN,Final consumption expenditure by non-profit organisations serving households (NPISH),24.45,final_demand
33,2019,AT,US,FOOD5,Final consumption expenditure by households,197.52,final_demand
34,2019,AT,US,FOOD5,Gross fixed capital formation,0.04,final_demand
35,2019,AT,US,FURNI,Final consumption expenditure by households,21.88,final_demand
36,2019,AT,US,GASDI,Final consumption expenditure by households,0.03,final_demand
37,2019,AT,US,GLASS,Final consumption expenditure by households,1.64,final_demand
38,2019,AT,US,HEALT,Final consumption expenditure by non-profit organisations serving households (NPISH),18.64,final_demand
39,2019,AT,US,HEAVY,Changes in inventories,0.13,final_demand
40,2019,AT,US,HOTEL,Changes in inventories,2.52,final_demand
41,2019,AT,US,HOTEL,Changes in valuables,0.13,final_demand
42,2019,AT,US,HOTEL,Final consumption expenditure by non-profit organisations serving households (NPISH),592.23,final_demand
43,2019,AT,US,INLAN,Final consumption expenditure by households,2.76,final_demand
44,2019,AT,US,INLAN,Gross fixed capital formation,0.06,final_demand
45,2019,AT,US,INSUR,Final consumption expenditure by households,1.71,final_demand
46,2019,AT,US,INSUR,Gross fixed capital formation,2.64,final_demand
47,2019,AT,US,LANDT,Final consumption expenditure by households,6.74,final_demand
48,2019,AT,US,LANDT,Gross fixed capital formation,38.17,final_demand
49,2019,AT,US,LEATH,Final consumption expenditure by households,50.38,final_demand
50,2019,AT,US,MACHI,Final consumption expenditure by households,1.19,final_demand
51,2019,AT,US,MACHI,Gross fixed capital formation,77.50,final_demand
52,2019,AT,US,MEAT4,Final consumption expenditure by households,0.04,final_demand
53,2019,AT,US,MEATA,Changes in inventories,0.76,final_demand
54,2019,AT,US,MEMBE,Final consumption expenditure by non-profit organisations serving households (NPISH),0.01,final_demand
55,2019,AT,US,MOTO1,Final consumption expenditure by households,9.93,final_demand
56,2019,AT,US,MOTO1,Gross fixed capital formation,1014.35,final_demand
57,2019,AT,US,MOTOR,Final consumption expenditure by households,0.47,final_demand
58,2019,AT,US,NONF1,Final consumption expenditure by households,0.08,final_demand
59,2019,AT,US,NONF1,Gross fixed capital formation,0.04,final_demand
60,2019,AT,US,NONME,Final consumption expenditure by households,1.78,final_demand
61,2019,AT,US,OFFIC,Final consumption expenditure by households,2.16,final_demand
62,2019,AT,US,OFFIC,Gross fixed capital formation,103.32,final_demand
63,2019,AT,US,OILSE,Changes in inventories,0.23,final_demand
64,2019,AT,US,PAPER,Final consumption expenditure by households,56.13,final_demand
65,2019,AT,US,PLAST,Changes in inventories,0.25,final_demand
66,2019,AT,US,POSTT,Changes in inventories,0.01,final_demand
67,2019,AT,US,POSTT,Final consumption expenditure by households,115.63,final_demand
68,2019,AT,US,POSTT,Gross fixed capital formation,0.12,final_demand
69,2019,AT,US,PRINT,Final consumption expenditure by households,2.85,final_demand
