trade_id,factor_id,coefficient,impact_value
11609,8,48470914501.9,595114791.7254707
11610,8,48470914501.9,24871086115.16669
12039,8,60675615325.7,2940797290.308849
12040,8,60675615325.7,892143753.9201527
12041,8,60675615325.7,2093215678.9854028
12042,8,60675615325.7,1754157723.8488047
12043,8,60675615325.7,2790928260.847682
12044,8,60675615325.7,16578870902.753046
12045,8,60675615325.7,1064780838.3059448
12046,8,60675615325.7,10950939919.4333
12047,8,60675615325.7,149877304396.7308
12048,8,60675615325.7,6023854426.982574
12049,8,60675615325.7,733502775.7562889
12050,8,60675615325.7,31846636290.07693
12051,8,60675615325.7,5941845099.639658
12052,8,60675615325.7,36805140371.17246
12053,8,60675615325.7,28549994543.239193
12054,8,60675615325.7,3285150576.7053056
12055,8,60675615325.7,10688358204.346308
12056,8,60675615325.7,1107884665.411546
12057,8,60675615325.7,37660431486.1085
12058,8,60675615325.7,3942022669.9203186
12059,8,60675615325.7,20367719124.88796
12060,8,60675615325.7,96687093136.01497
12061,8,60675615325.7,1188714854.889015
12062,8,60675615325.7,6352524430.101333
12063,8,60675615325.7,1379675558.510461
12064,8,60675615325.7,78575932868.78401
12065,8,60675615325.7,997450763.81049
12066,8,60675615325.7,19207559852.09686
12067,8,60675615325.7,5517618426.080862
12068,8,60675615325.7,98500945840.56053
12069,8,60675615325.7,46230522170.222046
12070,8,60675615325.7,2369176530.0868616
12071,8,60675615325.7,18145027523.498985
12072,8,60675615325.7,2664231461.1469727
12073,8,60675615325.7,17458113139.449745
12074,8,60675615325.7,4941923728.728638
12075,8,60675615325.7,1025355602.6705081
12076,8,60675615325.7,1605932340.5059078
12077,8,60675615325.7,1560850614.333604
12078,8,60675615325.7,33307022691.872055
12079,8,60675615325.7,61236204318.24395
12080,8,60675615325.7,2996378901.751646
12081,8,60675615325.7,9640890686.799877
12082,8,60675615325.7,879844140.3843635
12083,8,60675615325.7,1885398880.557776
12084,8,60675615325.7,1759480191.070173
12085,8,60675615325.7,391053112139.0396
12086,8,60675615325.7,45508623636.11325
12087,8,60675615325.7,2080652399.0474734
12088,8,60675615325.7,1269498362.198429
12089,8,60675615325.7,39804514114.85941
12090,8,60675615325.7,13923737256.80714
12091,8,60675615325.7,90234287791.37527
12092,8,60675615325.7,137960185125.9516
12093,8,60675615325.7,1086318531.6818688
12094,8,60675615325.7,706558894.2775384
12095,8,60675615325.7,13814685701.914371
12096,8,60675615325.7,18039444219.42172
12097,8,60675615325.7,11249478216.708982
12098,8,60675615325.7,80164413437.21243
12099,8,60675615325.7,39565843856.18443
12100,8,60675615325.7,2892677747.483166
12101,8,60675615325.7,66810815480.39844
12102,8,60675615325.7,4399499453.507575
12103,8,60675615325.7,5950415332.125718
12104,8,60675615325.7,8709464496.965174
12105,8,60675615325.7,4657975115.181572
12106,8,60675615325.7,7026540500.271961
12107,8,60675615325.7,8161288402.334267
12108,8,60675615325.7,4260992654.3399963
12109,8,60675615325.7,1374447246.5621862
12110,8,60675615325.7,55085037361.902565
12111,8,60675615325.7,198368454619.52206
17643,414,80750441883.2,1086741872623.5299
17644,414,80750441883.2,289875481936.9207
17645,414,80750441883.2,910614298.4747902
17646,414,80750441883.2,176260626898.11935
17647,414,80750441883.2,156535193992.64606
17648,414,80750441883.2,9278744889.273146
17649,414,80750441883.2,3340905931007.005
17650,414,80750441883.2,1446066360967.682
17651,414,80750441883.2,344969832469.71185
17652,414,80750441883.2,5741270964.693252
17653,414,80750441883.2,3561695615334.919
17654,414,80750441883.2,12191427004298.758
17655,414,80750441883.2,1495176722.3693607
17656,414,80750441883.2,462304398434.7844
17657,414,80750441883.2,19891987557502.23
17658,414,80750441883.2,2162385504015.327
17659,414,80750441883.2,10104937619791.97
17660,414,80750441883.2,12593065971.420658
17661,414,80750441883.2,7892756219.049248
17662,414,80750441883.2,36094688510.91893
17663,414,80750441883.2,1430306163833.6829
17664,414,80750441883.2,398753475166.8673
17665,414,80750441883.2,1082485234835.1732
17666,414,80750441883.2,1105469838341.0254
17667,414,80750441883.2,2941050952.3652368
17668,414,80750441883.2,171978559640.07492
17669,414,80750441883.2,1260263706564.1174
17670,414,80750441883.2,1560095248234.076
17671,414,80750441883.2,752397237210.6494
17672,414,80750441883.2,837756611.8657625
17673,414,80750441883.2,34710412749.57578
17674,414,80750441883.2,60692974494673.49
17675,414,80750441883.2,4265850420.1978273
17676,414,80750441883.2,2008962269.8421795
17677,414,80750441883.2,883132509.3178035
17678,414,80750441883.2,713216170507.6547
17679,414,80750441883.2,1487174853020.2188
17680,414,80750441883.2,356432976471.1332
17681,414,80750441883.2,439869013846.95984
17682,414,80750441883.2,1287453871.8068523
17683,414,80750441883.2,2509654375.3503623
17684,414,80750441883.2,190423344411.55298
17685,414,80750441883.2,74556347428.79535
17686,414,80750441883.2,7938657042080.891
17687,414,80750441883.2,27214433436.442123
17688,414,80750441883.2,32555700642.751827
17689,414,80750441883.2,46106042036199.55
17690,414,80750441883.2,1628539508500.2927
17691,414,80750441883.2,11607149357.577297
17692,414,80750441883.2,1052006950.3430163
17693,414,80750441883.2,1553812946640.9163
